"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry72","127","cuc:CULC809_00772","gene","http://www.kegg.jp/dbget-bin/www_bget?cuc:CULC809_00772",NA,"rn:R09099",NA,659,457,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry79","142","cuc:CULC809_00756","gene","http://www.kegg.jp/dbget-bin/www_bget?cuc:CULC809_00756",NA,"rn:R00658",NA,1168,567,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry81","145","cuc:CULC809_00301","gene","http://www.kegg.jp/dbget-bin/www_bget?cuc:CULC809_00301",NA,"rn:R01518",NA,1143,433,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry84","148","cuc:CULC809_00944","gene","http://www.kegg.jp/dbget-bin/www_bget?cuc:CULC809_00944",NA,"rn:R01513",NA,1124,353,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry86","151","cuc:CULC809_00648","gene","http://www.kegg.jp/dbget-bin/www_bget?cuc:CULC809_00648",NA,"rn:R04173",NA,1023,353,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry87","153","cuc:CULC809_01737","gene","http://www.kegg.jp/dbget-bin/www_bget?cuc:CULC809_01737",NA,"rn:R00582",NA,930,353,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry89","161","cuc:CULC809_01206","gene","http://www.kegg.jp/dbget-bin/www_bget?cuc:CULC809_01206",NA,"rn:R00345",NA,1118,599,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry95","167","cuc:CULC809_01675","gene","http://www.kegg.jp/dbget-bin/www_bget?cuc:CULC809_01675",NA,"rn:R00342",NA,1002,600,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry105","181","cuc:CULC809_00782","gene","http://www.kegg.jp/dbget-bin/www_bget?cuc:CULC809_00782",NA,"rn:R00762",NA,1221,244,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry106","182","cuc:CULC809_00926","gene","http://www.kegg.jp/dbget-bin/www_bget?cuc:CULC809_00926",NA,"rn:R00756",NA,1143,223,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry114","194","cuc:CULC809_01941","gene","http://www.kegg.jp/dbget-bin/www_bget?cuc:CULC809_01941",NA,"rn:R01068",NA,1112,280,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry118","198","cuc:CULC809_00772","gene","http://www.kegg.jp/dbget-bin/www_bget?cuc:CULC809_00772",NA,"rn:R00945",NA,906,422,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry120","203","cuc:CULC809_01909","gene","http://www.kegg.jp/dbget-bin/www_bget?cuc:CULC809_01909",NA,"rn:R00315",NA,594,684,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry121","204","cuc:CULC809_01910","gene","http://www.kegg.jp/dbget-bin/www_bget?cuc:CULC809_01910",NA,"rn:R00230",NA,732,684,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
