"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry54","103","mpk:VL20_5043","gene","http://www.kegg.jp/dbget-bin/www_bget?mpk:VL20_5043",NA,"rn:R06983",NA,135,522,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry77","139","mpk:VL20_3104 / mpk:VL20_3108 / mpk:VL20_520","gene","http://www.kegg.jp/dbget-bin/www_bget?mpk:VL20_3104+mpk:VL20_3108+mpk:VL20_520",NA,"rn:R00199",NA,1084,642,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry79","142","mpk:VL20_5725","gene","http://www.kegg.jp/dbget-bin/www_bget?mpk:VL20_5725",NA,"rn:R00658",NA,1168,567,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry81","145","mpk:VL20_406","gene","http://www.kegg.jp/dbget-bin/www_bget?mpk:VL20_406",NA,"rn:R01518",NA,1143,433,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry84","148","mpk:VL20_5860","gene","http://www.kegg.jp/dbget-bin/www_bget?mpk:VL20_5860",NA,"rn:R01513",NA,1124,353,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry87","153","mpk:VL20_1359","gene","http://www.kegg.jp/dbget-bin/www_bget?mpk:VL20_1359",NA,"rn:R00582",NA,930,353,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry89","161","mpk:VL20_5586","gene","http://www.kegg.jp/dbget-bin/www_bget?mpk:VL20_5586",NA,"rn:R00345",NA,1118,599,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry105","181","mpk:VL20_3917 / mpk:VL20_5301","gene","http://www.kegg.jp/dbget-bin/www_bget?mpk:VL20_3917+mpk:VL20_5301",NA,"rn:R00762",NA,1221,244,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry106","182","mpk:VL20_1568 / mpk:VL20_5513","gene","http://www.kegg.jp/dbget-bin/www_bget?mpk:VL20_1568+mpk:VL20_5513",NA,"rn:R00756",NA,1143,223,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry114","194","mpk:VL20_798","gene","http://www.kegg.jp/dbget-bin/www_bget?mpk:VL20_798",NA,"rn:R01068",NA,1112,280,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry120","203","mpk:VL20_544","gene","http://www.kegg.jp/dbget-bin/www_bget?mpk:VL20_544",NA,"rn:R00315",NA,594,684,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry121","204","mpk:VL20_2319","gene","http://www.kegg.jp/dbget-bin/www_bget?mpk:VL20_2319",NA,"rn:R00230",NA,732,684,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry123","206","mpk:VL20_689","gene","http://www.kegg.jp/dbget-bin/www_bget?mpk:VL20_689",NA,"rn:R00235",NA,662,719,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry141","228","mpk:VL20_2553","gene","http://www.kegg.jp/dbget-bin/www_bget?mpk:VL20_2553",NA,"rn:R12161",NA,772,896,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry158","253","mpk:VL20_4627","gene","http://www.kegg.jp/dbget-bin/www_bget?mpk:VL20_4627",NA,"rn:R05789",NA,213,885,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry185","293","mpk:VL20_6083","gene","http://www.kegg.jp/dbget-bin/www_bget?mpk:VL20_6083",NA,"rn:R01518",NA,1193,433,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry209","326","mpk:VL20_1284","gene","http://www.kegg.jp/dbget-bin/www_bget?mpk:VL20_1284",NA,"rn:R12162",NA,864,896,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
