"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry11","46","ans:ArsFIN_01180 / ans:ArsFIN_01190 / ans:ArsFIN_01200 / ans:ArsFIN_01210","gene","http://www.kegg.jp/dbget-bin/www_bget?ans:ArsFIN_01180+ans:ArsFIN_01190+ans:ArsFIN_01200+ans:ArsFIN_01210",NA,"rn:R00519",NA,269,631,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry72","140","ans:ArsFIN_29480","gene","http://www.kegg.jp/dbget-bin/www_bget?ans:ArsFIN_29480",NA,"rn:R09099",NA,659,457,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry77","152","ans:ArsFIN_22040","gene","http://www.kegg.jp/dbget-bin/www_bget?ans:ArsFIN_22040",NA,"rn:R00199",NA,1084,642,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry79","155","ans:ArsFIN_36560","gene","http://www.kegg.jp/dbget-bin/www_bget?ans:ArsFIN_36560",NA,"rn:R00658",NA,1168,567,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry81","158","ans:ArsFIN_12430","gene","http://www.kegg.jp/dbget-bin/www_bget?ans:ArsFIN_12430",NA,"rn:R01518",NA,1143,433,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry84","161","ans:ArsFIN_31780","gene","http://www.kegg.jp/dbget-bin/www_bget?ans:ArsFIN_31780",NA,"rn:R01513",NA,1124,353,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry86","164","ans:ArsFIN_12990","gene","http://www.kegg.jp/dbget-bin/www_bget?ans:ArsFIN_12990",NA,"rn:R04173",NA,1023,353,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry87","166","ans:ArsFIN_35630","gene","http://www.kegg.jp/dbget-bin/www_bget?ans:ArsFIN_35630",NA,"rn:R00582",NA,930,353,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry89","174","ans:ArsFIN_00570 / ans:ArsFIN_00580 / ans:ArsFIN_00610","gene","http://www.kegg.jp/dbget-bin/www_bget?ans:ArsFIN_00570+ans:ArsFIN_00580+ans:ArsFIN_00610",NA,"rn:R00345",NA,1118,599,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry95","180","ans:ArsFIN_03740","gene","http://www.kegg.jp/dbget-bin/www_bget?ans:ArsFIN_03740",NA,"rn:R00342",NA,1002,600,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry105","197","ans:ArsFIN_03760","gene","http://www.kegg.jp/dbget-bin/www_bget?ans:ArsFIN_03760",NA,"rn:R00762",NA,1221,244,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry106","198","ans:ArsFIN_07930","gene","http://www.kegg.jp/dbget-bin/www_bget?ans:ArsFIN_07930",NA,"rn:R00756",NA,1143,223,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry114","210","ans:ArsFIN_23750 / ans:ArsFIN_36440","gene","http://www.kegg.jp/dbget-bin/www_bget?ans:ArsFIN_23750+ans:ArsFIN_36440",NA,"rn:R01068",NA,1112,280,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry118","214","ans:ArsFIN_29480","gene","http://www.kegg.jp/dbget-bin/www_bget?ans:ArsFIN_29480",NA,"rn:R00945",NA,906,422,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry120","219","ans:ArsFIN_26520","gene","http://www.kegg.jp/dbget-bin/www_bget?ans:ArsFIN_26520",NA,"rn:R00315",NA,594,684,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry121","220","ans:ArsFIN_26530","gene","http://www.kegg.jp/dbget-bin/www_bget?ans:ArsFIN_26530",NA,"rn:R00230",NA,732,684,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry123","222","ans:ArsFIN_06510","gene","http://www.kegg.jp/dbget-bin/www_bget?ans:ArsFIN_06510",NA,"rn:R00235",NA,662,719,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry185","321","ans:ArsFIN_35550","gene","http://www.kegg.jp/dbget-bin/www_bget?ans:ArsFIN_35550",NA,"rn:R01518",NA,1193,433,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
