"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry6","34","ssl:SS1G_00840","gene","http://www.kegg.jp/dbget-bin/www_bget?ssl:SS1G_00840",NA,"rn:R00608",NA,139,274,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry11","40","ssl:SS1G_09038","gene","http://www.kegg.jp/dbget-bin/www_bget?ssl:SS1G_09038",NA,"rn:R00519",NA,269,631,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry53","102","ssl:SS1G_07306","gene","http://www.kegg.jp/dbget-bin/www_bget?ssl:SS1G_07306",NA,"rn:R00527",NA,135,608,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry54","103","ssl:SS1G_10135","gene","http://www.kegg.jp/dbget-bin/www_bget?ssl:SS1G_10135",NA,"rn:R06983",NA,135,522,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry72","127","ssl:SS1G_03729 / ssl:SS1G_11816","gene","http://www.kegg.jp/dbget-bin/www_bget?ssl:SS1G_03729+ssl:SS1G_11816",NA,"rn:R09099",NA,659,457,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry79","142","ssl:SS1G_04072","gene","http://www.kegg.jp/dbget-bin/www_bget?ssl:SS1G_04072",NA,"rn:R00658",NA,1168,567,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry84","148","ssl:SS1G_00194 / ssl:SS1G_09516","gene","http://www.kegg.jp/dbget-bin/www_bget?ssl:SS1G_00194+ssl:SS1G_09516",NA,"rn:R01513",NA,1124,353,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry86","151","ssl:SS1G_09049","gene","http://www.kegg.jp/dbget-bin/www_bget?ssl:SS1G_09049",NA,"rn:R04173",NA,1023,353,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry87","153","ssl:SS1G_04321","gene","http://www.kegg.jp/dbget-bin/www_bget?ssl:SS1G_04321",NA,"rn:R00582",NA,930,353,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry90","162","ssl:SS1G_10169","gene","http://www.kegg.jp/dbget-bin/www_bget?ssl:SS1G_10169",NA,"rn:R00588",NA,872,507,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry91","163","ssl:SS1G_11729","gene","http://www.kegg.jp/dbget-bin/www_bget?ssl:SS1G_11729",NA,"rn:R01388",NA,992,507,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry105","181","ssl:SS1G_11369","gene","http://www.kegg.jp/dbget-bin/www_bget?ssl:SS1G_11369",NA,"rn:R00762",NA,1221,244,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry106","182","ssl:SS1G_11603","gene","http://www.kegg.jp/dbget-bin/www_bget?ssl:SS1G_11603",NA,"rn:R00756",NA,1143,223,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry114","194","ssl:SS1G_06400 / ssl:SS1G_06561","gene","http://www.kegg.jp/dbget-bin/www_bget?ssl:SS1G_06400+ssl:SS1G_06561",NA,"rn:R01068",NA,1112,280,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry116","196","ssl:SS1G_03255","gene","http://www.kegg.jp/dbget-bin/www_bget?ssl:SS1G_03255",NA,"rn:R01011",NA,978,280,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry118","198","ssl:SS1G_03729 / ssl:SS1G_11816","gene","http://www.kegg.jp/dbget-bin/www_bget?ssl:SS1G_03729+ssl:SS1G_11816",NA,"rn:R00945",NA,906,422,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry120","203","ssl:SS1G_06789","gene","http://www.kegg.jp/dbget-bin/www_bget?ssl:SS1G_06789",NA,"rn:R00315",NA,594,684,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry123","206","ssl:SS1G_05351","gene","http://www.kegg.jp/dbget-bin/www_bget?ssl:SS1G_05351",NA,"rn:R00235",NA,662,719,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry185","293","ssl:SS1G_11015","gene","http://www.kegg.jp/dbget-bin/www_bget?ssl:SS1G_11015",NA,"rn:R01518",NA,1193,433,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
