"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry27","59","pci:PCH70_12220","gene","http://www.kegg.jp/dbget-bin/www_bget?pci:PCH70_12220",NA,"rn:R11319",NA,835,612,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry29","63","pci:PCH70_45190","gene","http://www.kegg.jp/dbget-bin/www_bget?pci:PCH70_45190",NA,"rn:R00617",NA,704,602,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry32","66","pci:PCH70_05510","gene","http://www.kegg.jp/dbget-bin/www_bget?pci:PCH70_05510",NA,"rn:R02135",NA,623,652,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry35","69","pci:PCH70_48220","gene","http://www.kegg.jp/dbget-bin/www_bget?pci:PCH70_48220",NA,"rn:R10247",NA,371,432,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry36","70","pci:PCH70_43640","gene","http://www.kegg.jp/dbget-bin/www_bget?pci:PCH70_43640",NA,"rn:R07463",NA,492,353,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry37","71","pci:PCH70_03640","gene","http://www.kegg.jp/dbget-bin/www_bget?pci:PCH70_03640",NA,"rn:R07461",NA,316,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry38","72","pci:PCH70_11320 / pci:PCH70_18030","gene","http://www.kegg.jp/dbget-bin/www_bget?pci:PCH70_11320+pci:PCH70_18030",NA,"rn:R07460",NA,223,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry41","75","pci:PCH70_44500","gene","http://www.kegg.jp/dbget-bin/www_bget?pci:PCH70_44500",NA,"rn:R04509",NA,432,195,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry42","76","pci:PCH70_44500","gene","http://www.kegg.jp/dbget-bin/www_bget?pci:PCH70_44500",NA,"rn:R03471",NA,185,195,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry43","78","pci:PCH70_45140","gene","http://www.kegg.jp/dbget-bin/www_bget?pci:PCH70_45140",NA,"rn:R05636",NA,262,407,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry55","93","pci:PCH70_44510","gene","http://www.kegg.jp/dbget-bin/www_bget?pci:PCH70_44510",NA,"rn:R03223",NA,578,602,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry56","94","pci:PCH70_05310","gene","http://www.kegg.jp/dbget-bin/www_bget?pci:PCH70_05310",NA,"rn:R03472",NA,260,159,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry58","97","pci:PCH70_44510","gene","http://www.kegg.jp/dbget-bin/www_bget?pci:PCH70_44510",NA,"rn:R10712",NA,578,537,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry70","114","pci:PCH70_05510","gene","http://www.kegg.jp/dbget-bin/www_bget?pci:PCH70_05510",NA,"rn:R00615",NA,704,567,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
