"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry27","59","bpt:Bpet2673","gene","http://www.kegg.jp/dbget-bin/www_bget?bpt:Bpet2673",NA,"rn:R11319",NA,835,612,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry29","63","bpt:Bpet3955","gene","http://www.kegg.jp/dbget-bin/www_bget?bpt:Bpet3955",NA,"rn:R00617",NA,704,602,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry32","66","bpt:Bpet1919","gene","http://www.kegg.jp/dbget-bin/www_bget?bpt:Bpet1919",NA,"rn:R02135",NA,623,652,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry35","69","bpt:Bpet0491","gene","http://www.kegg.jp/dbget-bin/www_bget?bpt:Bpet0491",NA,"rn:R10247",NA,371,432,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry38","72","bpt:Bpet2777","gene","http://www.kegg.jp/dbget-bin/www_bget?bpt:Bpet2777",NA,"rn:R07460",NA,223,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry41","75","bpt:Bpet0490 / bpt:Bpet0559","gene","http://www.kegg.jp/dbget-bin/www_bget?bpt:Bpet0490+bpt:Bpet0559",NA,"rn:R04509",NA,432,195,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry42","76","bpt:Bpet0490 / bpt:Bpet0559","gene","http://www.kegg.jp/dbget-bin/www_bget?bpt:Bpet0490+bpt:Bpet0559",NA,"rn:R03471",NA,185,195,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry43","78","bpt:Bpet3060","gene","http://www.kegg.jp/dbget-bin/www_bget?bpt:Bpet3060",NA,"rn:R05636",NA,262,407,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry55","93","bpt:Bpet0558","gene","http://www.kegg.jp/dbget-bin/www_bget?bpt:Bpet0558",NA,"rn:R03223",NA,578,602,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry56","94","bpt:Bpet4684","gene","http://www.kegg.jp/dbget-bin/www_bget?bpt:Bpet4684",NA,"rn:R03472",NA,260,159,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry58","97","bpt:Bpet0558","gene","http://www.kegg.jp/dbget-bin/www_bget?bpt:Bpet0558",NA,"rn:R10712",NA,578,537,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry70","114","bpt:Bpet1919","gene","http://www.kegg.jp/dbget-bin/www_bget?bpt:Bpet1919",NA,"rn:R00615",NA,704,567,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
