"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry27","59","dbr:Deba_2917","gene","http://www.kegg.jp/dbget-bin/www_bget?dbr:Deba_2917",NA,"rn:R11319",NA,835,612,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry29","63","dbr:Deba_2436","gene","http://www.kegg.jp/dbget-bin/www_bget?dbr:Deba_2436",NA,"rn:R00617",NA,704,602,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry32","66","dbr:Deba_1472","gene","http://www.kegg.jp/dbget-bin/www_bget?dbr:Deba_1472",NA,"rn:R02135",NA,623,652,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry38","72","dbr:Deba_0688","gene","http://www.kegg.jp/dbget-bin/www_bget?dbr:Deba_0688",NA,"rn:R07460",NA,223,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry40","74","dbr:Deba_2988","gene","http://www.kegg.jp/dbget-bin/www_bget?dbr:Deba_2988",NA,"rn:R04448",NA,293,602,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry41","75","dbr:Deba_0205","gene","http://www.kegg.jp/dbget-bin/www_bget?dbr:Deba_0205",NA,"rn:R04509",NA,432,195,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry42","76","dbr:Deba_0205","gene","http://www.kegg.jp/dbget-bin/www_bget?dbr:Deba_0205",NA,"rn:R03471",NA,185,195,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry43","78","dbr:Deba_1927","gene","http://www.kegg.jp/dbget-bin/www_bget?dbr:Deba_1927",NA,"rn:R05636",NA,262,407,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry55","93","dbr:Deba_2987","gene","http://www.kegg.jp/dbget-bin/www_bget?dbr:Deba_2987",NA,"rn:R03223",NA,578,602,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry56","94","dbr:Deba_0206","gene","http://www.kegg.jp/dbget-bin/www_bget?dbr:Deba_0206",NA,"rn:R03472",NA,260,159,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry58","97","dbr:Deba_2987","gene","http://www.kegg.jp/dbget-bin/www_bget?dbr:Deba_2987",NA,"rn:R10712",NA,578,537,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry62","103","dbr:Deba_2477","gene","http://www.kegg.jp/dbget-bin/www_bget?dbr:Deba_2477",NA,"rn:R02135",NA,598,633,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry70","114","dbr:Deba_1472","gene","http://www.kegg.jp/dbget-bin/www_bget?dbr:Deba_1472",NA,"rn:R00615",NA,704,567,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry71","115","dbr:Deba_1981","gene","http://www.kegg.jp/dbget-bin/www_bget?dbr:Deba_1981",NA,"rn:R12026",NA,206,547,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
