"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry27","59","paro:CUV01_03635","gene","http://www.kegg.jp/dbget-bin/www_bget?paro:CUV01_03635",NA,"rn:R11319",NA,835,612,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry30","64","paro:CUV01_14205","gene","http://www.kegg.jp/dbget-bin/www_bget?paro:CUV01_14205",NA,"rn:R00619",NA,705,700,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry32","66","paro:CUV01_09900","gene","http://www.kegg.jp/dbget-bin/www_bget?paro:CUV01_09900",NA,"rn:R02135",NA,623,652,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry35","69","paro:CUV01_07120","gene","http://www.kegg.jp/dbget-bin/www_bget?paro:CUV01_07120",NA,"rn:R10247",NA,371,432,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry36","70","paro:CUV01_07130","gene","http://www.kegg.jp/dbget-bin/www_bget?paro:CUV01_07130",NA,"rn:R07463",NA,492,353,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry38","72","paro:CUV01_02545","gene","http://www.kegg.jp/dbget-bin/www_bget?paro:CUV01_02545",NA,"rn:R07460",NA,223,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry41","75","paro:CUV01_12600","gene","http://www.kegg.jp/dbget-bin/www_bget?paro:CUV01_12600",NA,"rn:R04509",NA,432,195,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry42","76","paro:CUV01_12600","gene","http://www.kegg.jp/dbget-bin/www_bget?paro:CUV01_12600",NA,"rn:R03471",NA,185,195,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry43","78","paro:CUV01_10455","gene","http://www.kegg.jp/dbget-bin/www_bget?paro:CUV01_10455",NA,"rn:R05636",NA,262,407,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry55","93","paro:CUV01_07115 / paro:CUV01_16880","gene","http://www.kegg.jp/dbget-bin/www_bget?paro:CUV01_07115+paro:CUV01_16880",NA,"rn:R03223",NA,578,602,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry56","94","paro:CUV01_07135","gene","http://www.kegg.jp/dbget-bin/www_bget?paro:CUV01_07135",NA,"rn:R03472",NA,260,159,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry58","97","paro:CUV01_07115 / paro:CUV01_16880","gene","http://www.kegg.jp/dbget-bin/www_bget?paro:CUV01_07115+paro:CUV01_16880",NA,"rn:R10712",NA,578,537,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry62","103","paro:CUV01_02645","gene","http://www.kegg.jp/dbget-bin/www_bget?paro:CUV01_02645",NA,"rn:R02135",NA,598,633,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry70","114","paro:CUV01_09900","gene","http://www.kegg.jp/dbget-bin/www_bget?paro:CUV01_09900",NA,"rn:R00615",NA,704,567,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
