"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry27","59","ali:AZOLI_0482","gene","http://www.kegg.jp/dbget-bin/www_bget?ali:AZOLI_0482",NA,"rn:R11319",NA,835,612,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry29","63","ali:AZOLI_0867","gene","http://www.kegg.jp/dbget-bin/www_bget?ali:AZOLI_0867",NA,"rn:R00617",NA,704,602,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry34","68","ali:AZOLI_p40372","gene","http://www.kegg.jp/dbget-bin/www_bget?ali:AZOLI_p40372",NA,"rn:R02133",NA,371,696,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry35","69","ali:AZOLI_0318","gene","http://www.kegg.jp/dbget-bin/www_bget?ali:AZOLI_0318",NA,"rn:R10247",NA,371,432,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry36","70","ali:AZOLI_0320","gene","http://www.kegg.jp/dbget-bin/www_bget?ali:AZOLI_0320",NA,"rn:R07463",NA,492,353,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry38","72","ali:AZOLI_0544 / ali:AZOLI_1976 / ali:AZOLI_2317 / ali:AZOLI_p30438","gene","http://www.kegg.jp/dbget-bin/www_bget?ali:AZOLI_0544+ali:AZOLI_1976+ali:AZOLI_2317+ali:AZOLI_p30438",NA,"rn:R07460",NA,223,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry41","75","ali:AZOLI_p50062","gene","http://www.kegg.jp/dbget-bin/www_bget?ali:AZOLI_p50062",NA,"rn:R04509",NA,432,195,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry42","76","ali:AZOLI_p50062","gene","http://www.kegg.jp/dbget-bin/www_bget?ali:AZOLI_p50062",NA,"rn:R03471",NA,185,195,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry43","78","ali:AZOLI_p30184","gene","http://www.kegg.jp/dbget-bin/www_bget?ali:AZOLI_p30184",NA,"rn:R05636",NA,262,407,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry55","93","ali:AZOLI_0809 / ali:AZOLI_p10289","gene","http://www.kegg.jp/dbget-bin/www_bget?ali:AZOLI_0809+ali:AZOLI_p10289",NA,"rn:R03223",NA,578,602,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry56","94","ali:AZOLI_0384","gene","http://www.kegg.jp/dbget-bin/www_bget?ali:AZOLI_0384",NA,"rn:R03472",NA,260,159,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry58","97","ali:AZOLI_0809 / ali:AZOLI_p10289","gene","http://www.kegg.jp/dbget-bin/www_bget?ali:AZOLI_0809+ali:AZOLI_p10289",NA,"rn:R10712",NA,578,537,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry66","110","ali:AZOLI_p40372","gene","http://www.kegg.jp/dbget-bin/www_bget?ali:AZOLI_p40372",NA,"rn:R09993",NA,371,721,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
