"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry27","59","wfu:AXE80_12875","gene","http://www.kegg.jp/dbget-bin/www_bget?wfu:AXE80_12875",NA,"rn:R11319",NA,835,612,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry29","63","wfu:AXE80_13305","gene","http://www.kegg.jp/dbget-bin/www_bget?wfu:AXE80_13305",NA,"rn:R00617",NA,704,602,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry32","66","wfu:AXE80_01175","gene","http://www.kegg.jp/dbget-bin/www_bget?wfu:AXE80_01175",NA,"rn:R02135",NA,623,652,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry35","69","wfu:AXE80_12300","gene","http://www.kegg.jp/dbget-bin/www_bget?wfu:AXE80_12300",NA,"rn:R10247",NA,371,432,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry38","72","wfu:AXE80_06305","gene","http://www.kegg.jp/dbget-bin/www_bget?wfu:AXE80_06305",NA,"rn:R07460",NA,223,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry41","75","wfu:AXE80_12280","gene","http://www.kegg.jp/dbget-bin/www_bget?wfu:AXE80_12280",NA,"rn:R04509",NA,432,195,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry42","76","wfu:AXE80_12280","gene","http://www.kegg.jp/dbget-bin/www_bget?wfu:AXE80_12280",NA,"rn:R03471",NA,185,195,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry43","78","wfu:AXE80_00150","gene","http://www.kegg.jp/dbget-bin/www_bget?wfu:AXE80_00150",NA,"rn:R05636",NA,262,407,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry53","91","wfu:AXE80_12305","gene","http://www.kegg.jp/dbget-bin/www_bget?wfu:AXE80_12305",NA,"rn:R10246",NA,411,353,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry55","93","wfu:AXE80_12270 / wfu:AXE80_12290","gene","http://www.kegg.jp/dbget-bin/www_bget?wfu:AXE80_12270+wfu:AXE80_12290",NA,"rn:R03223",NA,578,602,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry56","94","wfu:AXE80_12265","gene","http://www.kegg.jp/dbget-bin/www_bget?wfu:AXE80_12265",NA,"rn:R03472",NA,260,159,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry58","97","wfu:AXE80_12270 / wfu:AXE80_12290","gene","http://www.kegg.jp/dbget-bin/www_bget?wfu:AXE80_12270+wfu:AXE80_12290",NA,"rn:R10712",NA,578,537,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry70","114","wfu:AXE80_01175","gene","http://www.kegg.jp/dbget-bin/www_bget?wfu:AXE80_01175",NA,"rn:R00615",NA,704,567,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
