"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry27","59","csk:ES15_2882","gene","http://www.kegg.jp/dbget-bin/www_bget?csk:ES15_2882",NA,"rn:R11319",NA,835,612,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry29","63","csk:ES15_2968","gene","http://www.kegg.jp/dbget-bin/www_bget?csk:ES15_2968",NA,"rn:R00617",NA,704,602,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry31","65","csk:ES15_2380","gene","http://www.kegg.jp/dbget-bin/www_bget?csk:ES15_2380",NA,"rn:R02134",NA,678,657,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry32","66","csk:ES15_0475","gene","http://www.kegg.jp/dbget-bin/www_bget?csk:ES15_0475",NA,"rn:R02135",NA,623,652,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry35","69","csk:ES15_3623","gene","http://www.kegg.jp/dbget-bin/www_bget?csk:ES15_3623",NA,"rn:R10247",NA,371,432,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry37","71","csk:ES15_2962","gene","http://www.kegg.jp/dbget-bin/www_bget?csk:ES15_2962",NA,"rn:R07461",NA,316,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry38","72","csk:ES15_0993","gene","http://www.kegg.jp/dbget-bin/www_bget?csk:ES15_0993",NA,"rn:R07460",NA,223,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry39","73","csk:ES15_3621","gene","http://www.kegg.jp/dbget-bin/www_bget?csk:ES15_3621",NA,"rn:R07459",NA,204,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry40","74","csk:ES15_1374","gene","http://www.kegg.jp/dbget-bin/www_bget?csk:ES15_1374",NA,"rn:R04448",NA,293,602,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry41","75","csk:ES15_1375","gene","http://www.kegg.jp/dbget-bin/www_bget?csk:ES15_1375",NA,"rn:R04509",NA,432,195,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry42","76","csk:ES15_1375","gene","http://www.kegg.jp/dbget-bin/www_bget?csk:ES15_1375",NA,"rn:R03471",NA,185,195,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry43","78","csk:ES15_2965","gene","http://www.kegg.jp/dbget-bin/www_bget?csk:ES15_2965",NA,"rn:R05636",NA,262,407,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry53","91","csk:ES15_3624","gene","http://www.kegg.jp/dbget-bin/www_bget?csk:ES15_3624",NA,"rn:R10246",NA,411,353,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry55","93","csk:ES15_3620","gene","http://www.kegg.jp/dbget-bin/www_bget?csk:ES15_3620",NA,"rn:R03223",NA,578,602,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry56","94","csk:ES15_3619","gene","http://www.kegg.jp/dbget-bin/www_bget?csk:ES15_3619",NA,"rn:R03472",NA,260,159,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry58","97","csk:ES15_3620","gene","http://www.kegg.jp/dbget-bin/www_bget?csk:ES15_3620",NA,"rn:R10712",NA,578,537,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry70","114","csk:ES15_0475","gene","http://www.kegg.jp/dbget-bin/www_bget?csk:ES15_0475",NA,"rn:R00615",NA,704,567,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
