"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry27","59","ksa:C813_09515","gene","http://www.kegg.jp/dbget-bin/www_bget?ksa:C813_09515",NA,"rn:R11319",NA,835,612,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry29","63","ksa:C813_09960","gene","http://www.kegg.jp/dbget-bin/www_bget?ksa:C813_09960",NA,"rn:R00617",NA,704,602,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry31","65","ksa:C813_05520","gene","http://www.kegg.jp/dbget-bin/www_bget?ksa:C813_05520",NA,"rn:R02134",NA,678,657,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry32","66","ksa:C813_13000","gene","http://www.kegg.jp/dbget-bin/www_bget?ksa:C813_13000",NA,"rn:R02135",NA,623,652,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry35","69","ksa:C813_14130","gene","http://www.kegg.jp/dbget-bin/www_bget?ksa:C813_14130",NA,"rn:R10247",NA,371,432,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry37","71","ksa:C813_09930","gene","http://www.kegg.jp/dbget-bin/www_bget?ksa:C813_09930",NA,"rn:R07461",NA,316,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry38","72","ksa:C813_21945 / ksa:C813_24560","gene","http://www.kegg.jp/dbget-bin/www_bget?ksa:C813_21945+ksa:C813_24560",NA,"rn:R07460",NA,223,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry39","73","ksa:C813_14120","gene","http://www.kegg.jp/dbget-bin/www_bget?ksa:C813_14120",NA,"rn:R07459",NA,204,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry40","74","ksa:C813_23875","gene","http://www.kegg.jp/dbget-bin/www_bget?ksa:C813_23875",NA,"rn:R04448",NA,293,602,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry41","75","ksa:C813_23880","gene","http://www.kegg.jp/dbget-bin/www_bget?ksa:C813_23880",NA,"rn:R04509",NA,432,195,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry42","76","ksa:C813_23880","gene","http://www.kegg.jp/dbget-bin/www_bget?ksa:C813_23880",NA,"rn:R03471",NA,185,195,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry43","78","ksa:C813_09945","gene","http://www.kegg.jp/dbget-bin/www_bget?ksa:C813_09945",NA,"rn:R05636",NA,262,407,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry53","91","ksa:C813_14135","gene","http://www.kegg.jp/dbget-bin/www_bget?ksa:C813_14135",NA,"rn:R10246",NA,411,353,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry55","93","ksa:C813_14115","gene","http://www.kegg.jp/dbget-bin/www_bget?ksa:C813_14115",NA,"rn:R03223",NA,578,602,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry56","94","ksa:C813_14110","gene","http://www.kegg.jp/dbget-bin/www_bget?ksa:C813_14110",NA,"rn:R03472",NA,260,159,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry58","97","ksa:C813_14115","gene","http://www.kegg.jp/dbget-bin/www_bget?ksa:C813_14115",NA,"rn:R10712",NA,578,537,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry62","103","ksa:C813_10180","gene","http://www.kegg.jp/dbget-bin/www_bget?ksa:C813_10180",NA,"rn:R02135",NA,598,633,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
"entry70","114","ksa:C813_13000","gene","http://www.kegg.jp/dbget-bin/www_bget?ksa:C813_13000",NA,"rn:R00615",NA,704,567,"rectangle",46,17,"#000000","#BFFFBF",1,"00730"
