"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry16","32","ili:K734_09410","gene","http://www.kegg.jp/dbget-bin/www_bget?ili:K734_09410",NA,"rn:R07281",NA,430,133,"rectangle",46,17,"#000000","#BFFFBF",1,"00740"
"entry17","35","ili:K734_05680","gene","http://www.kegg.jp/dbget-bin/www_bget?ili:K734_05680",NA,"rn:R00161",NA,918,206,"rectangle",46,17,"#000000","#BFFFBF",1,"00740"
"entry19","37","ili:K734_05680","gene","http://www.kegg.jp/dbget-bin/www_bget?ili:K734_05680",NA,"rn:R00549",NA,772,195,"rectangle",46,17,"#000000","#BFFFBF",1,"00740"
"entry20","38","ili:K734_09410","gene","http://www.kegg.jp/dbget-bin/www_bget?ili:K734_09410",NA,"rn:R00425",NA,128,206,"rectangle",46,17,"#000000","#BFFFBF",1,"00740"
"entry21","39","ili:K734_09415","gene","http://www.kegg.jp/dbget-bin/www_bget?ili:K734_09415",NA,"rn:R03459",NA,225,206,"rectangle",46,17,"#000000","#BFFFBF",1,"00740"
"entry22","40","ili:K734_09415","gene","http://www.kegg.jp/dbget-bin/www_bget?ili:K734_09415",NA,"rn:R03458",NA,323,206,"rectangle",46,17,"#000000","#BFFFBF",1,"00740"
"entry23","41","ili:K734_10790","gene","http://www.kegg.jp/dbget-bin/www_bget?ili:K734_10790",NA,"rn:R04457",NA,535,206,"rectangle",46,17,"#000000","#BFFFBF",1,"00740"
"entry24","42","ili:K734_07045","gene","http://www.kegg.jp/dbget-bin/www_bget?ili:K734_07045",NA,"rn:R00066",NA,642,206,"rectangle",46,17,"#000000","#BFFFBF",1,"00740"
"entry25","43","ili:K734_12840","gene","http://www.kegg.jp/dbget-bin/www_bget?ili:K734_12840",NA,"rn:R07280",NA,430,206,"rectangle",46,17,"#000000","#BFFFBF",1,"00740"
"entry44","69","ili:K734_11875","gene","http://www.kegg.jp/dbget-bin/www_bget?ili:K734_11875",NA,"rn:R05707 rn:R09750",NA,725,277,"rectangle",46,17,"#000000","#BFFFBF",1,"00740"
"entry48","75","ili:K734_12840","gene","http://www.kegg.jp/dbget-bin/www_bget?ili:K734_12840",NA,"rn:R00548",NA,772,172,"rectangle",46,17,"#000000","#BFFFBF",1,"00740"
