"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry16","32","pln:Plano_2603","gene","http://www.kegg.jp/dbget-bin/www_bget?pln:Plano_2603",NA,"rn:R07281",NA,430,133,"rectangle",46,17,"#000000","#BFFFBF",1,"00740"
"entry17","35","pln:Plano_1878","gene","http://www.kegg.jp/dbget-bin/www_bget?pln:Plano_1878",NA,"rn:R00161",NA,918,206,"rectangle",46,17,"#000000","#BFFFBF",1,"00740"
"entry19","37","pln:Plano_1878","gene","http://www.kegg.jp/dbget-bin/www_bget?pln:Plano_1878",NA,"rn:R00549",NA,772,195,"rectangle",46,17,"#000000","#BFFFBF",1,"00740"
"entry20","38","pln:Plano_0211 / pln:Plano_2603","gene","http://www.kegg.jp/dbget-bin/www_bget?pln:Plano_0211+pln:Plano_2603",NA,"rn:R00425",NA,128,206,"rectangle",46,17,"#000000","#BFFFBF",1,"00740"
"entry21","39","pln:Plano_0210","gene","http://www.kegg.jp/dbget-bin/www_bget?pln:Plano_0210",NA,"rn:R03459",NA,225,206,"rectangle",46,17,"#000000","#BFFFBF",1,"00740"
"entry22","40","pln:Plano_0210","gene","http://www.kegg.jp/dbget-bin/www_bget?pln:Plano_0210",NA,"rn:R03458",NA,323,206,"rectangle",46,17,"#000000","#BFFFBF",1,"00740"
"entry23","41","pln:Plano_2602","gene","http://www.kegg.jp/dbget-bin/www_bget?pln:Plano_2602",NA,"rn:R04457",NA,535,206,"rectangle",46,17,"#000000","#BFFFBF",1,"00740"
"entry24","42","pln:Plano_2604","gene","http://www.kegg.jp/dbget-bin/www_bget?pln:Plano_2604",NA,"rn:R00066",NA,642,206,"rectangle",46,17,"#000000","#BFFFBF",1,"00740"
"entry25","43","pln:Plano_2119","gene","http://www.kegg.jp/dbget-bin/www_bget?pln:Plano_2119",NA,"rn:R07280",NA,430,206,"rectangle",46,17,"#000000","#BFFFBF",1,"00740"
"entry31","52","pln:Plano_2479","gene","http://www.kegg.jp/dbget-bin/www_bget?pln:Plano_2479",NA,"rn:R05706",NA,871,258,"rectangle",46,17,"#000000","#BFFFBF",1,"00740"
