"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry12","19","pts:CUJ90_14685","gene","http://www.kegg.jp/dbget-bin/www_bget?pts:CUJ90_14685",NA,"rn:R01710",NA,623,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00750"
"entry35","76","pts:CUJ90_14685","gene","http://www.kegg.jp/dbget-bin/www_bget?pts:CUJ90_14685",NA,"rn:R00277",NA,757,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00750"
"entry37","78","pts:CUJ90_12440","gene","http://www.kegg.jp/dbget-bin/www_bget?pts:CUJ90_12440",NA,"rn:R02493",NA,682,67,"rectangle",46,17,"#000000","#BFFFBF",1,"00750"
"entry39","80","pts:CUJ90_12440","gene","http://www.kegg.jp/dbget-bin/www_bget?pts:CUJ90_12440",NA,"rn:R01909",NA,682,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00750"
"entry41","82","pts:CUJ90_12440","gene","http://www.kegg.jp/dbget-bin/www_bget?pts:CUJ90_12440",NA,"rn:R00174",NA,682,203,"rectangle",46,17,"#000000","#BFFFBF",1,"00750"
"entry42","83","pts:CUJ90_07645","gene","http://www.kegg.jp/dbget-bin/www_bget?pts:CUJ90_07645",NA,"rn:R05086",NA,646,495,"rectangle",46,17,"#000000","#BFFFBF",1,"00750"
"entry43","84","pts:CUJ90_02230 / pts:CUJ90_25775","gene","http://www.kegg.jp/dbget-bin/www_bget?pts:CUJ90_02230+pts:CUJ90_25775",NA,"rn:R05681",NA,700,526,"rectangle",46,17,"#000000","#BFFFBF",1,"00750"
"entry44","85","pts:CUJ90_13655","gene","http://www.kegg.jp/dbget-bin/www_bget?pts:CUJ90_13655",NA,"rn:R05085",NA,592,527,"rectangle",46,17,"#000000","#BFFFBF",1,"00750"
"entry47","90","pts:CUJ90_14685","gene","http://www.kegg.jp/dbget-bin/www_bget?pts:CUJ90_14685",NA,"rn:R00278",NA,757,291,"rectangle",46,17,"#000000","#BFFFBF",1,"00750"
"entry49","92","pts:CUJ90_27355","gene","http://www.kegg.jp/dbget-bin/www_bget?pts:CUJ90_27355",NA,"rn:R01708",NA,599,272,"rectangle",46,17,"#000000","#BFFFBF",1,"00750"
"entry50","93","pts:CUJ90_14685","gene","http://www.kegg.jp/dbget-bin/www_bget?pts:CUJ90_14685",NA,"rn:R01711",NA,623,291,"rectangle",46,17,"#000000","#BFFFBF",1,"00750"
"entry51","94","pts:CUJ90_13140","gene","http://www.kegg.jp/dbget-bin/www_bget?pts:CUJ90_13140",NA,"rn:R05838",NA,757,398,"rectangle",46,17,"#000000","#BFFFBF",1,"00750"
