"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry12","20","sry:M621_11195","gene","http://www.kegg.jp/dbget-bin/www_bget?sry:M621_11195",NA,"rn:R01710",NA,623,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00750"
"entry35","82","sry:M621_11195","gene","http://www.kegg.jp/dbget-bin/www_bget?sry:M621_11195",NA,"rn:R00277",NA,757,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00750"
"entry37","84","sry:M621_11205 / sry:M621_13270","gene","http://www.kegg.jp/dbget-bin/www_bget?sry:M621_11205+sry:M621_13270",NA,"rn:R02493",NA,682,67,"rectangle",46,17,"#000000","#BFFFBF",1,"00750"
"entry39","86","sry:M621_11205 / sry:M621_13270","gene","http://www.kegg.jp/dbget-bin/www_bget?sry:M621_11205+sry:M621_13270",NA,"rn:R01909",NA,682,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00750"
"entry41","88","sry:M621_11205 / sry:M621_13270","gene","http://www.kegg.jp/dbget-bin/www_bget?sry:M621_11205+sry:M621_13270",NA,"rn:R00174",NA,682,203,"rectangle",46,17,"#000000","#BFFFBF",1,"00750"
"entry42","89","sry:M621_02945","gene","http://www.kegg.jp/dbget-bin/www_bget?sry:M621_02945",NA,"rn:R05086",NA,646,495,"rectangle",46,17,"#000000","#BFFFBF",1,"00750"
"entry43","90","sry:M621_03115","gene","http://www.kegg.jp/dbget-bin/www_bget?sry:M621_03115",NA,"rn:R05681",NA,700,526,"rectangle",46,17,"#000000","#BFFFBF",1,"00750"
"entry44","91","sry:M621_08725","gene","http://www.kegg.jp/dbget-bin/www_bget?sry:M621_08725",NA,"rn:R05085",NA,592,527,"rectangle",46,17,"#000000","#BFFFBF",1,"00750"
"entry45","92","sry:M621_17685","gene","http://www.kegg.jp/dbget-bin/www_bget?sry:M621_17685",NA,"rn:R04210",NA,479,527,"rectangle",46,17,"#000000","#BFFFBF",1,"00750"
"entry46","93","sry:M621_20965","gene","http://www.kegg.jp/dbget-bin/www_bget?sry:M621_20965",NA,"rn:R01825",NA,366,527,"rectangle",46,17,"#000000","#BFFFBF",1,"00750"
"entry47","96","sry:M621_11195","gene","http://www.kegg.jp/dbget-bin/www_bget?sry:M621_11195",NA,"rn:R00278",NA,757,291,"rectangle",46,17,"#000000","#BFFFBF",1,"00750"
"entry49","98","sry:M621_19725","gene","http://www.kegg.jp/dbget-bin/www_bget?sry:M621_19725",NA,"rn:R01708",NA,599,272,"rectangle",46,17,"#000000","#BFFFBF",1,"00750"
"entry50","99","sry:M621_11195","gene","http://www.kegg.jp/dbget-bin/www_bget?sry:M621_11195",NA,"rn:R01711",NA,623,291,"rectangle",46,17,"#000000","#BFFFBF",1,"00750"
"entry51","100","sry:M621_19440","gene","http://www.kegg.jp/dbget-bin/www_bget?sry:M621_19440",NA,"rn:R05838",NA,757,398,"rectangle",46,17,"#000000","#BFFFBF",1,"00750"
