"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry15","73","acd:AOLE_14565","gene","http://www.kegg.jp/dbget-bin/www_bget?acd:AOLE_14565",NA,"rn:R07410 rn:R07407",NA,894,567,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry16","74","acd:AOLE_14080","gene","http://www.kegg.jp/dbget-bin/www_bget?acd:AOLE_14080",NA,"rn:R03004",NA,935,401,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry20","78","acd:AOLE_04535","gene","http://www.kegg.jp/dbget-bin/www_bget?acd:AOLE_04535",NA,"rn:R00481",NA,844,567,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry21","79","acd:AOLE_16185","gene","http://www.kegg.jp/dbget-bin/www_bget?acd:AOLE_16185",NA,"rn:R04292",NA,870,471,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry22","80","acd:AOLE_19175","gene","http://www.kegg.jp/dbget-bin/www_bget?acd:AOLE_19175",NA,"rn:R03348",NA,869,412,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry34","92","acd:AOLE_15410","gene","http://www.kegg.jp/dbget-bin/www_bget?acd:AOLE_15410",NA,"rn:R00257",NA,1037,293,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry36","94","acd:AOLE_11780 / acd:AOLE_13495","gene","http://www.kegg.jp/dbget-bin/www_bget?acd:AOLE_11780+acd:AOLE_13495",NA,"rn:R02322",NA,868,293,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry37","95","acd:AOLE_00475","gene","http://www.kegg.jp/dbget-bin/www_bget?acd:AOLE_00475",NA,"rn:R01724",NA,718,316,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry38","96","acd:AOLE_00280","gene","http://www.kegg.jp/dbget-bin/www_bget?acd:AOLE_00280",NA,"rn:R01268",NA,580,293,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry39","98","acd:AOLE_14080","gene","http://www.kegg.jp/dbget-bin/www_bget?acd:AOLE_14080",NA,"rn:R00103",NA,935,278,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry47","107","acd:AOLE_09240","gene","http://www.kegg.jp/dbget-bin/www_bget?acd:AOLE_09240",NA,"rn:R01271",NA,722,159,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry51","111","acd:AOLE_05615","gene","http://www.kegg.jp/dbget-bin/www_bget?acd:AOLE_05615",NA,"rn:R00104",NA,1086,180,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry52","112","acd:AOLE_05375","gene","http://www.kegg.jp/dbget-bin/www_bget?acd:AOLE_05375",NA,"rn:R00112",NA,1114,158,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry53","113","acd:AOLE_16615 / acd:AOLE_16620 / acd:AOLE_16625","gene","http://www.kegg.jp/dbget-bin/www_bget?acd:AOLE_16615+acd:AOLE_16620+acd:AOLE_16625",NA,"rn:R00112",NA,1164,158,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry117","204","acd:AOLE_04990 / acd:AOLE_07385 / acd:AOLE_09870","gene","http://www.kegg.jp/dbget-bin/www_bget?acd:AOLE_04990+acd:AOLE_07385+acd:AOLE_09870",NA,"rn:R02323",NA,789,258,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry118","205","acd:AOLE_04990 / acd:AOLE_07385 / acd:AOLE_09870","gene","http://www.kegg.jp/dbget-bin/www_bget?acd:AOLE_04990+acd:AOLE_07385+acd:AOLE_09870",NA,"rn:R03346",NA,789,383,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry131","222","acd:AOLE_00995 / acd:AOLE_15425","gene","http://www.kegg.jp/dbget-bin/www_bget?acd:AOLE_00995+acd:AOLE_15425",NA,"rn:R00714",NA,346,657,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry133","224","acd:AOLE_00995 / acd:AOLE_15425","gene","http://www.kegg.jp/dbget-bin/www_bget?acd:AOLE_00995+acd:AOLE_15425",NA,"rn:R00713 rn:R00714",NA,346,619,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
