"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry20","78","dae:Dtox_2251","gene","http://www.kegg.jp/dbget-bin/www_bget?dae:Dtox_2251",NA,"rn:R00481",NA,844,567,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry21","79","dae:Dtox_2253","gene","http://www.kegg.jp/dbget-bin/www_bget?dae:Dtox_2253",NA,"rn:R04292",NA,870,471,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry22","80","dae:Dtox_2252","gene","http://www.kegg.jp/dbget-bin/www_bget?dae:Dtox_2252",NA,"rn:R03348",NA,869,412,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry32","90","dae:Dtox_3310","gene","http://www.kegg.jp/dbget-bin/www_bget?dae:Dtox_3310",NA,"rn:R03005",NA,935,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry34","92","dae:Dtox_1036","gene","http://www.kegg.jp/dbget-bin/www_bget?dae:Dtox_1036",NA,"rn:R00257",NA,1037,293,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry36","94","dae:Dtox_3105","gene","http://www.kegg.jp/dbget-bin/www_bget?dae:Dtox_3105",NA,"rn:R02322",NA,868,293,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry37","95","dae:Dtox_2296","gene","http://www.kegg.jp/dbget-bin/www_bget?dae:Dtox_2296",NA,"rn:R01724",NA,718,316,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry41","100","dae:Dtox_3310","gene","http://www.kegg.jp/dbget-bin/www_bget?dae:Dtox_3310",NA,"rn:R00137",NA,935,221,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry51","111","dae:Dtox_2582","gene","http://www.kegg.jp/dbget-bin/www_bget?dae:Dtox_2582",NA,"rn:R00104",NA,1086,180,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry117","204","dae:Dtox_1365","gene","http://www.kegg.jp/dbget-bin/www_bget?dae:Dtox_1365",NA,"rn:R02323",NA,789,258,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry118","205","dae:Dtox_1365","gene","http://www.kegg.jp/dbget-bin/www_bget?dae:Dtox_1365",NA,"rn:R03346",NA,789,383,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
