"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry16","74","esm:O3M_23795","gene","http://www.kegg.jp/dbget-bin/www_bget?esm:O3M_23795",NA,"rn:R03004",NA,935,401,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry20","78","esm:O3M_06580","gene","http://www.kegg.jp/dbget-bin/www_bget?esm:O3M_06580",NA,"rn:R00481",NA,844,567,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry21","79","esm:O3M_17900","gene","http://www.kegg.jp/dbget-bin/www_bget?esm:O3M_17900",NA,"rn:R04292",NA,870,471,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry22","80","esm:O3M_20920","gene","http://www.kegg.jp/dbget-bin/www_bget?esm:O3M_20920",NA,"rn:R03348",NA,869,412,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry28","86","esm:O3M_05650","gene","http://www.kegg.jp/dbget-bin/www_bget?esm:O3M_05650",NA,"rn:R03004",NA,935,380,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry31","89","esm:O3M_21525","gene","http://www.kegg.jp/dbget-bin/www_bget?esm:O3M_21525",NA,"rn:R02295",NA,653,359,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry32","90","esm:O3M_18375","gene","http://www.kegg.jp/dbget-bin/www_bget?esm:O3M_18375",NA,"rn:R03005",NA,935,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry33","91","esm:O3M_21495","gene","http://www.kegg.jp/dbget-bin/www_bget?esm:O3M_21495",NA,"rn:R03005",NA,935,318,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry35","93","esm:O3M_11245","gene","http://www.kegg.jp/dbget-bin/www_bget?esm:O3M_11245",NA,"rn:R00189",NA,987,293,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
"entry36","94","esm:O3M_06120","gene","http://www.kegg.jp/dbget-bin/www_bget?esm:O3M_06120",NA,"rn:R02322",NA,868,293,"rectangle",46,17,"#000000","#BFFFBF",1,"00760"
