"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry29","67","bdl:AK34_2568","gene","http://www.kegg.jp/dbget-bin/www_bget?bdl:AK34_2568",NA,"rn:R00130",NA,707,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry30","68","bdl:AK34_2033","gene","http://www.kegg.jp/dbget-bin/www_bget?bdl:AK34_2033",NA,"rn:R01625",NA,771,540,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry33","71","bdl:AK34_202","gene","http://www.kegg.jp/dbget-bin/www_bget?bdl:AK34_202",NA,"rn:R02971",NA,561,471,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry34","72","bdl:AK34_566","gene","http://www.kegg.jp/dbget-bin/www_bget?bdl:AK34_566",NA,"rn:R03269",NA,622,445,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry35","74","bdl:AK34_202","gene","http://www.kegg.jp/dbget-bin/www_bget?bdl:AK34_202",NA,"rn:R04391",NA,560,417,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry36","75","bdl:AK34_566","gene","http://www.kegg.jp/dbget-bin/www_bget?bdl:AK34_566",NA,"rn:R04231",NA,596,385,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry37","76","bdl:AK34_202","gene","http://www.kegg.jp/dbget-bin/www_bget?bdl:AK34_202",NA,"rn:R03018",NA,519,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry42","81","bdl:AK34_639","gene","http://www.kegg.jp/dbget-bin/www_bget?bdl:AK34_639",NA,"rn:R02473",NA,382,328,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry43","82","bdl:AK34_1194 / bdl:AK34_3673 / bdl:AK34_4373 / bdl:AK34_4996","gene","http://www.kegg.jp/dbget-bin/www_bget?bdl:AK34_1194+bdl:AK34_3673+bdl:AK34_4373+bdl:AK34_4996",NA,"rn:R02472",NA,298,241,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry44","83","bdl:AK34_2395","gene","http://www.kegg.jp/dbget-bin/www_bget?bdl:AK34_2395",NA,"rn:R01226",NA,392,196,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry45","85","bdl:AK34_1132 / bdl:AK34_4218 / bdl:AK34_617","gene","http://www.kegg.jp/dbget-bin/www_bget?bdl:AK34_1132+bdl:AK34_4218+bdl:AK34_617",NA,"rn:R04441",NA,478,159,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry46","86","bdl:AK34_847","gene","http://www.kegg.jp/dbget-bin/www_bget?bdl:AK34_847",NA,"rn:R04439",NA,381,130,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry47","87","bdl:AK34_2948 / bdl:AK34_3788 / bdl:AK34_4629 / bdl:AK34_845 / bdl:AK34_846","gene","http://www.kegg.jp/dbget-bin/www_bget?bdl:AK34_2948+bdl:AK34_3788+bdl:AK34_4629+bdl:AK34_845+bdl:AK34_846",NA,"rn:R00226",NA,232,130,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry49","90","bdl:AK34_459","gene","http://www.kegg.jp/dbget-bin/www_bget?bdl:AK34_459",NA,"rn:R01214",NA,591,206,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry50","92","bdl:AK34_296","gene","http://www.kegg.jp/dbget-bin/www_bget?bdl:AK34_296",NA,"rn:R03035",NA,596,540,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry52","98","bdl:AK34_638","gene","http://www.kegg.jp/dbget-bin/www_bget?bdl:AK34_638",NA,"rn:R00489",NA,320,551,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry57","103","bdl:AK34_938","gene","http://www.kegg.jp/dbget-bin/www_bget?bdl:AK34_938",NA,"rn:R01625",NA,821,540,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
