"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry29","67","bha:BH3150","gene","http://www.kegg.jp/dbget-bin/www_bget?bha:BH3150",NA,"rn:R00130",NA,707,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry30","68","bha:BH0518","gene","http://www.kegg.jp/dbget-bin/www_bget?bha:BH0518",NA,"rn:R01625",NA,771,540,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry33","71","bha:BH0086 / bha:BH2875","gene","http://www.kegg.jp/dbget-bin/www_bget?bha:BH0086+bha:BH2875",NA,"rn:R02971",NA,561,471,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry34","72","bha:BH2510","gene","http://www.kegg.jp/dbget-bin/www_bget?bha:BH2510",NA,"rn:R03269",NA,622,445,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry35","74","bha:BH0086 / bha:BH2875","gene","http://www.kegg.jp/dbget-bin/www_bget?bha:BH0086+bha:BH2875",NA,"rn:R04391",NA,560,417,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry36","75","bha:BH2510","gene","http://www.kegg.jp/dbget-bin/www_bget?bha:BH2510",NA,"rn:R04231",NA,596,385,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry37","76","bha:BH0086 / bha:BH2875","gene","http://www.kegg.jp/dbget-bin/www_bget?bha:BH0086+bha:BH2875",NA,"rn:R03018",NA,519,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry42","81","bha:BH1688","gene","http://www.kegg.jp/dbget-bin/www_bget?bha:BH1688",NA,"rn:R02473",NA,382,328,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry43","82","bha:BH1763 / bha:BH2579","gene","http://www.kegg.jp/dbget-bin/www_bget?bha:BH1763+bha:BH2579",NA,"rn:R02472",NA,298,241,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry44","83","bha:BH1687","gene","http://www.kegg.jp/dbget-bin/www_bget?bha:BH1687",NA,"rn:R01226",NA,392,196,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry45","85","bha:BH3062","gene","http://www.kegg.jp/dbget-bin/www_bget?bha:BH3062",NA,"rn:R04441",NA,478,159,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry46","86","bha:BH3059","gene","http://www.kegg.jp/dbget-bin/www_bget?bha:BH3059",NA,"rn:R04439",NA,381,130,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry47","87","bha:BH3060 / bha:BH3061 / bha:BH3873","gene","http://www.kegg.jp/dbget-bin/www_bget?bha:BH3060+bha:BH3061+bha:BH3873",NA,"rn:R00226",NA,232,130,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry49","90","bha:BH2156","gene","http://www.kegg.jp/dbget-bin/www_bget?bha:BH2156",NA,"rn:R01214",NA,591,206,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry50","92","bha:BH2589","gene","http://www.kegg.jp/dbget-bin/www_bget?bha:BH2589",NA,"rn:R03035",NA,596,540,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry52","98","bha:BH1689","gene","http://www.kegg.jp/dbget-bin/www_bget?bha:BH1689",NA,"rn:R00489",NA,320,551,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry57","103","bha:BH1852","gene","http://www.kegg.jp/dbget-bin/www_bget?bha:BH1852",NA,"rn:R01625",NA,821,540,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
