"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry29","67","dcr:108195844","gene","http://www.kegg.jp/dbget-bin/www_bget?dcr:108195844",NA,"rn:R00130",NA,707,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry31","69","dcr:108205447","gene","http://www.kegg.jp/dbget-bin/www_bget?dcr:108205447",NA,"rn:R03036",NA,646,540,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry33","71","dcr:108193552 / dcr:108195871","gene","http://www.kegg.jp/dbget-bin/www_bget?dcr:108193552+dcr:108195871",NA,"rn:R02971",NA,561,471,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry34","72","dcr:108220932 / dcr:108224831","gene","http://www.kegg.jp/dbget-bin/www_bget?dcr:108220932+dcr:108224831",NA,"rn:R03269",NA,622,445,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry35","74","dcr:108193552 / dcr:108195871","gene","http://www.kegg.jp/dbget-bin/www_bget?dcr:108193552+dcr:108195871",NA,"rn:R04391",NA,560,417,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry37","76","dcr:108193552 / dcr:108195871","gene","http://www.kegg.jp/dbget-bin/www_bget?dcr:108193552+dcr:108195871",NA,"rn:R03018",NA,519,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry38","77","dcr:108224577","gene","http://www.kegg.jp/dbget-bin/www_bget?dcr:108224577",NA,"rn:R00905",NA,273,503,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry39","78","dcr:108196693","gene","http://www.kegg.jp/dbget-bin/www_bget?dcr:108196693",NA,"rn:R02269",NA,186,502,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry40","79","dcr:108204559","gene","http://www.kegg.jp/dbget-bin/www_bget?dcr:108204559",NA,"rn:R00978",NA,100,513,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry42","81","dcr:108223469","gene","http://www.kegg.jp/dbget-bin/www_bget?dcr:108223469",NA,"rn:R02473",NA,382,328,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry44","83","dcr:108196664","gene","http://www.kegg.jp/dbget-bin/www_bget?dcr:108196664",NA,"rn:R01226",NA,392,196,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry45","85","dcr:108195972","gene","http://www.kegg.jp/dbget-bin/www_bget?dcr:108195972",NA,"rn:R04441",NA,478,159,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry46","86","dcr:108218802","gene","http://www.kegg.jp/dbget-bin/www_bget?dcr:108218802",NA,"rn:R04439",NA,381,130,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry47","87","dcr:108209456 / dcr:108210036 / dcr:108223340 / dcr:108228060","gene","http://www.kegg.jp/dbget-bin/www_bget?dcr:108209456+dcr:108210036+dcr:108223340+dcr:108228060",NA,"rn:R00226",NA,232,130,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry49","90","dcr:108193760 / dcr:108200505 / dcr:108202014 / dcr:108218840 / dcr:108227812","gene","http://www.kegg.jp/dbget-bin/www_bget?dcr:108193760+dcr:108200505+dcr:108202014+dcr:108218840+dcr:108227812",NA,"rn:R01214",NA,591,206,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry50","92","dcr:108192565 / dcr:108194502","gene","http://www.kegg.jp/dbget-bin/www_bget?dcr:108192565+dcr:108194502",NA,"rn:R03035",NA,596,540,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry57","103","dcr:108205481 / dcr:108215904 / dcr:108219815 / dcr:108224409","gene","http://www.kegg.jp/dbget-bin/www_bget?dcr:108205481+dcr:108215904+dcr:108219815+dcr:108224409",NA,"rn:R01625",NA,821,540,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry59","107","dcr:108199462 / dcr:108199557","gene","http://www.kegg.jp/dbget-bin/www_bget?dcr:108199462+dcr:108199557",NA,"rn:R04230",NA,646,385,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
