"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry29","67","sezo:SeseC_01848","gene","http://www.kegg.jp/dbget-bin/www_bget?sezo:SeseC_01848",NA,"rn:R00130",NA,707,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry30","68","sezo:SeseC_00433","gene","http://www.kegg.jp/dbget-bin/www_bget?sezo:SeseC_00433",NA,"rn:R01625",NA,771,540,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry33","71","sezo:SeseC_01227","gene","http://www.kegg.jp/dbget-bin/www_bget?sezo:SeseC_01227",NA,"rn:R02971",NA,561,471,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry34","72","sezo:SeseC_01239","gene","http://www.kegg.jp/dbget-bin/www_bget?sezo:SeseC_01239",NA,"rn:R03269",NA,622,445,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry35","74","sezo:SeseC_01227","gene","http://www.kegg.jp/dbget-bin/www_bget?sezo:SeseC_01227",NA,"rn:R04391",NA,560,417,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry36","75","sezo:SeseC_01240","gene","http://www.kegg.jp/dbget-bin/www_bget?sezo:SeseC_01240",NA,"rn:R04231",NA,596,385,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry37","76","sezo:SeseC_01227","gene","http://www.kegg.jp/dbget-bin/www_bget?sezo:SeseC_01227",NA,"rn:R03018",NA,519,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry43","82","sezo:SeseC_01455","gene","http://www.kegg.jp/dbget-bin/www_bget?sezo:SeseC_01455",NA,"rn:R02472",NA,298,241,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry49","90","sezo:SeseC_01501","gene","http://www.kegg.jp/dbget-bin/www_bget?sezo:SeseC_01501",NA,"rn:R01214",NA,591,206,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry50","92","sezo:SeseC_00698","gene","http://www.kegg.jp/dbget-bin/www_bget?sezo:SeseC_00698",NA,"rn:R03035",NA,596,540,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
