"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry29","67","lel:LELG_04010","gene","http://www.kegg.jp/dbget-bin/www_bget?lel:LELG_04010",NA,"rn:R00130",NA,707,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry30","68","lel:LELG_00422","gene","http://www.kegg.jp/dbget-bin/www_bget?lel:LELG_00422",NA,"rn:R01625",NA,771,540,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry33","71","lel:LELG_04790","gene","http://www.kegg.jp/dbget-bin/www_bget?lel:LELG_04790",NA,"rn:R02971",NA,561,471,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry34","72","lel:LELG_00144","gene","http://www.kegg.jp/dbget-bin/www_bget?lel:LELG_00144",NA,"rn:R03269",NA,622,445,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry35","74","lel:LELG_04790","gene","http://www.kegg.jp/dbget-bin/www_bget?lel:LELG_04790",NA,"rn:R04391",NA,560,417,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry37","76","lel:LELG_04790","gene","http://www.kegg.jp/dbget-bin/www_bget?lel:LELG_04790",NA,"rn:R03018",NA,519,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry42","81","lel:LELG_00115","gene","http://www.kegg.jp/dbget-bin/www_bget?lel:LELG_00115",NA,"rn:R02473",NA,382,328,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry43","82","lel:LELG_04009","gene","http://www.kegg.jp/dbget-bin/www_bget?lel:LELG_04009",NA,"rn:R02472",NA,298,241,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry44","83","lel:LELG_01476","gene","http://www.kegg.jp/dbget-bin/www_bget?lel:LELG_01476",NA,"rn:R01226",NA,392,196,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry45","85","lel:LELG_04082","gene","http://www.kegg.jp/dbget-bin/www_bget?lel:LELG_04082",NA,"rn:R04441",NA,478,159,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry46","86","lel:LELG_04680","gene","http://www.kegg.jp/dbget-bin/www_bget?lel:LELG_04680",NA,"rn:R04439",NA,381,130,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry47","87","lel:LELG_02488 / lel:LELG_04231","gene","http://www.kegg.jp/dbget-bin/www_bget?lel:LELG_02488+lel:LELG_04231",NA,"rn:R00226",NA,232,130,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry49","90","lel:LELG_01031 / lel:LELG_02248","gene","http://www.kegg.jp/dbget-bin/www_bget?lel:LELG_01031+lel:LELG_02248",NA,"rn:R01214",NA,591,206,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry57","103","lel:LELG_03247","gene","http://www.kegg.jp/dbget-bin/www_bget?lel:LELG_03247",NA,"rn:R01625",NA,821,540,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
"entry59","107","lel:LELG_02786","gene","http://www.kegg.jp/dbget-bin/www_bget?lel:LELG_02786",NA,"rn:R04230",NA,646,385,"rectangle",46,17,"#000000","#BFFFBF",1,"00770"
