"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry16","29","dar:Daro_3757","gene","http://www.kegg.jp/dbget-bin/www_bget?dar:Daro_3757",NA,"rn:R05145",NA,378,876,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry18","31","dar:Daro_3757","gene","http://www.kegg.jp/dbget-bin/www_bget?dar:Daro_3757",NA,"rn:R01074",NA,389,784,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry20","33","dar:Daro_0618","gene","http://www.kegg.jp/dbget-bin/www_bget?dar:Daro_0618",NA,"rn:R01078",NA,414,687,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry21","34","dar:Daro_2900","gene","http://www.kegg.jp/dbget-bin/www_bget?dar:Daro_2900",NA,"rn:R03182",NA,414,623,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry22","35","dar:Daro_2895","gene","http://www.kegg.jp/dbget-bin/www_bget?dar:Daro_2895",NA,"rn:R03231",NA,389,558,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry23","37","dar:Daro_2897","gene","http://www.kegg.jp/dbget-bin/www_bget?dar:Daro_2897",NA,"rn:R03210",NA,583,493,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry28","45","dar:Daro_2898","gene","http://www.kegg.jp/dbget-bin/www_bget?dar:Daro_2898",NA,"rn:R09725",NA,352,463,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry30","48","dar:Daro_2897","gene","http://www.kegg.jp/dbget-bin/www_bget?dar:Daro_2897",NA,"rn:R10124",NA,415,493,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry33","52","dar:Daro_0619 / dar:Daro_2899","gene","http://www.kegg.jp/dbget-bin/www_bget?dar:Daro_0619+dar:Daro_2899",NA,"rn:R09543",NA,118,172,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry35","56","dar:Daro_2017 / dar:Daro_4188","gene","http://www.kegg.jp/dbget-bin/www_bget?dar:Daro_2017+dar:Daro_4188",NA,"rn:R10116",NA,179,295,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry37","59","dar:Daro_1753","gene","http://www.kegg.jp/dbget-bin/www_bget?dar:Daro_1753",NA,"rn:R10117",NA,179,361,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry39","62","dar:Daro_0978 / dar:Daro_1935","gene","http://www.kegg.jp/dbget-bin/www_bget?dar:Daro_0978+dar:Daro_1935",NA,"rn:R10118",NA,179,427,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry41","67","dar:Daro_2374 / dar:Daro_4185","gene","http://www.kegg.jp/dbget-bin/www_bget?dar:Daro_2374+dar:Daro_4185",NA,"rn:R10119",NA,268,229,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry43","70","dar:Daro_2017 / dar:Daro_4188","gene","http://www.kegg.jp/dbget-bin/www_bget?dar:Daro_2017+dar:Daro_4188",NA,"rn:R10120",NA,294,295,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry45","73","dar:Daro_1753","gene","http://www.kegg.jp/dbget-bin/www_bget?dar:Daro_1753",NA,"rn:R10121",NA,294,361,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry47","76","dar:Daro_0978 / dar:Daro_1935","gene","http://www.kegg.jp/dbget-bin/www_bget?dar:Daro_0978+dar:Daro_1935",NA,"rn:R10122",NA,294,427,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry48","77","dar:Daro_1172 / dar:Daro_2019 / dar:Daro_4170","gene","http://www.kegg.jp/dbget-bin/www_bget?dar:Daro_1172+dar:Daro_2019+dar:Daro_4170",NA,"rn:R10119",NA,318,229,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry60","101","dar:Daro_2374 / dar:Daro_4185","gene","http://www.kegg.jp/dbget-bin/www_bget?dar:Daro_2374+dar:Daro_4185",NA,"rn:R10115",NA,153,229,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry61","102","dar:Daro_1172 / dar:Daro_2019 / dar:Daro_4170","gene","http://www.kegg.jp/dbget-bin/www_bget?dar:Daro_1172+dar:Daro_2019+dar:Daro_4170",NA,"rn:R10115",NA,203,229,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
