"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry16","29","lmu:LBLM1_09335","gene","http://www.kegg.jp/dbget-bin/www_bget?lmu:LBLM1_09335",NA,"rn:R05145",NA,378,876,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry18","31","lmu:LBLM1_09335","gene","http://www.kegg.jp/dbget-bin/www_bget?lmu:LBLM1_09335",NA,"rn:R01074",NA,389,784,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry35","56","lmu:LBLM1_05525 / lmu:LBLM1_09390","gene","http://www.kegg.jp/dbget-bin/www_bget?lmu:LBLM1_05525+lmu:LBLM1_09390",NA,"rn:R10116",NA,179,295,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry37","59","lmu:LBLM1_09375 / lmu:LBLM1_09415","gene","http://www.kegg.jp/dbget-bin/www_bget?lmu:LBLM1_09375+lmu:LBLM1_09415",NA,"rn:R10117",NA,179,361,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry39","62","lmu:LBLM1_09355","gene","http://www.kegg.jp/dbget-bin/www_bget?lmu:LBLM1_09355",NA,"rn:R10118",NA,179,427,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry43","70","lmu:LBLM1_05525 / lmu:LBLM1_09390","gene","http://www.kegg.jp/dbget-bin/www_bget?lmu:LBLM1_05525+lmu:LBLM1_09390",NA,"rn:R10120",NA,294,295,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry45","73","lmu:LBLM1_09375 / lmu:LBLM1_09415","gene","http://www.kegg.jp/dbget-bin/www_bget?lmu:LBLM1_09375+lmu:LBLM1_09415",NA,"rn:R10121",NA,294,361,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry47","76","lmu:LBLM1_09355","gene","http://www.kegg.jp/dbget-bin/www_bget?lmu:LBLM1_09355",NA,"rn:R10122",NA,294,427,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry48","77","lmu:LBLM1_09385","gene","http://www.kegg.jp/dbget-bin/www_bget?lmu:LBLM1_09385",NA,"rn:R10119",NA,318,229,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry61","102","lmu:LBLM1_09385","gene","http://www.kegg.jp/dbget-bin/www_bget?lmu:LBLM1_09385",NA,"rn:R10115",NA,203,229,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
