"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry16","29","paci:A4V11_08700","gene","http://www.kegg.jp/dbget-bin/www_bget?paci:A4V11_08700",NA,"rn:R05145",NA,378,876,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry18","31","paci:A4V11_08700","gene","http://www.kegg.jp/dbget-bin/www_bget?paci:A4V11_08700",NA,"rn:R01074",NA,389,784,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry35","56","paci:A4V11_01230 / paci:A4V11_01485 / paci:A4V11_03335","gene","http://www.kegg.jp/dbget-bin/www_bget?paci:A4V11_01230+paci:A4V11_01485+paci:A4V11_03335",NA,"rn:R10116",NA,179,295,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry37","59","paci:A4V11_01210 / paci:A4V11_01245","gene","http://www.kegg.jp/dbget-bin/www_bget?paci:A4V11_01210+paci:A4V11_01245",NA,"rn:R10117",NA,179,361,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry39","62","paci:A4V11_01265","gene","http://www.kegg.jp/dbget-bin/www_bget?paci:A4V11_01265",NA,"rn:R10118",NA,179,427,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry43","70","paci:A4V11_01230 / paci:A4V11_01485 / paci:A4V11_03335","gene","http://www.kegg.jp/dbget-bin/www_bget?paci:A4V11_01230+paci:A4V11_01485+paci:A4V11_03335",NA,"rn:R10120",NA,294,295,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry45","73","paci:A4V11_01210 / paci:A4V11_01245","gene","http://www.kegg.jp/dbget-bin/www_bget?paci:A4V11_01210+paci:A4V11_01245",NA,"rn:R10121",NA,294,361,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry47","76","paci:A4V11_01265","gene","http://www.kegg.jp/dbget-bin/www_bget?paci:A4V11_01265",NA,"rn:R10122",NA,294,427,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry48","77","paci:A4V11_01235","gene","http://www.kegg.jp/dbget-bin/www_bget?paci:A4V11_01235",NA,"rn:R10119",NA,318,229,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry61","102","paci:A4V11_01235","gene","http://www.kegg.jp/dbget-bin/www_bget?paci:A4V11_01235",NA,"rn:R10115",NA,203,229,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
