"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry16","29","msb:LJ00_09085","gene","http://www.kegg.jp/dbget-bin/www_bget?msb:LJ00_09085",NA,"rn:R05145",NA,378,876,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry18","31","msb:LJ00_09085","gene","http://www.kegg.jp/dbget-bin/www_bget?msb:LJ00_09085",NA,"rn:R01074",NA,389,784,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry20","33","msb:LJ00_15880","gene","http://www.kegg.jp/dbget-bin/www_bget?msb:LJ00_15880",NA,"rn:R01078",NA,414,687,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry21","34","msb:LJ00_15860","gene","http://www.kegg.jp/dbget-bin/www_bget?msb:LJ00_15860",NA,"rn:R03182",NA,414,623,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry22","35","msb:LJ00_15850","gene","http://www.kegg.jp/dbget-bin/www_bget?msb:LJ00_15850",NA,"rn:R03231",NA,389,558,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry23","37","msb:LJ00_15855","gene","http://www.kegg.jp/dbget-bin/www_bget?msb:LJ00_15855",NA,"rn:R03210",NA,583,493,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry30","48","msb:LJ00_15855","gene","http://www.kegg.jp/dbget-bin/www_bget?msb:LJ00_15855",NA,"rn:R10124",NA,415,493,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry35","56","msb:LJ00_01350 / msb:LJ00_01860 / msb:LJ00_03250 / msb:LJ00_03550 / msb:LJ00_03870 / msb:LJ00_05760 / msb:LJ00_10985 / msb:LJ00_12625 / msb:LJ00_18990 / msb:LJ00_20115 / msb:LJ00_20640 / msb:LJ00_20670 / msb:LJ00_21560 / msb:LJ00_23915 / msb:LJ00_26200 / msb:LJ00_29195 / msb:LJ00_29720","gene","http://www.kegg.jp/dbget-bin/www_bget?msb:LJ00_01350+msb:LJ00_01860+msb:LJ00_03250+msb:LJ00_03550+msb:LJ00_03870+msb:LJ00_05760+msb:LJ00_10985+msb:LJ00_12625+msb:LJ00_18990+msb:LJ00_20115+msb:LJ00_20640+msb:LJ00_20670+msb:LJ00_21560+msb:LJ00_23915+msb:LJ00_26200+msb:LJ00_29195+msb:LJ00_29720",NA,"rn:R10116",NA,179,295,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry43","70","msb:LJ00_01350 / msb:LJ00_01860 / msb:LJ00_03250 / msb:LJ00_03550 / msb:LJ00_03870 / msb:LJ00_05760 / msb:LJ00_10985 / msb:LJ00_12625 / msb:LJ00_18990 / msb:LJ00_20115 / msb:LJ00_20640 / msb:LJ00_20670 / msb:LJ00_21560 / msb:LJ00_23915 / msb:LJ00_26200 / msb:LJ00_29195 / msb:LJ00_29720","gene","http://www.kegg.jp/dbget-bin/www_bget?msb:LJ00_01350+msb:LJ00_01860+msb:LJ00_03250+msb:LJ00_03550+msb:LJ00_03870+msb:LJ00_05760+msb:LJ00_10985+msb:LJ00_12625+msb:LJ00_18990+msb:LJ00_20115+msb:LJ00_20640+msb:LJ00_20670+msb:LJ00_21560+msb:LJ00_23915+msb:LJ00_26200+msb:LJ00_29195+msb:LJ00_29720",NA,"rn:R10120",NA,294,295,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
"entry58","98","msb:LJ00_13615","gene","http://www.kegg.jp/dbget-bin/www_bget?msb:LJ00_13615",NA,"rn:R10127",NA,464,736,"rectangle",46,17,"#000000","#BFFFBF",1,"00780"
