"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry30","65","psz:PSTAB_1929","gene","http://www.kegg.jp/dbget-bin/www_bget?psz:PSTAB_1929",NA,"rn:R01716",NA,371,591,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry31","66","psz:PSTAB_2600","gene","http://www.kegg.jp/dbget-bin/www_bget?psz:PSTAB_2600",NA,"rn:R05553",NA,371,527,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry32","67","psz:PSTAB_1679","gene","http://www.kegg.jp/dbget-bin/www_bget?psz:PSTAB_1679",NA,"rn:R04241",NA,547,867,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry33","68","psz:PSTAB_1679","gene","http://www.kegg.jp/dbget-bin/www_bget?psz:PSTAB_1679",NA,"rn:R00942",NA,547,781,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry34","69","psz:PSTAB_1040 / psz:PSTAB_3977","gene","http://www.kegg.jp/dbget-bin/www_bget?psz:PSTAB_1040+psz:PSTAB_3977",NA,"rn:R00936 rn:R00939",NA,547,694,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry35","70","psz:PSTAB_3977","gene","http://www.kegg.jp/dbget-bin/www_bget?psz:PSTAB_3977",NA,"rn:R02235 rn:R02236",NA,501,649,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry36","71","psz:PSTAB_1679","gene","http://www.kegg.jp/dbget-bin/www_bget?psz:PSTAB_1679",NA,"rn:R02237",NA,572,609,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry37","72","psz:PSTAB_3363","gene","http://www.kegg.jp/dbget-bin/www_bget?psz:PSTAB_3363",NA,"rn:R03067",NA,548,527,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry38","73","psz:PSTAB_3363","gene","http://www.kegg.jp/dbget-bin/www_bget?psz:PSTAB_3363",NA,"rn:R03066",NA,500,527,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry39","74","psz:PSTAB_0613 / psz:PSTAB_3342","gene","http://www.kegg.jp/dbget-bin/www_bget?psz:PSTAB_0613+psz:PSTAB_3342",NA,"rn:R03503",NA,548,419,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry40","75","psz:PSTAB_0612","gene","http://www.kegg.jp/dbget-bin/www_bget?psz:PSTAB_0612",NA,"rn:R03504",NA,547,322,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry43","79","psz:PSTAB_1871 / psz:PSTAB_2213","gene","http://www.kegg.jp/dbget-bin/www_bget?psz:PSTAB_1871+psz:PSTAB_2213",NA,"rn:R04639",NA,376,143,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry44","80","psz:PSTAB_1871 / psz:PSTAB_2213","gene","http://www.kegg.jp/dbget-bin/www_bget?psz:PSTAB_1871+psz:PSTAB_2213",NA,"rn:R05048",NA,231,143,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry45","81","psz:PSTAB_1871 / psz:PSTAB_2213","gene","http://www.kegg.jp/dbget-bin/www_bget?psz:PSTAB_1871+psz:PSTAB_2213",NA,"rn:R05046",NA,156,181,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry46","82","psz:PSTAB_3977","gene","http://www.kegg.jp/dbget-bin/www_bget?psz:PSTAB_3977",NA,"rn:R00937 rn:R00940",NA,501,736,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry47","83","psz:PSTAB_1679","gene","http://www.kegg.jp/dbget-bin/www_bget?psz:PSTAB_1679",NA,"rn:R02237",NA,522,609,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry49","85","psz:PSTAB_3647","gene","http://www.kegg.jp/dbget-bin/www_bget?psz:PSTAB_3647",NA,"rn:R04620",NA,548,189,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry50","86","psz:PSTAB_2201","gene","http://www.kegg.jp/dbget-bin/www_bget?psz:PSTAB_2201",NA,"rn:R04286",NA,1126,167,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry53","93","psz:PSTAB_0794 / psz:PSTAB_1754","gene","http://www.kegg.jp/dbget-bin/www_bget?psz:PSTAB_0794+psz:PSTAB_1754",NA,"rn:R09394",NA,188,309,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry54","94","psz:PSTAB_1077","gene","http://www.kegg.jp/dbget-bin/www_bget?psz:PSTAB_1077",NA,"rn:R09395",NA,188,447,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry55","96","psz:PSTAB_2201","gene","http://www.kegg.jp/dbget-bin/www_bget?psz:PSTAB_2201",NA,"rn:R09959",NA,604,80,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
