"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry30","65","ara:Arad_3808","gene","http://www.kegg.jp/dbget-bin/www_bget?ara:Arad_3808",NA,"rn:R01716",NA,371,591,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry31","66","ara:Arad_3809","gene","http://www.kegg.jp/dbget-bin/www_bget?ara:Arad_3809",NA,"rn:R05553",NA,371,527,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry32","67","ara:Arad_0031 / ara:Arad_2739","gene","http://www.kegg.jp/dbget-bin/www_bget?ara:Arad_0031+ara:Arad_2739",NA,"rn:R04241",NA,547,867,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry33","68","ara:Arad_0031 / ara:Arad_2739","gene","http://www.kegg.jp/dbget-bin/www_bget?ara:Arad_0031+ara:Arad_2739",NA,"rn:R00942",NA,547,781,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry34","69","ara:Arad_2910","gene","http://www.kegg.jp/dbget-bin/www_bget?ara:Arad_2910",NA,"rn:R00936 rn:R00939",NA,547,694,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry35","70","ara:Arad_2910","gene","http://www.kegg.jp/dbget-bin/www_bget?ara:Arad_2910",NA,"rn:R02235 rn:R02236",NA,501,649,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry36","71","ara:Arad_0031 / ara:Arad_2739","gene","http://www.kegg.jp/dbget-bin/www_bget?ara:Arad_0031+ara:Arad_2739",NA,"rn:R02237",NA,572,609,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry37","72","ara:Arad_2637","gene","http://www.kegg.jp/dbget-bin/www_bget?ara:Arad_2637",NA,"rn:R03067",NA,548,527,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry38","73","ara:Arad_2637","gene","http://www.kegg.jp/dbget-bin/www_bget?ara:Arad_2637",NA,"rn:R03066",NA,500,527,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry39","74","ara:Arad_2634","gene","http://www.kegg.jp/dbget-bin/www_bget?ara:Arad_2634",NA,"rn:R03503",NA,548,419,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
