"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry30","65","bru:BFS01_10785","gene","http://www.kegg.jp/dbget-bin/www_bget?bru:BFS01_10785",NA,"rn:R01716",NA,371,591,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry31","66","bru:BFS01_10780","gene","http://www.kegg.jp/dbget-bin/www_bget?bru:BFS01_10780",NA,"rn:R05553",NA,371,527,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry32","67","bru:BFS01_10025","gene","http://www.kegg.jp/dbget-bin/www_bget?bru:BFS01_10025",NA,"rn:R04241",NA,547,867,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry33","68","bru:BFS01_10025","gene","http://www.kegg.jp/dbget-bin/www_bget?bru:BFS01_10025",NA,"rn:R00942",NA,547,781,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry34","69","bru:BFS01_06735","gene","http://www.kegg.jp/dbget-bin/www_bget?bru:BFS01_06735",NA,"rn:R00936 rn:R00939",NA,547,694,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry35","70","bru:BFS01_06735","gene","http://www.kegg.jp/dbget-bin/www_bget?bru:BFS01_06735",NA,"rn:R02235 rn:R02236",NA,501,649,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry36","71","bru:BFS01_10025","gene","http://www.kegg.jp/dbget-bin/www_bget?bru:BFS01_10025",NA,"rn:R02237",NA,572,609,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry37","72","bru:BFS01_05000","gene","http://www.kegg.jp/dbget-bin/www_bget?bru:BFS01_05000",NA,"rn:R03067",NA,548,527,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry38","73","bru:BFS01_05000","gene","http://www.kegg.jp/dbget-bin/www_bget?bru:BFS01_05000",NA,"rn:R03066",NA,500,527,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry39","74","bru:BFS01_05010","gene","http://www.kegg.jp/dbget-bin/www_bget?bru:BFS01_05010",NA,"rn:R03503",NA,548,419,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry40","75","bru:BFS01_05005","gene","http://www.kegg.jp/dbget-bin/www_bget?bru:BFS01_05005",NA,"rn:R03504",NA,547,322,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry43","79","bru:BFS01_05220","gene","http://www.kegg.jp/dbget-bin/www_bget?bru:BFS01_05220",NA,"rn:R04639",NA,376,143,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry44","80","bru:BFS01_05220","gene","http://www.kegg.jp/dbget-bin/www_bget?bru:BFS01_05220",NA,"rn:R05048",NA,231,143,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
