"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry30","65","bmet:BMMGA3_00415 / bmet:BMMGA3_00420","gene","http://www.kegg.jp/dbget-bin/www_bget?bmet:BMMGA3_00415+bmet:BMMGA3_00420",NA,"rn:R01716",NA,371,591,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry31","66","bmet:BMMGA3_00425","gene","http://www.kegg.jp/dbget-bin/www_bget?bmet:BMMGA3_00425",NA,"rn:R05553",NA,371,527,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry32","67","bmet:BMMGA3_12650","gene","http://www.kegg.jp/dbget-bin/www_bget?bmet:BMMGA3_12650",NA,"rn:R04241",NA,547,867,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry33","68","bmet:BMMGA3_12650","gene","http://www.kegg.jp/dbget-bin/www_bget?bmet:BMMGA3_12650",NA,"rn:R00942",NA,547,781,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry34","69","bmet:BMMGA3_10240","gene","http://www.kegg.jp/dbget-bin/www_bget?bmet:BMMGA3_10240",NA,"rn:R00936 rn:R00939",NA,547,694,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry35","70","bmet:BMMGA3_10240","gene","http://www.kegg.jp/dbget-bin/www_bget?bmet:BMMGA3_10240",NA,"rn:R02235 rn:R02236",NA,501,649,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry36","71","bmet:BMMGA3_12650","gene","http://www.kegg.jp/dbget-bin/www_bget?bmet:BMMGA3_12650",NA,"rn:R02237",NA,572,609,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry37","72","bmet:BMMGA3_00430","gene","http://www.kegg.jp/dbget-bin/www_bget?bmet:BMMGA3_00430",NA,"rn:R03067",NA,548,527,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry38","73","bmet:BMMGA3_00430","gene","http://www.kegg.jp/dbget-bin/www_bget?bmet:BMMGA3_00430",NA,"rn:R03066",NA,500,527,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry39","74","bmet:BMMGA3_00440","gene","http://www.kegg.jp/dbget-bin/www_bget?bmet:BMMGA3_00440",NA,"rn:R03503",NA,548,419,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry40","75","bmet:BMMGA3_00435","gene","http://www.kegg.jp/dbget-bin/www_bget?bmet:BMMGA3_00435",NA,"rn:R03504",NA,547,322,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry43","79","bmet:BMMGA3_02185 / bmet:BMMGA3_10780","gene","http://www.kegg.jp/dbget-bin/www_bget?bmet:BMMGA3_02185+bmet:BMMGA3_10780",NA,"rn:R04639",NA,376,143,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry44","80","bmet:BMMGA3_02185 / bmet:BMMGA3_10780","gene","http://www.kegg.jp/dbget-bin/www_bget?bmet:BMMGA3_02185+bmet:BMMGA3_10780",NA,"rn:R05048",NA,231,143,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry45","81","bmet:BMMGA3_02185 / bmet:BMMGA3_10780","gene","http://www.kegg.jp/dbget-bin/www_bget?bmet:BMMGA3_02185+bmet:BMMGA3_10780",NA,"rn:R05046",NA,156,181,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry46","82","bmet:BMMGA3_10240","gene","http://www.kegg.jp/dbget-bin/www_bget?bmet:BMMGA3_10240",NA,"rn:R00937 rn:R00940",NA,501,736,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry47","83","bmet:BMMGA3_12650","gene","http://www.kegg.jp/dbget-bin/www_bget?bmet:BMMGA3_12650",NA,"rn:R02237",NA,522,609,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry49","85","bmet:BMMGA3_01865 / bmet:BMMGA3_07950","gene","http://www.kegg.jp/dbget-bin/www_bget?bmet:BMMGA3_01865+bmet:BMMGA3_07950",NA,"rn:R04620",NA,548,189,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry50","86","bmet:BMMGA3_09075","gene","http://www.kegg.jp/dbget-bin/www_bget?bmet:BMMGA3_09075",NA,"rn:R04286",NA,1126,167,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry53","93","bmet:BMMGA3_04405","gene","http://www.kegg.jp/dbget-bin/www_bget?bmet:BMMGA3_04405",NA,"rn:R09394",NA,188,309,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
"entry54","94","bmet:BMMGA3_16300","gene","http://www.kegg.jp/dbget-bin/www_bget?bmet:BMMGA3_16300",NA,"rn:R09395",NA,188,447,"rectangle",46,17,"#000000","#BFFFBF",1,"00790"
