"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry9","44","psos:POS17_1931","gene","http://www.kegg.jp/dbget-bin/www_bget?psos:POS17_1931",NA,"rn:R06895",NA,551,295,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry40","75","psos:POS17_0030","gene","http://www.kegg.jp/dbget-bin/www_bget?psos:POS17_0030",NA,"rn:R03220",NA,551,274,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry131","267","psos:POS17_0073 / psos:POS17_5015","gene","http://www.kegg.jp/dbget-bin/www_bget?psos:POS17_0073+psos:POS17_5015",NA,"rn:R07411",NA,735,346,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry132","268","psos:POS17_5104","gene","http://www.kegg.jp/dbget-bin/www_bget?psos:POS17_5104",NA,"rn:R00310",NA,736,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry133","270","psos:POS17_0606 / psos:POS17_4835 / psos:POS17_5502","gene","http://www.kegg.jp/dbget-bin/www_bget?psos:POS17_0606+psos:POS17_4835+psos:POS17_5502",NA,"rn:R00078",NA,646,132,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry135","272","psos:POS17_3807","gene","http://www.kegg.jp/dbget-bin/www_bget?psos:POS17_3807",NA,"rn:R03877",NA,668,367,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry137","274","psos:POS17_0447","gene","http://www.kegg.jp/dbget-bin/www_bget?psos:POS17_0447",NA,"rn:R03197",NA,475,284,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry138","275","psos:POS17_5956","gene","http://www.kegg.jp/dbget-bin/www_bget?psos:POS17_5956",NA,"rn:R03165",NA,392,284,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry139","276","psos:POS17_1885 / psos:POS17_3995 / psos:POS17_5955","gene","http://www.kegg.jp/dbget-bin/www_bget?psos:POS17_1885+psos:POS17_3995+psos:POS17_5955",NA,"rn:R03194",NA,438,334,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry140","277","psos:POS17_0447","gene","http://www.kegg.jp/dbget-bin/www_bget?psos:POS17_0447",NA,"rn:R04972",NA,388,150,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry141","278","psos:POS17_5957","gene","http://www.kegg.jp/dbget-bin/www_bget?psos:POS17_5957",NA,"rn:R00084",NA,302,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry142","279","psos:POS17_2279 / psos:POS17_5935","gene","http://www.kegg.jp/dbget-bin/www_bget?psos:POS17_2279+psos:POS17_5935",NA,"rn:R00036",NA,219,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry143","281","psos:POS17_2854 / psos:POS17_5387","gene","http://www.kegg.jp/dbget-bin/www_bget?psos:POS17_2854+psos:POS17_5387",NA,"rn:R02272",NA,159,349,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry145","283","psos:POS17_5123","gene","http://www.kegg.jp/dbget-bin/www_bget?psos:POS17_5123",NA,"rn:R04109",NA,159,456,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry146","284","psos:POS17_2019","gene","http://www.kegg.jp/dbget-bin/www_bget?psos:POS17_2019",NA,"rn:R05578",NA,159,527,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry147","285","psos:POS17_3995","gene","http://www.kegg.jp/dbget-bin/www_bget?psos:POS17_3995",NA,"rn:R02864",NA,253,383,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry148","286","psos:POS17_3995","gene","http://www.kegg.jp/dbget-bin/www_bget?psos:POS17_3995",NA,"rn:R03947",NA,398,383,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry150","288","psos:POS17_0650","gene","http://www.kegg.jp/dbget-bin/www_bget?psos:POS17_0650",NA,"rn:R05808",NA,337,448,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry151","289","psos:POS17_0651","gene","http://www.kegg.jp/dbget-bin/www_bget?psos:POS17_0651",NA,"rn:R05809",NA,337,536,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry152","290","psos:POS17_3814","gene","http://www.kegg.jp/dbget-bin/www_bget?psos:POS17_3814",NA,"rn:R05810",NA,337,582,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry153","291","psos:POS17_0645","gene","http://www.kegg.jp/dbget-bin/www_bget?psos:POS17_0645",NA,"rn:R05812",NA,337,725,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry156","294","psos:POS17_0650","gene","http://www.kegg.jp/dbget-bin/www_bget?psos:POS17_0650",NA,"rn:R03948",NA,495,448,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
