"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry9","44","bac:BamMC406_0802","gene","http://www.kegg.jp/dbget-bin/www_bget?bac:BamMC406_0802",NA,"rn:R06895",NA,551,295,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry40","75","bac:BamMC406_2213","gene","http://www.kegg.jp/dbget-bin/www_bget?bac:BamMC406_2213",NA,"rn:R03220",NA,551,274,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry111","240","bac:BamMC406_2440","gene","http://www.kegg.jp/dbget-bin/www_bget?bac:BamMC406_2440",NA,"rn:R02394",NA,991,495,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry131","267","bac:BamMC406_2754","gene","http://www.kegg.jp/dbget-bin/www_bget?bac:BamMC406_2754",NA,"rn:R07411",NA,735,346,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry132","268","bac:BamMC406_0664","gene","http://www.kegg.jp/dbget-bin/www_bget?bac:BamMC406_0664",NA,"rn:R00310",NA,736,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry133","270","bac:BamMC406_2113","gene","http://www.kegg.jp/dbget-bin/www_bget?bac:BamMC406_2113",NA,"rn:R00078",NA,646,132,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry135","272","bac:BamMC406_1577","gene","http://www.kegg.jp/dbget-bin/www_bget?bac:BamMC406_1577",NA,"rn:R03877",NA,668,367,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry137","274","bac:BamMC406_0110","gene","http://www.kegg.jp/dbget-bin/www_bget?bac:BamMC406_0110",NA,"rn:R03197",NA,475,284,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry138","275","bac:BamMC406_2333","gene","http://www.kegg.jp/dbget-bin/www_bget?bac:BamMC406_2333",NA,"rn:R03165",NA,392,284,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry139","276","bac:BamMC406_1573 / bac:BamMC406_2333 / bac:BamMC406_2387 / bac:BamMC406_4402","gene","http://www.kegg.jp/dbget-bin/www_bget?bac:BamMC406_1573+bac:BamMC406_2333+bac:BamMC406_2387+bac:BamMC406_4402",NA,"rn:R03194",NA,438,334,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry140","277","bac:BamMC406_0110","gene","http://www.kegg.jp/dbget-bin/www_bget?bac:BamMC406_0110",NA,"rn:R04972",NA,388,150,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry141","278","bac:BamMC406_2334","gene","http://www.kegg.jp/dbget-bin/www_bget?bac:BamMC406_2334",NA,"rn:R00084",NA,302,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry142","279","bac:BamMC406_0306","gene","http://www.kegg.jp/dbget-bin/www_bget?bac:BamMC406_0306",NA,"rn:R00036",NA,219,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry143","281","bac:BamMC406_0831 / bac:BamMC406_5454","gene","http://www.kegg.jp/dbget-bin/www_bget?bac:BamMC406_0831+bac:BamMC406_5454",NA,"rn:R02272",NA,159,349,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry145","283","bac:BamMC406_0441","gene","http://www.kegg.jp/dbget-bin/www_bget?bac:BamMC406_0441",NA,"rn:R04109",NA,159,456,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry146","284","bac:BamMC406_1958","gene","http://www.kegg.jp/dbget-bin/www_bget?bac:BamMC406_1958",NA,"rn:R05578",NA,159,527,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry149","287","bac:BamMC406_2386","gene","http://www.kegg.jp/dbget-bin/www_bget?bac:BamMC406_2386",NA,"rn:R05807",NA,337,402,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry150","288","bac:BamMC406_1590","gene","http://www.kegg.jp/dbget-bin/www_bget?bac:BamMC406_1590",NA,"rn:R05808",NA,337,448,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry151","289","bac:BamMC406_1589","gene","http://www.kegg.jp/dbget-bin/www_bget?bac:BamMC406_1589",NA,"rn:R05809",NA,337,536,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry152","290","bac:BamMC406_1596","gene","http://www.kegg.jp/dbget-bin/www_bget?bac:BamMC406_1596",NA,"rn:R05810",NA,337,582,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry153","291","bac:BamMC406_1595","gene","http://www.kegg.jp/dbget-bin/www_bget?bac:BamMC406_1595",NA,"rn:R05812",NA,337,725,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry156","294","bac:BamMC406_1590","gene","http://www.kegg.jp/dbget-bin/www_bget?bac:BamMC406_1590",NA,"rn:R03948",NA,495,448,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry157","295","bac:BamMC406_1592","gene","http://www.kegg.jp/dbget-bin/www_bget?bac:BamMC406_1592",NA,"rn:R05217",NA,495,493,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry158","296","bac:BamMC406_1589","gene","http://www.kegg.jp/dbget-bin/www_bget?bac:BamMC406_1589",NA,"rn:R05180",NA,495,536,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry159","297","bac:BamMC406_1596","gene","http://www.kegg.jp/dbget-bin/www_bget?bac:BamMC406_1596",NA,"rn:R05181",NA,495,582,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry161","299","bac:BamMC406_1595","gene","http://www.kegg.jp/dbget-bin/www_bget?bac:BamMC406_1595",NA,"rn:R05150",NA,495,725,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
