"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry9","44","mln:A9174_13770 / mln:A9174_30745 / mln:A9174_34315","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_13770+mln:A9174_30745+mln:A9174_34315",NA,"rn:R06895",NA,551,295,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry14","49","mln:A9174_03125","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_03125",NA,"rn:R06270",NA,643,690,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry15","50","mln:A9174_03125","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_03125",NA,"rn:R06269",NA,643,624,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry16","51","mln:A9174_03125","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_03125",NA,"rn:R06268",NA,643,538,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry40","75","mln:A9174_11355","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_11355",NA,"rn:R03220",NA,551,274,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry131","267","mln:A9174_20955 / mln:A9174_28445","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_20955+mln:A9174_28445",NA,"rn:R07411",NA,735,346,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry132","268","mln:A9174_09775","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_09775",NA,"rn:R00310",NA,736,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry133","270","mln:A9174_00195","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_00195",NA,"rn:R00078",NA,646,132,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry137","274","mln:A9174_04385","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_04385",NA,"rn:R03197",NA,475,284,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry138","275","mln:A9174_05340","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_05340",NA,"rn:R03165",NA,392,284,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry139","276","mln:A9174_08925 / mln:A9174_19090","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_08925+mln:A9174_19090",NA,"rn:R03194",NA,438,334,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry140","277","mln:A9174_04385","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_04385",NA,"rn:R04972",NA,388,150,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry141","278","mln:A9174_05335","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_05335",NA,"rn:R00084",NA,302,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry142","279","mln:A9174_25450","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_25450",NA,"rn:R00036",NA,219,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry143","281","mln:A9174_01745 / mln:A9174_33710","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_01745+mln:A9174_33710",NA,"rn:R02272",NA,159,349,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry144","282","mln:A9174_15055 / mln:A9174_33195","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_15055+mln:A9174_33195",NA,"rn:R00830",NA,80,371,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry146","284","mln:A9174_21730 / mln:A9174_22480","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_21730+mln:A9174_22480",NA,"rn:R05578",NA,159,527,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry147","285","mln:A9174_08925","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_08925",NA,"rn:R02864",NA,253,383,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry148","286","mln:A9174_08925","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_08925",NA,"rn:R03947",NA,398,383,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry150","288","mln:A9174_19120","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_19120",NA,"rn:R05808",NA,337,448,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry151","289","mln:A9174_19115","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_19115",NA,"rn:R05809",NA,337,536,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry152","290","mln:A9174_19095","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_19095",NA,"rn:R05810",NA,337,582,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry153","291","mln:A9174_19110","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_19110",NA,"rn:R05812",NA,337,725,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry156","294","mln:A9174_19120","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_19120",NA,"rn:R03948",NA,495,448,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry157","295","mln:A9174_19130","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_19130",NA,"rn:R05217",NA,495,493,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry158","296","mln:A9174_19115","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_19115",NA,"rn:R05180",NA,495,536,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry159","297","mln:A9174_19095","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_19095",NA,"rn:R05181",NA,495,582,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry160","298","mln:A9174_18825","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_18825",NA,"rn:R05219",NA,495,652,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry161","299","mln:A9174_19110","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_19110",NA,"rn:R05150",NA,495,725,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry162","300","mln:A9174_19125","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_19125",NA,"rn:R05177",NA,495,871,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry163","301","mln:A9174_19085","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_19085",NA,"rn:R05224",NA,495,919,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry164","302","mln:A9174_07790 / mln:A9174_07795 / mln:A9174_19135","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_07790+mln:A9174_07795+mln:A9174_19135",NA,"rn:R05227",NA,495,970,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry165","303","mln:A9174_19125","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_19125",NA,"rn:R05814",NA,337,871,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry166","304","mln:A9174_19085","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_19085",NA,"rn:R05815",NA,337,919,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry167","305","mln:A9174_24460","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_24460",NA,"rn:R05218",NA,413,1015,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry168","306","mln:A9174_08095 / mln:A9174_19925","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_08095+mln:A9174_19925",NA,"rn:R05220",NA,413,1064,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry169","307","mln:A9174_20335","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_20335",NA,"rn:R05225",NA,413,1112,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry171","309","mln:A9174_08095 / mln:A9174_19925","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_08095+mln:A9174_19925",NA,"rn:R07268",NA,532,1195,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry172","310","mln:A9174_19920","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_19920",NA,"rn:R05221 rn:R06558",NA,413,1213,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry173","312","mln:A9174_08095 / mln:A9174_19925","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_08095+mln:A9174_19925",NA,"rn:R01492",NA,481,1347,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry174","313","mln:A9174_19920","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_19920",NA,"rn:R05222",NA,413,1262,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry176","315","mln:A9174_19080","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_19080",NA,"rn:R05223",NA,413,1317,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry178","317","mln:A9174_19075 / mln:A9174_22745","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_19075+mln:A9174_22745",NA,"rn:R04148",NA,231,1300,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry179","319","mln:A9174_25195","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_25195",NA,"rn:R07412",NA,735,398,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry180","320","mln:A9174_19930 / mln:A9174_19935","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_19930+mln:A9174_19935",NA,"rn:R07302",NA,413,1167,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry181","321","mln:A9174_19930 / mln:A9174_19935","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_19930+mln:A9174_19935",NA,"rn:R06529",NA,368,1242,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry182","322","mln:A9174_19105","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_19105",NA,"rn:R05149",NA,495,800,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry183","323","mln:A9174_19100","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_19100",NA,"rn:R07772",NA,337,629,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry248","418","mln:A9174_09775","gene","http://www.kegg.jp/dbget-bin/www_bget?mln:A9174_09775",NA,"rn:R11329",NA,736,196,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
