"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry9","44","span:AWL63_17750","gene","http://www.kegg.jp/dbget-bin/www_bget?span:AWL63_17750",NA,"rn:R06895",NA,551,295,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry40","75","span:AWL63_11995","gene","http://www.kegg.jp/dbget-bin/www_bget?span:AWL63_11995",NA,"rn:R03220",NA,551,274,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry109","238","span:AWL63_22505","gene","http://www.kegg.jp/dbget-bin/www_bget?span:AWL63_22505",NA,"rn:R04979",NA,1135,529,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry131","267","span:AWL63_02980","gene","http://www.kegg.jp/dbget-bin/www_bget?span:AWL63_02980",NA,"rn:R07411",NA,735,346,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry132","268","span:AWL63_05515","gene","http://www.kegg.jp/dbget-bin/www_bget?span:AWL63_05515",NA,"rn:R00310",NA,736,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry133","270","span:AWL63_21630","gene","http://www.kegg.jp/dbget-bin/www_bget?span:AWL63_21630",NA,"rn:R00078",NA,646,132,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry137","274","span:AWL63_04990","gene","http://www.kegg.jp/dbget-bin/www_bget?span:AWL63_04990",NA,"rn:R03197",NA,475,284,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry138","275","span:AWL63_05845","gene","http://www.kegg.jp/dbget-bin/www_bget?span:AWL63_05845",NA,"rn:R03165",NA,392,284,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry139","276","span:AWL63_02690 / span:AWL63_07460 / span:AWL63_14895 / span:AWL63_20780","gene","http://www.kegg.jp/dbget-bin/www_bget?span:AWL63_02690+span:AWL63_07460+span:AWL63_14895+span:AWL63_20780",NA,"rn:R03194",NA,438,334,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry140","277","span:AWL63_04990","gene","http://www.kegg.jp/dbget-bin/www_bget?span:AWL63_04990",NA,"rn:R04972",NA,388,150,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry141","278","span:AWL63_05840","gene","http://www.kegg.jp/dbget-bin/www_bget?span:AWL63_05840",NA,"rn:R00084",NA,302,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry142","279","span:AWL63_20715","gene","http://www.kegg.jp/dbget-bin/www_bget?span:AWL63_20715",NA,"rn:R00036",NA,219,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry144","282","span:AWL63_01290","gene","http://www.kegg.jp/dbget-bin/www_bget?span:AWL63_01290",NA,"rn:R00830",NA,80,371,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry146","284","span:AWL63_05650 / span:AWL63_21195","gene","http://www.kegg.jp/dbget-bin/www_bget?span:AWL63_05650+span:AWL63_21195",NA,"rn:R05578",NA,159,527,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry147","285","span:AWL63_02690","gene","http://www.kegg.jp/dbget-bin/www_bget?span:AWL63_02690",NA,"rn:R02864",NA,253,383,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry148","286","span:AWL63_02690","gene","http://www.kegg.jp/dbget-bin/www_bget?span:AWL63_02690",NA,"rn:R03947",NA,398,383,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry150","288","span:AWL63_14930","gene","http://www.kegg.jp/dbget-bin/www_bget?span:AWL63_14930",NA,"rn:R05808",NA,337,448,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
