"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry9","44","bld:BLi01061 / bld:BLi02742","gene","http://www.kegg.jp/dbget-bin/www_bget?bld:BLi01061+bld:BLi02742",NA,"rn:R06895",NA,551,295,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry131","267","bld:BLi01705","gene","http://www.kegg.jp/dbget-bin/www_bget?bld:BLi01705",NA,"rn:R07411",NA,735,346,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry132","268","bld:BLi01093 / bld:BLi04115","gene","http://www.kegg.jp/dbget-bin/www_bget?bld:BLi01093+bld:BLi04115",NA,"rn:R00310",NA,736,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry136","273","bld:BLi01094","gene","http://www.kegg.jp/dbget-bin/www_bget?bld:BLi01094",NA,"rn:R03222",NA,625,274,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry137","274","bld:BLi01092","gene","http://www.kegg.jp/dbget-bin/www_bget?bld:BLi01092",NA,"rn:R03197",NA,475,284,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry138","275","bld:BLi00486 / bld:BLi02842 / bld:BLi02944","gene","http://www.kegg.jp/dbget-bin/www_bget?bld:BLi00486+bld:BLi02842+bld:BLi02944",NA,"rn:R03165",NA,392,284,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry139","276","bld:BLi00486 / bld:BLi01782","gene","http://www.kegg.jp/dbget-bin/www_bget?bld:BLi00486+bld:BLi01782",NA,"rn:R03194",NA,438,334,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry140","277","bld:BLi01092","gene","http://www.kegg.jp/dbget-bin/www_bget?bld:BLi01092",NA,"rn:R04972",NA,388,150,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry141","278","bld:BLi02945","gene","http://www.kegg.jp/dbget-bin/www_bget?bld:BLi02945",NA,"rn:R00084",NA,302,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry142","279","bld:BLi02943","gene","http://www.kegg.jp/dbget-bin/www_bget?bld:BLi02943",NA,"rn:R00036",NA,219,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry143","281","bld:BLi00898 / bld:BLi02942","gene","http://www.kegg.jp/dbget-bin/www_bget?bld:BLi00898+bld:BLi02942",NA,"rn:R02272",NA,159,349,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry145","283","bld:BLi02947","gene","http://www.kegg.jp/dbget-bin/www_bget?bld:BLi02947",NA,"rn:R04109",NA,159,456,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry147","285","bld:BLi01783 / bld:BLi01784","gene","http://www.kegg.jp/dbget-bin/www_bget?bld:BLi01783+bld:BLi01784",NA,"rn:R02864",NA,253,383,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry148","286","bld:BLi01784","gene","http://www.kegg.jp/dbget-bin/www_bget?bld:BLi01784",NA,"rn:R03947",NA,398,383,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry168","306","bld:BLi03499","gene","http://www.kegg.jp/dbget-bin/www_bget?bld:BLi03499",NA,"rn:R05220",NA,413,1064,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry171","309","bld:BLi03499","gene","http://www.kegg.jp/dbget-bin/www_bget?bld:BLi03499",NA,"rn:R07268",NA,532,1195,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry173","312","bld:BLi03499","gene","http://www.kegg.jp/dbget-bin/www_bget?bld:BLi03499",NA,"rn:R01492",NA,481,1347,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry179","319","bld:BLi01704","gene","http://www.kegg.jp/dbget-bin/www_bget?bld:BLi01704",NA,"rn:R07412",NA,735,398,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry246","414","bld:BLi01094","gene","http://www.kegg.jp/dbget-bin/www_bget?bld:BLi01094",NA,"rn:R04178",NA,576,196,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry248","418","bld:BLi01093 / bld:BLi04115","gene","http://www.kegg.jp/dbget-bin/www_bget?bld:BLi01093+bld:BLi04115",NA,"rn:R11329",NA,736,196,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry249","420","bld:BLi03998","gene","http://www.kegg.jp/dbget-bin/www_bget?bld:BLi03998",NA,"rn:R11522",NA,781,241,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
