"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry9","44","bcq:BCQ_0962 / bcq:BCQ_4103","gene","http://www.kegg.jp/dbget-bin/www_bget?bcq:BCQ_0962+bcq:BCQ_4103",NA,"rn:R06895",NA,551,295,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry131","267","bcq:BCQ_3733","gene","http://www.kegg.jp/dbget-bin/www_bget?bcq:BCQ_3733",NA,"rn:R07411",NA,735,346,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry132","268","bcq:BCQ_1139 / bcq:BCQ_1215","gene","http://www.kegg.jp/dbget-bin/www_bget?bcq:BCQ_1139+bcq:BCQ_1215",NA,"rn:R00310",NA,736,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry133","270","bcq:BCQ_1069","gene","http://www.kegg.jp/dbget-bin/www_bget?bcq:BCQ_1069",NA,"rn:R00078",NA,646,132,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry136","273","bcq:BCQ_1140 / bcq:BCQ_2341","gene","http://www.kegg.jp/dbget-bin/www_bget?bcq:BCQ_1140+bcq:BCQ_2341",NA,"rn:R03222",NA,625,274,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry137","274","bcq:BCQ_1138","gene","http://www.kegg.jp/dbget-bin/www_bget?bcq:BCQ_1138",NA,"rn:R03197",NA,475,284,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry138","275","bcq:BCQ_2119 / bcq:BCQ_4250","gene","http://www.kegg.jp/dbget-bin/www_bget?bcq:BCQ_2119+bcq:BCQ_4250",NA,"rn:R03165",NA,392,284,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry139","276","bcq:BCQ_1499 / bcq:BCQ_2119","gene","http://www.kegg.jp/dbget-bin/www_bget?bcq:BCQ_1499+bcq:BCQ_2119",NA,"rn:R03194",NA,438,334,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry140","277","bcq:BCQ_1138","gene","http://www.kegg.jp/dbget-bin/www_bget?bcq:BCQ_1138",NA,"rn:R04972",NA,388,150,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry141","278","bcq:BCQ_4251","gene","http://www.kegg.jp/dbget-bin/www_bget?bcq:BCQ_4251",NA,"rn:R00084",NA,302,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry142","279","bcq:BCQ_4249","gene","http://www.kegg.jp/dbget-bin/www_bget?bcq:BCQ_4249",NA,"rn:R00036",NA,219,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry143","281","bcq:BCQ_0559 / bcq:BCQ_4248","gene","http://www.kegg.jp/dbget-bin/www_bget?bcq:BCQ_0559+bcq:BCQ_4248",NA,"rn:R02272",NA,159,349,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry145","283","bcq:BCQ_4253","gene","http://www.kegg.jp/dbget-bin/www_bget?bcq:BCQ_4253",NA,"rn:R04109",NA,159,456,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry147","285","bcq:BCQ_1500 / bcq:BCQ_1501 / bcq:BCQ_2117","gene","http://www.kegg.jp/dbget-bin/www_bget?bcq:BCQ_1500+bcq:BCQ_1501+bcq:BCQ_2117",NA,"rn:R02864",NA,253,383,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry148","286","bcq:BCQ_1501 / bcq:BCQ_2117","gene","http://www.kegg.jp/dbget-bin/www_bget?bcq:BCQ_1501+bcq:BCQ_2117",NA,"rn:R03947",NA,398,383,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry168","306","bcq:BCQ_1548","gene","http://www.kegg.jp/dbget-bin/www_bget?bcq:BCQ_1548",NA,"rn:R05220",NA,413,1064,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry171","309","bcq:BCQ_1548","gene","http://www.kegg.jp/dbget-bin/www_bget?bcq:BCQ_1548",NA,"rn:R07268",NA,532,1195,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry173","312","bcq:BCQ_1548","gene","http://www.kegg.jp/dbget-bin/www_bget?bcq:BCQ_1548",NA,"rn:R01492",NA,481,1347,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry179","319","bcq:BCQ_3734","gene","http://www.kegg.jp/dbget-bin/www_bget?bcq:BCQ_3734",NA,"rn:R07412",NA,735,398,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry246","414","bcq:BCQ_1140 / bcq:BCQ_2341","gene","http://www.kegg.jp/dbget-bin/www_bget?bcq:BCQ_1140+bcq:BCQ_2341",NA,"rn:R04178",NA,576,196,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry248","418","bcq:BCQ_1139 / bcq:BCQ_1215","gene","http://www.kegg.jp/dbget-bin/www_bget?bcq:BCQ_1139+bcq:BCQ_1215",NA,"rn:R11329",NA,736,196,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry249","420","bcq:BCQ_5229","gene","http://www.kegg.jp/dbget-bin/www_bget?bcq:BCQ_5229",NA,"rn:R11522",NA,781,241,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry252","423","bcq:BCQ_2805 / bcq:BCQ_4348","gene","http://www.kegg.jp/dbget-bin/www_bget?bcq:BCQ_2805+bcq:BCQ_4348",NA,"rn:R10468",NA,874,330,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
