"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry131","267","mtue:J114_07795","gene","http://www.kegg.jp/dbget-bin/www_bget?mtue:J114_07795",NA,"rn:R07411",NA,735,346,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry132","268","mtue:J114_07985","gene","http://www.kegg.jp/dbget-bin/www_bget?mtue:J114_07985",NA,"rn:R00310",NA,736,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry133","270","mtue:J114_04505 / mtue:J114_10000 / mtue:J114_20520","gene","http://www.kegg.jp/dbget-bin/www_bget?mtue:J114_04505+mtue:J114_10000+mtue:J114_20520",NA,"rn:R00078",NA,646,132,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry135","272","mtue:J114_05145 / mtue:J114_15195","gene","http://www.kegg.jp/dbget-bin/www_bget?mtue:J114_05145+mtue:J114_15195",NA,"rn:R03877",NA,668,367,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry136","273","mtue:J114_14290","gene","http://www.kegg.jp/dbget-bin/www_bget?mtue:J114_14290",NA,"rn:R03222",NA,625,274,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry137","274","mtue:J114_14295","gene","http://www.kegg.jp/dbget-bin/www_bget?mtue:J114_14295",NA,"rn:R03197",NA,475,284,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry138","275","mtue:J114_01410 / mtue:J114_02730","gene","http://www.kegg.jp/dbget-bin/www_bget?mtue:J114_01410+mtue:J114_02730",NA,"rn:R03165",NA,392,284,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry139","276","mtue:J114_02730 / mtue:J114_15180","gene","http://www.kegg.jp/dbget-bin/www_bget?mtue:J114_02730+mtue:J114_15180",NA,"rn:R03194",NA,438,334,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry140","277","mtue:J114_14295","gene","http://www.kegg.jp/dbget-bin/www_bget?mtue:J114_14295",NA,"rn:R04972",NA,388,150,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry141","278","mtue:J114_02725","gene","http://www.kegg.jp/dbget-bin/www_bget?mtue:J114_02725",NA,"rn:R00084",NA,302,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry142","279","mtue:J114_02735","gene","http://www.kegg.jp/dbget-bin/www_bget?mtue:J114_02735",NA,"rn:R00036",NA,219,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry143","281","mtue:J114_02800","gene","http://www.kegg.jp/dbget-bin/www_bget?mtue:J114_02800",NA,"rn:R02272",NA,159,349,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry145","283","mtue:J114_02720","gene","http://www.kegg.jp/dbget-bin/www_bget?mtue:J114_02720",NA,"rn:R04109",NA,159,456,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry146","284","mtue:J114_15980","gene","http://www.kegg.jp/dbget-bin/www_bget?mtue:J114_15980",NA,"rn:R05578",NA,159,527,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry147","285","mtue:J114_15180","gene","http://www.kegg.jp/dbget-bin/www_bget?mtue:J114_15180",NA,"rn:R02864",NA,253,383,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry148","286","mtue:J114_15180","gene","http://www.kegg.jp/dbget-bin/www_bget?mtue:J114_15180",NA,"rn:R03947",NA,398,383,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry150","288","mtue:J114_11060","gene","http://www.kegg.jp/dbget-bin/www_bget?mtue:J114_11060",NA,"rn:R05808",NA,337,448,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry151","289","mtue:J114_11060","gene","http://www.kegg.jp/dbget-bin/www_bget?mtue:J114_11060",NA,"rn:R05809",NA,337,536,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry152","290","mtue:J114_11090","gene","http://www.kegg.jp/dbget-bin/www_bget?mtue:J114_11090",NA,"rn:R05810",NA,337,582,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry156","294","mtue:J114_11060","gene","http://www.kegg.jp/dbget-bin/www_bget?mtue:J114_11060",NA,"rn:R03948",NA,495,448,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry157","295","mtue:J114_11050","gene","http://www.kegg.jp/dbget-bin/www_bget?mtue:J114_11050",NA,"rn:R05217",NA,495,493,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry158","296","mtue:J114_11060","gene","http://www.kegg.jp/dbget-bin/www_bget?mtue:J114_11060",NA,"rn:R05180",NA,495,536,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry159","297","mtue:J114_11090","gene","http://www.kegg.jp/dbget-bin/www_bget?mtue:J114_11090",NA,"rn:R05181",NA,495,582,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry162","300","mtue:J114_11055","gene","http://www.kegg.jp/dbget-bin/www_bget?mtue:J114_11055",NA,"rn:R05177",NA,495,871,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry163","301","mtue:J114_15185","gene","http://www.kegg.jp/dbget-bin/www_bget?mtue:J114_15185",NA,"rn:R05224",NA,495,919,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry165","303","mtue:J114_11055","gene","http://www.kegg.jp/dbget-bin/www_bget?mtue:J114_11055",NA,"rn:R05814",NA,337,871,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry166","304","mtue:J114_15185","gene","http://www.kegg.jp/dbget-bin/www_bget?mtue:J114_15185",NA,"rn:R05815",NA,337,919,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry168","306","mtue:J114_07075 / mtue:J114_15190","gene","http://www.kegg.jp/dbget-bin/www_bget?mtue:J114_07075+mtue:J114_15190",NA,"rn:R05220",NA,413,1064,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry169","307","mtue:J114_01390","gene","http://www.kegg.jp/dbget-bin/www_bget?mtue:J114_01390",NA,"rn:R05225",NA,413,1112,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry171","309","mtue:J114_07075 / mtue:J114_15190","gene","http://www.kegg.jp/dbget-bin/www_bget?mtue:J114_07075+mtue:J114_15190",NA,"rn:R07268",NA,532,1195,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry172","310","mtue:J114_01385","gene","http://www.kegg.jp/dbget-bin/www_bget?mtue:J114_01385",NA,"rn:R05221 rn:R06558",NA,413,1213,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
