"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry131","267","gav:C5O27_14665","gene","http://www.kegg.jp/dbget-bin/www_bget?gav:C5O27_14665",NA,"rn:R07411",NA,735,346,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry132","268","gav:C5O27_14825","gene","http://www.kegg.jp/dbget-bin/www_bget?gav:C5O27_14825",NA,"rn:R00310",NA,736,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry133","270","gav:C5O27_03870 / gav:C5O27_19155","gene","http://www.kegg.jp/dbget-bin/www_bget?gav:C5O27_03870+gav:C5O27_19155",NA,"rn:R00078",NA,646,132,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry135","272","gav:C5O27_13475 / gav:C5O27_20755","gene","http://www.kegg.jp/dbget-bin/www_bget?gav:C5O27_13475+gav:C5O27_20755",NA,"rn:R03877",NA,668,367,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry136","273","gav:C5O27_14075","gene","http://www.kegg.jp/dbget-bin/www_bget?gav:C5O27_14075",NA,"rn:R03222",NA,625,274,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry137","274","gav:C5O27_14070","gene","http://www.kegg.jp/dbget-bin/www_bget?gav:C5O27_14070",NA,"rn:R03197",NA,475,284,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry138","275","gav:C5O27_00230 / gav:C5O27_09980","gene","http://www.kegg.jp/dbget-bin/www_bget?gav:C5O27_00230+gav:C5O27_09980",NA,"rn:R03165",NA,392,284,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry139","276","gav:C5O27_00230 / gav:C5O27_13510","gene","http://www.kegg.jp/dbget-bin/www_bget?gav:C5O27_00230+gav:C5O27_13510",NA,"rn:R03194",NA,438,334,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry140","277","gav:C5O27_14070","gene","http://www.kegg.jp/dbget-bin/www_bget?gav:C5O27_14070",NA,"rn:R04972",NA,388,150,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry141","278","gav:C5O27_00235","gene","http://www.kegg.jp/dbget-bin/www_bget?gav:C5O27_00235",NA,"rn:R00084",NA,302,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry142","279","gav:C5O27_00225","gene","http://www.kegg.jp/dbget-bin/www_bget?gav:C5O27_00225",NA,"rn:R00036",NA,219,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry143","281","gav:C5O27_00075","gene","http://www.kegg.jp/dbget-bin/www_bget?gav:C5O27_00075",NA,"rn:R02272",NA,159,349,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry145","283","gav:C5O27_00240","gene","http://www.kegg.jp/dbget-bin/www_bget?gav:C5O27_00240",NA,"rn:R04109",NA,159,456,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry146","284","gav:C5O27_03060 / gav:C5O27_11375","gene","http://www.kegg.jp/dbget-bin/www_bget?gav:C5O27_03060+gav:C5O27_11375",NA,"rn:R05578",NA,159,527,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry147","285","gav:C5O27_13510","gene","http://www.kegg.jp/dbget-bin/www_bget?gav:C5O27_13510",NA,"rn:R02864",NA,253,383,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry148","286","gav:C5O27_13510","gene","http://www.kegg.jp/dbget-bin/www_bget?gav:C5O27_13510",NA,"rn:R03947",NA,398,383,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry150","288","gav:C5O27_15150","gene","http://www.kegg.jp/dbget-bin/www_bget?gav:C5O27_15150",NA,"rn:R05808",NA,337,448,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry151","289","gav:C5O27_15150","gene","http://www.kegg.jp/dbget-bin/www_bget?gav:C5O27_15150",NA,"rn:R05809",NA,337,536,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry152","290","gav:C5O27_15140","gene","http://www.kegg.jp/dbget-bin/www_bget?gav:C5O27_15140",NA,"rn:R05810",NA,337,582,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry153","291","gav:C5O27_15145","gene","http://www.kegg.jp/dbget-bin/www_bget?gav:C5O27_15145",NA,"rn:R05812",NA,337,725,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry156","294","gav:C5O27_15150","gene","http://www.kegg.jp/dbget-bin/www_bget?gav:C5O27_15150",NA,"rn:R03948",NA,495,448,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry157","295","gav:C5O27_15160","gene","http://www.kegg.jp/dbget-bin/www_bget?gav:C5O27_15160",NA,"rn:R05217",NA,495,493,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry158","296","gav:C5O27_15150","gene","http://www.kegg.jp/dbget-bin/www_bget?gav:C5O27_15150",NA,"rn:R05180",NA,495,536,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
