"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry8","43","syd:Syncc9605_1613","gene","http://www.kegg.jp/dbget-bin/www_bget?syd:Syncc9605_1613",NA,"rn:R06896",NA,701,715,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry17","52","syd:Syncc9605_1310","gene","http://www.kegg.jp/dbget-bin/www_bget?syd:Syncc9605_1310",NA,"rn:R06267",NA,693,690,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry18","53","syd:Syncc9605_1310","gene","http://www.kegg.jp/dbget-bin/www_bget?syd:Syncc9605_1310",NA,"rn:R06266",NA,693,624,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry19","54","syd:Syncc9605_1310","gene","http://www.kegg.jp/dbget-bin/www_bget?syd:Syncc9605_1310",NA,"rn:R06265",NA,693,538,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry40","75","syd:Syncc9605_0403","gene","http://www.kegg.jp/dbget-bin/www_bget?syd:Syncc9605_0403",NA,"rn:R03220",NA,551,274,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry113","242","syd:Syncc9605_0422","gene","http://www.kegg.jp/dbget-bin/www_bget?syd:Syncc9605_0422",NA,"rn:R05819",NA,1132,445,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry114","243","syd:Syncc9605_0423","gene","http://www.kegg.jp/dbget-bin/www_bget?syd:Syncc9605_0423",NA,"rn:R05818",NA,1036,445,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry115","244","syd:Syncc9605_0806","gene","http://www.kegg.jp/dbget-bin/www_bget?syd:Syncc9605_0806",NA,"rn:R06284",NA,765,1182,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry117","246","syd:Syncc9605_1216","gene","http://www.kegg.jp/dbget-bin/www_bget?syd:Syncc9605_1216",NA,"rn:R05817",NA,1086,383,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry127","263","syd:Syncc9605_1613","gene","http://www.kegg.jp/dbget-bin/www_bget?syd:Syncc9605_1613",NA,"rn:R06272",NA,700,1068,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry128","264","syd:Syncc9605_0741 / syd:Syncc9605_0746 / syd:Syncc9605_0747","gene","http://www.kegg.jp/dbget-bin/www_bget?syd:Syncc9605_0741+syd:Syncc9605_0746+syd:Syncc9605_0747",NA,"rn:R06282",NA,768,870,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry129","265","syd:Syncc9605_0740 / syd:Syncc9605_1268 / syd:Syncc9605_2564","gene","http://www.kegg.jp/dbget-bin/www_bget?syd:Syncc9605_0740+syd:Syncc9605_1268+syd:Syncc9605_2564",NA,"rn:R06286",NA,668,870,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry130","266","syd:Syncc9605_0740 / syd:Syncc9605_1268 / syd:Syncc9605_2564","gene","http://www.kegg.jp/dbget-bin/www_bget?syd:Syncc9605_0740+syd:Syncc9605_1268+syd:Syncc9605_2564",NA,"rn:R03845",NA,718,870,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry131","267","syd:Syncc9605_0610","gene","http://www.kegg.jp/dbget-bin/www_bget?syd:Syncc9605_0610",NA,"rn:R07411",NA,735,346,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry132","268","syd:Syncc9605_0716","gene","http://www.kegg.jp/dbget-bin/www_bget?syd:Syncc9605_0716",NA,"rn:R00310",NA,736,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry134","271","syd:Syncc9605_2425","gene","http://www.kegg.jp/dbget-bin/www_bget?syd:Syncc9605_2425",NA,"rn:R04237",NA,669,447,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry135","272","syd:Syncc9605_0209 / syd:Syncc9605_1828 / syd:Syncc9605_1952","gene","http://www.kegg.jp/dbget-bin/www_bget?syd:Syncc9605_0209+syd:Syncc9605_1828+syd:Syncc9605_1952",NA,"rn:R03877",NA,668,367,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry137","274","syd:Syncc9605_1017","gene","http://www.kegg.jp/dbget-bin/www_bget?syd:Syncc9605_1017",NA,"rn:R03197",NA,475,284,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry138","275","syd:Syncc9605_2353","gene","http://www.kegg.jp/dbget-bin/www_bget?syd:Syncc9605_2353",NA,"rn:R03165",NA,392,284,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry139","276","syd:Syncc9605_2654","gene","http://www.kegg.jp/dbget-bin/www_bget?syd:Syncc9605_2654",NA,"rn:R03194",NA,438,334,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry140","277","syd:Syncc9605_1017","gene","http://www.kegg.jp/dbget-bin/www_bget?syd:Syncc9605_1017",NA,"rn:R04972",NA,388,150,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry141","278","syd:Syncc9605_0679","gene","http://www.kegg.jp/dbget-bin/www_bget?syd:Syncc9605_0679",NA,"rn:R00084",NA,302,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry142","279","syd:Syncc9605_0507","gene","http://www.kegg.jp/dbget-bin/www_bget?syd:Syncc9605_0507",NA,"rn:R00036",NA,219,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry143","281","syd:Syncc9605_0659","gene","http://www.kegg.jp/dbget-bin/www_bget?syd:Syncc9605_0659",NA,"rn:R02272",NA,159,349,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry145","283","syd:Syncc9605_1254","gene","http://www.kegg.jp/dbget-bin/www_bget?syd:Syncc9605_1254",NA,"rn:R04109",NA,159,456,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry146","284","syd:Syncc9605_0641 / syd:Syncc9605_2091","gene","http://www.kegg.jp/dbget-bin/www_bget?syd:Syncc9605_0641+syd:Syncc9605_2091",NA,"rn:R05578",NA,159,527,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry149","287","syd:Syncc9605_1812","gene","http://www.kegg.jp/dbget-bin/www_bget?syd:Syncc9605_1812",NA,"rn:R05807",NA,337,402,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry150","288","syd:Syncc9605_2022","gene","http://www.kegg.jp/dbget-bin/www_bget?syd:Syncc9605_2022",NA,"rn:R05808",NA,337,448,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry151","289","syd:Syncc9605_0329","gene","http://www.kegg.jp/dbget-bin/www_bget?syd:Syncc9605_0329",NA,"rn:R05809",NA,337,536,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry152","290","syd:Syncc9605_0625","gene","http://www.kegg.jp/dbget-bin/www_bget?syd:Syncc9605_0625",NA,"rn:R05810",NA,337,582,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
