"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry9","44","rag:B739_1723","gene","http://www.kegg.jp/dbget-bin/www_bget?rag:B739_1723",NA,"rn:R06895",NA,551,295,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry132","268","rag:B739_0470","gene","http://www.kegg.jp/dbget-bin/www_bget?rag:B739_0470",NA,"rn:R00310",NA,736,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry137","274","rag:B739_0514","gene","http://www.kegg.jp/dbget-bin/www_bget?rag:B739_0514",NA,"rn:R03197",NA,475,284,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry138","275","rag:B739_0513 / rag:B739_0669","gene","http://www.kegg.jp/dbget-bin/www_bget?rag:B739_0513+rag:B739_0669",NA,"rn:R03165",NA,392,284,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry140","277","rag:B739_0514","gene","http://www.kegg.jp/dbget-bin/www_bget?rag:B739_0514",NA,"rn:R04972",NA,388,150,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry141","278","rag:B739_0512","gene","http://www.kegg.jp/dbget-bin/www_bget?rag:B739_0512",NA,"rn:R00084",NA,302,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry142","279","rag:B739_1248","gene","http://www.kegg.jp/dbget-bin/www_bget?rag:B739_1248",NA,"rn:R00036",NA,219,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry143","281","rag:B739_0144","gene","http://www.kegg.jp/dbget-bin/www_bget?rag:B739_0144",NA,"rn:R02272",NA,159,349,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry145","283","rag:B739_0511","gene","http://www.kegg.jp/dbget-bin/www_bget?rag:B739_0511",NA,"rn:R04109",NA,159,456,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry146","284","rag:B739_1030","gene","http://www.kegg.jp/dbget-bin/www_bget?rag:B739_1030",NA,"rn:R05578",NA,159,527,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry168","306","rag:B739_0163","gene","http://www.kegg.jp/dbget-bin/www_bget?rag:B739_0163",NA,"rn:R05220",NA,413,1064,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry171","309","rag:B739_0163","gene","http://www.kegg.jp/dbget-bin/www_bget?rag:B739_0163",NA,"rn:R07268",NA,532,1195,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry173","312","rag:B739_0163","gene","http://www.kegg.jp/dbget-bin/www_bget?rag:B739_0163",NA,"rn:R01492",NA,481,1347,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
"entry248","418","rag:B739_0470","gene","http://www.kegg.jp/dbget-bin/www_bget?rag:B739_0470",NA,"rn:R11329",NA,736,196,"rectangle",46,17,"#000000","#BFFFBF",1,"00860"
