"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry13","64","bca:BCE_4249","gene","http://www.kegg.jp/dbget-bin/www_bget?bca:BCE_4249",NA,"rn:R05636",NA,672,202,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry14","65","bca:BCE_3862","gene","http://www.kegg.jp/dbget-bin/www_bget?bca:BCE_3862",NA,"rn:R05688",NA,672,270,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry15","66","bca:BCE_0085","gene","http://www.kegg.jp/dbget-bin/www_bget?bca:BCE_0085",NA,"rn:R05633",NA,672,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry16","67","bca:BCE_0043","gene","http://www.kegg.jp/dbget-bin/www_bget?bca:BCE_0043",NA,"rn:R05634",NA,672,408,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry17","68","bca:BCE_0086","gene","http://www.kegg.jp/dbget-bin/www_bget?bca:BCE_0086",NA,"rn:R05637",NA,673,477,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry18","69","bca:BCE_4358","gene","http://www.kegg.jp/dbget-bin/www_bget?bca:BCE_4358",NA,"rn:R08689",NA,647,548,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry20","71","bca:BCE_3646 / bca:BCE_4076 / bca:BCE_5475","gene","http://www.kegg.jp/dbget-bin/www_bget?bca:BCE_3646+bca:BCE_4076+bca:BCE_5475",NA,"rn:R00238",NA,499,202,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry45","97","bca:BCE_4368","gene","http://www.kegg.jp/dbget-bin/www_bget?bca:BCE_4368",NA,"rn:R08210",NA,672,628,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry46","98","bca:BCE_1626","gene","http://www.kegg.jp/dbget-bin/www_bget?bca:BCE_1626",NA,"rn:R01123",NA,613,668,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry47","99","bca:BCE_4368","gene","http://www.kegg.jp/dbget-bin/www_bget?bca:BCE_4368",NA,"rn:R05884",NA,608,587,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry50","103","bca:BCE_4251","gene","http://www.kegg.jp/dbget-bin/www_bget?bca:BCE_4251",NA,"rn:R01658",NA,673,727,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry52","105","bca:BCE_4251","gene","http://www.kegg.jp/dbget-bin/www_bget?bca:BCE_4251",NA,"rn:R02003",NA,493,915,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry53","106","bca:BCE_3864","gene","http://www.kegg.jp/dbget-bin/www_bget?bca:BCE_3864",NA,"rn:R06447",NA,379,1235,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry60","116","bca:BCE_4251","gene","http://www.kegg.jp/dbget-bin/www_bget?bca:BCE_4251",NA,"rn:R02061",NA,552,982,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry62","118","bca:BCE_1639 / bca:BCE_1641","gene","http://www.kegg.jp/dbget-bin/www_bget?bca:BCE_1639+bca:BCE_1641",NA,"rn:R09247",NA,553,1112,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry106","165","bca:BCE_4358","gene","http://www.kegg.jp/dbget-bin/www_bget?bca:BCE_4358",NA,"rn:R10859",NA,697,548,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
