"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry13","64","spop:SporoP37_00795","gene","http://www.kegg.jp/dbget-bin/www_bget?spop:SporoP37_00795",NA,"rn:R05636",NA,672,202,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry14","65","spop:SporoP37_14770","gene","http://www.kegg.jp/dbget-bin/www_bget?spop:SporoP37_14770",NA,"rn:R05688",NA,672,270,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry15","66","spop:SporoP37_08465","gene","http://www.kegg.jp/dbget-bin/www_bget?spop:SporoP37_08465",NA,"rn:R05633",NA,672,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry16","67","spop:SporoP37_09960","gene","http://www.kegg.jp/dbget-bin/www_bget?spop:SporoP37_09960",NA,"rn:R05634",NA,672,408,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry17","68","spop:SporoP37_08460","gene","http://www.kegg.jp/dbget-bin/www_bget?spop:SporoP37_08460",NA,"rn:R05637",NA,673,477,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry18","69","spop:SporoP37_00085","gene","http://www.kegg.jp/dbget-bin/www_bget?spop:SporoP37_00085",NA,"rn:R08689",NA,647,548,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry20","71","spop:SporoP37_11755","gene","http://www.kegg.jp/dbget-bin/www_bget?spop:SporoP37_11755",NA,"rn:R00238",NA,499,202,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry45","97","spop:SporoP37_00035","gene","http://www.kegg.jp/dbget-bin/www_bget?spop:SporoP37_00035",NA,"rn:R08210",NA,672,628,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry46","98","spop:SporoP37_01220","gene","http://www.kegg.jp/dbget-bin/www_bget?spop:SporoP37_01220",NA,"rn:R01123",NA,613,668,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry47","99","spop:SporoP37_00035","gene","http://www.kegg.jp/dbget-bin/www_bget?spop:SporoP37_00035",NA,"rn:R05884",NA,608,587,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry50","103","spop:SporoP37_00790","gene","http://www.kegg.jp/dbget-bin/www_bget?spop:SporoP37_00790",NA,"rn:R01658",NA,673,727,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry52","105","spop:SporoP37_00790","gene","http://www.kegg.jp/dbget-bin/www_bget?spop:SporoP37_00790",NA,"rn:R02003",NA,493,915,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry53","106","spop:SporoP37_14760","gene","http://www.kegg.jp/dbget-bin/www_bget?spop:SporoP37_14760",NA,"rn:R06447",NA,379,1235,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry60","116","spop:SporoP37_00790","gene","http://www.kegg.jp/dbget-bin/www_bget?spop:SporoP37_00790",NA,"rn:R02061",NA,552,982,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry62","118","spop:SporoP37_15440 / spop:SporoP37_15450","gene","http://www.kegg.jp/dbget-bin/www_bget?spop:SporoP37_15440+spop:SporoP37_15450",NA,"rn:R09247",NA,553,1112,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry106","165","spop:SporoP37_00085","gene","http://www.kegg.jp/dbget-bin/www_bget?spop:SporoP37_00085",NA,"rn:R10859",NA,697,548,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
