"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry13","64","mtul:TBHG_02618 / mtul:TBHG_03317","gene","http://www.kegg.jp/dbget-bin/www_bget?mtul:TBHG_02618+mtul:TBHG_03317",NA,"rn:R05636",NA,672,202,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry14","65","mtul:TBHG_02800","gene","http://www.kegg.jp/dbget-bin/www_bget?mtul:TBHG_02800",NA,"rn:R05688",NA,672,270,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry15","66","mtul:TBHG_03523","gene","http://www.kegg.jp/dbget-bin/www_bget?mtul:TBHG_03523",NA,"rn:R05633",NA,672,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry16","67","mtul:TBHG_00995","gene","http://www.kegg.jp/dbget-bin/www_bget?mtul:TBHG_00995",NA,"rn:R05634",NA,672,408,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry17","68","mtul:TBHG_03522","gene","http://www.kegg.jp/dbget-bin/www_bget?mtul:TBHG_03522",NA,"rn:R05637",NA,673,477,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry18","69","mtul:TBHG_02798","gene","http://www.kegg.jp/dbget-bin/www_bget?mtul:TBHG_02798",NA,"rn:R08689",NA,647,548,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry20","71","mtul:TBHG_00243 / mtul:TBHG_00847 / mtul:TBHG_00900 / mtul:TBHG_01058 / mtul:TBHG_01118 / mtul:TBHG_01310 / mtul:TBHG_01822 / mtul:TBHG_03486 / mtul:TBHG_03496","gene","http://www.kegg.jp/dbget-bin/www_bget?mtul:TBHG_00243+mtul:TBHG_00847+mtul:TBHG_00900+mtul:TBHG_01058+mtul:TBHG_01118+mtul:TBHG_01310+mtul:TBHG_01822+mtul:TBHG_03486+mtul:TBHG_03496",NA,"rn:R00238",NA,499,202,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry45","97","mtul:TBHG_01095 / mtul:TBHG_03318","gene","http://www.kegg.jp/dbget-bin/www_bget?mtul:TBHG_01095+mtul:TBHG_03318",NA,"rn:R08210",NA,672,628,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry46","98","mtul:TBHG_01702","gene","http://www.kegg.jp/dbget-bin/www_bget?mtul:TBHG_01702",NA,"rn:R01123",NA,613,668,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry47","99","mtul:TBHG_01095 / mtul:TBHG_03318","gene","http://www.kegg.jp/dbget-bin/www_bget?mtul:TBHG_01095+mtul:TBHG_03318",NA,"rn:R05884",NA,608,587,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry50","103","mtul:TBHG_02125 / mtul:TBHG_03319 / mtul:TBHG_03335","gene","http://www.kegg.jp/dbget-bin/www_bget?mtul:TBHG_02125+mtul:TBHG_03319+mtul:TBHG_03335",NA,"rn:R01658",NA,673,727,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry51","104","mtul:TBHG_01069","gene","http://www.kegg.jp/dbget-bin/www_bget?mtul:TBHG_01069",NA,"rn:R08528",NA,493,834,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry52","105","mtul:TBHG_02125 / mtul:TBHG_03319 / mtul:TBHG_03335","gene","http://www.kegg.jp/dbget-bin/www_bget?mtul:TBHG_02125+mtul:TBHG_03319+mtul:TBHG_03335",NA,"rn:R02003",NA,493,915,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry60","116","mtul:TBHG_02125 / mtul:TBHG_03319 / mtul:TBHG_03335","gene","http://www.kegg.jp/dbget-bin/www_bget?mtul:TBHG_02125+mtul:TBHG_03319+mtul:TBHG_03335",NA,"rn:R02061",NA,552,982,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry62","118","mtul:TBHG_00559 / mtul:TBHG_00973","gene","http://www.kegg.jp/dbget-bin/www_bget?mtul:TBHG_00559+mtul:TBHG_00973",NA,"rn:R09247",NA,553,1112,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry72","128","mtul:TBHG_02300","gene","http://www.kegg.jp/dbget-bin/www_bget?mtul:TBHG_02300",NA,"rn:R09244",NA,390,783,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry106","165","mtul:TBHG_02798","gene","http://www.kegg.jp/dbget-bin/www_bget?mtul:TBHG_02798",NA,"rn:R10859",NA,697,548,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
