"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry20","71","dsq:DICSQDRAFT_145972","gene","http://www.kegg.jp/dbget-bin/www_bget?dsq:DICSQDRAFT_145972",NA,"rn:R00238",NA,499,202,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry21","72","dsq:DICSQDRAFT_92577","gene","http://www.kegg.jp/dbget-bin/www_bget?dsq:DICSQDRAFT_92577",NA,"rn:R01978",NA,434,270,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry23","75","dsq:DICSQDRAFT_102019","gene","http://www.kegg.jp/dbget-bin/www_bget?dsq:DICSQDRAFT_102019",NA,"rn:R02082",NA,409,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry46","98","dsq:DICSQDRAFT_130980","gene","http://www.kegg.jp/dbget-bin/www_bget?dsq:DICSQDRAFT_130980",NA,"rn:R01123",NA,613,668,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry48","100","dsq:DICSQDRAFT_94421","gene","http://www.kegg.jp/dbget-bin/www_bget?dsq:DICSQDRAFT_94421",NA,"rn:R01121",NA,435,548,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry49","101","dsq:DICSQDRAFT_50463","gene","http://www.kegg.jp/dbget-bin/www_bget?dsq:DICSQDRAFT_50463",NA,"rn:R03245",NA,434,477,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry50","103","dsq:DICSQDRAFT_109488 / dsq:DICSQDRAFT_113606 / dsq:DICSQDRAFT_140688 / dsq:DICSQDRAFT_141060 / dsq:DICSQDRAFT_141429 / dsq:DICSQDRAFT_184036","gene","http://www.kegg.jp/dbget-bin/www_bget?dsq:DICSQDRAFT_109488+dsq:DICSQDRAFT_113606+dsq:DICSQDRAFT_140688+dsq:DICSQDRAFT_141060+dsq:DICSQDRAFT_141429+dsq:DICSQDRAFT_184036",NA,"rn:R01658",NA,673,727,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry52","105","dsq:DICSQDRAFT_109488 / dsq:DICSQDRAFT_113606 / dsq:DICSQDRAFT_140688 / dsq:DICSQDRAFT_141060 / dsq:DICSQDRAFT_141429 / dsq:DICSQDRAFT_184036","gene","http://www.kegg.jp/dbget-bin/www_bget?dsq:DICSQDRAFT_109488+dsq:DICSQDRAFT_113606+dsq:DICSQDRAFT_140688+dsq:DICSQDRAFT_141060+dsq:DICSQDRAFT_141429+dsq:DICSQDRAFT_184036",NA,"rn:R02003",NA,493,915,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry60","116","dsq:DICSQDRAFT_141429","gene","http://www.kegg.jp/dbget-bin/www_bget?dsq:DICSQDRAFT_141429",NA,"rn:R02061",NA,552,982,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry63","119","dsq:DICSQDRAFT_49074 / dsq:DICSQDRAFT_75790","gene","http://www.kegg.jp/dbget-bin/www_bget?dsq:DICSQDRAFT_49074+dsq:DICSQDRAFT_75790",NA,"rn:R05556",NA,379,1173,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry68","124","dsq:DICSQDRAFT_173926 / dsq:DICSQDRAFT_176811","gene","http://www.kegg.jp/dbget-bin/www_bget?dsq:DICSQDRAFT_173926+dsq:DICSQDRAFT_176811",NA,"rn:R09245",NA,553,1050,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry69","125","dsq:DICSQDRAFT_173926 / dsq:DICSQDRAFT_176811","gene","http://www.kegg.jp/dbget-bin/www_bget?dsq:DICSQDRAFT_173926+dsq:DICSQDRAFT_176811",NA,"rn:R09246",NA,672,1013,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry77","133","dsq:DICSQDRAFT_85477 / dsq:DICSQDRAFT_88928","gene","http://www.kegg.jp/dbget-bin/www_bget?dsq:DICSQDRAFT_85477+dsq:DICSQDRAFT_88928",NA,"rn:R09844",NA,379,1052,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry78","134","dsq:DICSQDRAFT_112441","gene","http://www.kegg.jp/dbget-bin/www_bget?dsq:DICSQDRAFT_112441",NA,"rn:R09845",NA,259,1062,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry79","135","dsq:DICSQDRAFT_147256","gene","http://www.kegg.jp/dbget-bin/www_bget?dsq:DICSQDRAFT_147256",NA,"rn:R04496",NA,147,1052,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry81","137","dsq:DICSQDRAFT_155080","gene","http://www.kegg.jp/dbget-bin/www_bget?dsq:DICSQDRAFT_155080",NA,"rn:R09562",NA,116,970,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry94","150","dsq:DICSQDRAFT_155080","gene","http://www.kegg.jp/dbget-bin/www_bget?dsq:DICSQDRAFT_155080",NA,"rn:R09562",NA,66,970,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry95","151","dsq:DICSQDRAFT_180370","gene","http://www.kegg.jp/dbget-bin/www_bget?dsq:DICSQDRAFT_180370",NA,"rn:R09845",NA,259,1041,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
