"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry13","64","pvx:PVX_082790","gene","http://www.kegg.jp/dbget-bin/www_bget?pvx:PVX_082790",NA,"rn:R05636",NA,672,202,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry14","65","pvx:PVX_117100","gene","http://www.kegg.jp/dbget-bin/www_bget?pvx:PVX_117100",NA,"rn:R05688",NA,672,270,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry16","67","pvx:PVX_097660","gene","http://www.kegg.jp/dbget-bin/www_bget?pvx:PVX_097660",NA,"rn:R05634",NA,672,408,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry17","68","pvx:PVX_003920","gene","http://www.kegg.jp/dbget-bin/www_bget?pvx:PVX_003920",NA,"rn:R05637",NA,673,477,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry18","69","pvx:PVX_111575","gene","http://www.kegg.jp/dbget-bin/www_bget?pvx:PVX_111575",NA,"rn:R08689",NA,647,548,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry20","71","pvx:PVX_117935","gene","http://www.kegg.jp/dbget-bin/www_bget?pvx:PVX_117935",NA,"rn:R00238",NA,499,202,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry45","97","pvx:PVX_081535","gene","http://www.kegg.jp/dbget-bin/www_bget?pvx:PVX_081535",NA,"rn:R08210",NA,672,628,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry47","99","pvx:PVX_081535","gene","http://www.kegg.jp/dbget-bin/www_bget?pvx:PVX_081535",NA,"rn:R05884",NA,608,587,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry50","103","pvx:PVX_092040","gene","http://www.kegg.jp/dbget-bin/www_bget?pvx:PVX_092040",NA,"rn:R01658",NA,673,727,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry52","105","pvx:PVX_092040","gene","http://www.kegg.jp/dbget-bin/www_bget?pvx:PVX_092040",NA,"rn:R02003",NA,493,915,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry63","119","pvx:PVX_089040","gene","http://www.kegg.jp/dbget-bin/www_bget?pvx:PVX_089040",NA,"rn:R05556",NA,379,1173,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry77","133","pvx:PVX_092960","gene","http://www.kegg.jp/dbget-bin/www_bget?pvx:PVX_092960",NA,"rn:R09844",NA,379,1052,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry79","135","pvx:PVX_100790","gene","http://www.kegg.jp/dbget-bin/www_bget?pvx:PVX_100790",NA,"rn:R04496",NA,147,1052,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry106","165","pvx:PVX_111575","gene","http://www.kegg.jp/dbget-bin/www_bget?pvx:PVX_111575",NA,"rn:R10859",NA,697,548,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
