"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry19","70","myd:102752866","gene","http://www.kegg.jp/dbget-bin/www_bget?myd:102752866",NA,"rn:R02245",NA,434,408,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry20","71","myd:102756266 / myd:102764115","gene","http://www.kegg.jp/dbget-bin/www_bget?myd:102756266+myd:102764115",NA,"rn:R00238",NA,499,202,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry21","72","myd:102767700 / myd:102771816","gene","http://www.kegg.jp/dbget-bin/www_bget?myd:102767700+myd:102771816",NA,"rn:R01978",NA,434,270,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry23","75","myd:102767367","gene","http://www.kegg.jp/dbget-bin/www_bget?myd:102767367",NA,"rn:R02082",NA,409,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry46","98","myd:102754130","gene","http://www.kegg.jp/dbget-bin/www_bget?myd:102754130",NA,"rn:R01123",NA,613,668,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry48","100","myd:102760535","gene","http://www.kegg.jp/dbget-bin/www_bget?myd:102760535",NA,"rn:R01121",NA,435,548,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry49","101","myd:102759157","gene","http://www.kegg.jp/dbget-bin/www_bget?myd:102759157",NA,"rn:R03245",NA,434,477,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry50","103","myd:102760204 / myd:102771057","gene","http://www.kegg.jp/dbget-bin/www_bget?myd:102760204+myd:102771057",NA,"rn:R01658",NA,673,727,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry52","105","myd:102760204 / myd:102771057","gene","http://www.kegg.jp/dbget-bin/www_bget?myd:102760204+myd:102771057",NA,"rn:R02003",NA,493,915,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry60","116","myd:102771057","gene","http://www.kegg.jp/dbget-bin/www_bget?myd:102771057",NA,"rn:R02061",NA,552,982,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry63","119","myd:102758520 / myd:102764339","gene","http://www.kegg.jp/dbget-bin/www_bget?myd:102758520+myd:102764339",NA,"rn:R05556",NA,379,1173,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry64","120","myd:102763370 / myd:102766455","gene","http://www.kegg.jp/dbget-bin/www_bget?myd:102763370+myd:102766455",NA,"rn:R09249",NA,553,1234,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry77","133","myd:102751880 / myd:102770189","gene","http://www.kegg.jp/dbget-bin/www_bget?myd:102751880+myd:102770189",NA,"rn:R09844",NA,379,1052,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry78","134","myd:102770598","gene","http://www.kegg.jp/dbget-bin/www_bget?myd:102770598",NA,"rn:R09845",NA,259,1062,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry79","135","myd:102752083","gene","http://www.kegg.jp/dbget-bin/www_bget?myd:102752083",NA,"rn:R04496",NA,147,1052,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry81","137","myd:102755614","gene","http://www.kegg.jp/dbget-bin/www_bget?myd:102755614",NA,"rn:R09562",NA,116,970,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry94","150","myd:102755614","gene","http://www.kegg.jp/dbget-bin/www_bget?myd:102755614",NA,"rn:R09562",NA,66,970,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry95","151","myd:102767278","gene","http://www.kegg.jp/dbget-bin/www_bget?myd:102767278",NA,"rn:R09845",NA,259,1041,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
