"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry13","64","tme:Tmel_0252","gene","http://www.kegg.jp/dbget-bin/www_bget?tme:Tmel_0252",NA,"rn:R05636",NA,672,202,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry14","65","tme:Tmel_0037","gene","http://www.kegg.jp/dbget-bin/www_bget?tme:Tmel_0037",NA,"rn:R05688",NA,672,270,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry15","66","tme:Tmel_1925","gene","http://www.kegg.jp/dbget-bin/www_bget?tme:Tmel_1925",NA,"rn:R05633",NA,672,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry16","67","tme:Tmel_0318","gene","http://www.kegg.jp/dbget-bin/www_bget?tme:Tmel_0318",NA,"rn:R05634",NA,672,408,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry17","68","tme:Tmel_0239","gene","http://www.kegg.jp/dbget-bin/www_bget?tme:Tmel_0239",NA,"rn:R05637",NA,673,477,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry18","69","tme:Tmel_0263","gene","http://www.kegg.jp/dbget-bin/www_bget?tme:Tmel_0263",NA,"rn:R08689",NA,647,548,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry20","71","tme:Tmel_1134","gene","http://www.kegg.jp/dbget-bin/www_bget?tme:Tmel_1134",NA,"rn:R00238",NA,499,202,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry45","97","tme:Tmel_1623","gene","http://www.kegg.jp/dbget-bin/www_bget?tme:Tmel_1623",NA,"rn:R08210",NA,672,628,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry47","99","tme:Tmel_1623","gene","http://www.kegg.jp/dbget-bin/www_bget?tme:Tmel_1623",NA,"rn:R05884",NA,608,587,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry50","103","tme:Tmel_1363","gene","http://www.kegg.jp/dbget-bin/www_bget?tme:Tmel_1363",NA,"rn:R01658",NA,673,727,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry52","105","tme:Tmel_1363","gene","http://www.kegg.jp/dbget-bin/www_bget?tme:Tmel_1363",NA,"rn:R02003",NA,493,915,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry53","106","tme:Tmel_1279","gene","http://www.kegg.jp/dbget-bin/www_bget?tme:Tmel_1279",NA,"rn:R06447",NA,379,1235,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry60","116","tme:Tmel_1363","gene","http://www.kegg.jp/dbget-bin/www_bget?tme:Tmel_1363",NA,"rn:R02061",NA,552,982,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry62","118","tme:Tmel_0213","gene","http://www.kegg.jp/dbget-bin/www_bget?tme:Tmel_0213",NA,"rn:R09247",NA,553,1112,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry95","151","tme:Tmel_0359","gene","http://www.kegg.jp/dbget-bin/www_bget?tme:Tmel_0359",NA,"rn:R09845",NA,259,1041,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
"entry106","165","tme:Tmel_0263","gene","http://www.kegg.jp/dbget-bin/www_bget?tme:Tmel_0263",NA,"rn:R10859",NA,697,548,"rectangle",46,17,"#000000","#BFFFBF",1,"00900"
