"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry14","42","thef:E1B22_11675","gene","http://www.kegg.jp/dbget-bin/www_bget?thef:E1B22_11675",NA,"rn:R00529",NA,55,353,"rectangle",46,17,"#000000","#BFFFBF",1,"00920"
"entry18","48","thef:E1B22_03390 / thef:E1B22_11665","gene","http://www.kegg.jp/dbget-bin/www_bget?thef:E1B22_03390+thef:E1B22_11665",NA,"rn:R02021",NA,316,364,"rectangle",46,17,"#000000","#BFFFBF",1,"00920"
"entry38","77","thef:E1B22_01670","gene","http://www.kegg.jp/dbget-bin/www_bget?thef:E1B22_01670",NA,"rn:R10152",NA,639,364,"rectangle",46,17,"#000000","#BFFFBF",1,"00920"
"entry43","90","thef:E1B22_01605","gene","http://www.kegg.jp/dbget-bin/www_bget?thef:E1B22_01605",NA,"rn:R01931",NA,439,239,"rectangle",46,17,"#000000","#BFFFBF",1,"00920"
"entry49","98","thef:E1B22_07420 / thef:E1B22_11085","gene","http://www.kegg.jp/dbget-bin/www_bget?thef:E1B22_07420+thef:E1B22_11085",NA,"rn:R07177",NA,423,138,"rectangle",46,17,"#000000","#BFFFBF",1,"00920"
"entry54","103","thef:E1B22_07865","gene","http://www.kegg.jp/dbget-bin/www_bget?thef:E1B22_07865",NA,"rn:R00897",NA,825,308,"rectangle",46,17,"#000000","#BFFFBF",1,"00920"
"entry73","125","thef:E1B22_10075","gene","http://www.kegg.jp/dbget-bin/www_bget?thef:E1B22_10075",NA,"rn:R01777",NA,826,518,"rectangle",46,17,"#000000","#BFFFBF",1,"00920"
"entry86","150","thef:E1B22_03390 / thef:E1B22_11665","gene","http://www.kegg.jp/dbget-bin/www_bget?thef:E1B22_03390+thef:E1B22_11665",NA,"rn:R02021",NA,505,765,"rectangle",46,17,"#000000","#BFFFBF",1,"00920"
"entry94","158","thef:E1B22_11675","gene","http://www.kegg.jp/dbget-bin/www_bget?thef:E1B22_11675",NA,"rn:R00529",NA,288,765,"rectangle",46,17,"#000000","#BFFFBF",1,"00920"
"entry99","164","thef:E1B22_11675","gene","http://www.kegg.jp/dbget-bin/www_bget?thef:E1B22_11675",NA,"rn:R00529",NA,288,836,"rectangle",46,17,"#000000","#BFFFBF",1,"00920"
