"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry4","33","bfu:BCIN_07g04460","gene","http://www.kegg.jp/dbget-bin/www_bget?bfu:BCIN_07g04460",NA,"rn:R00533",NA,183,297,"rectangle",46,17,"#000000","#BFFFBF",1,"00920"
"entry7","37","bfu:BCIN_12g03740 / bfu:BCIN_13g03450","gene","http://www.kegg.jp/dbget-bin/www_bget?bfu:BCIN_12g03740+bfu:BCIN_13g03450",NA,"rn:R00858",NA,493,287,"rectangle",46,17,"#000000","#BFFFBF",1,"00920"
"entry10","44","bfu:BCIN_13g01730","gene","http://www.kegg.jp/dbget-bin/www_bget?bfu:BCIN_13g01730",NA,"rn:R00508",NA,156,464,"rectangle",46,17,"#000000","#BFFFBF",1,"00920"
"entry11","45","bfu:BCIN_11g00160","gene","http://www.kegg.jp/dbget-bin/www_bget?bfu:BCIN_11g00160",NA,"rn:R00509",NA,80,464,"rectangle",46,17,"#000000","#BFFFBF",1,"00920"
"entry13","47","bfu:BCIN_10g01090","gene","http://www.kegg.jp/dbget-bin/www_bget?bfu:BCIN_10g01090",NA,"rn:R00530",NA,105,353,"rectangle",46,17,"#000000","#BFFFBF",1,"00920"
"entry14","48","bfu:BCIN_01g04340","gene","http://www.kegg.jp/dbget-bin/www_bget?bfu:BCIN_01g04340",NA,"rn:R00529",NA,55,353,"rectangle",46,17,"#000000","#BFFFBF",1,"00920"
"entry18","54","bfu:BCIN_01g04230","gene","http://www.kegg.jp/dbget-bin/www_bget?bfu:BCIN_01g04230",NA,"rn:R02021",NA,316,364,"rectangle",46,17,"#000000","#BFFFBF",1,"00920"
"entry43","96","bfu:BCIN_01g00880","gene","http://www.kegg.jp/dbget-bin/www_bget?bfu:BCIN_01g00880",NA,"rn:R01931",NA,439,239,"rectangle",46,17,"#000000","#BFFFBF",1,"00920"
"entry54","109","bfu:BCIN_04g00770 / bfu:BCIN_05g04610 / bfu:BCIN_15g02880","gene","http://www.kegg.jp/dbget-bin/www_bget?bfu:BCIN_04g00770+bfu:BCIN_05g04610+bfu:BCIN_15g02880",NA,"rn:R00897",NA,825,308,"rectangle",46,17,"#000000","#BFFFBF",1,"00920"
"entry69","130","bfu:BCIN_02g06470","gene","http://www.kegg.jp/dbget-bin/www_bget?bfu:BCIN_02g06470",NA,"rn:R01288",NA,865,420,"rectangle",46,17,"#000000","#BFFFBF",1,"00920"
"entry73","134","bfu:BCIN_06g04010","gene","http://www.kegg.jp/dbget-bin/www_bget?bfu:BCIN_06g04010",NA,"rn:R01777",NA,826,518,"rectangle",46,17,"#000000","#BFFFBF",1,"00920"
"entry86","159","bfu:BCIN_01g04230","gene","http://www.kegg.jp/dbget-bin/www_bget?bfu:BCIN_01g04230",NA,"rn:R02021",NA,505,765,"rectangle",46,17,"#000000","#BFFFBF",1,"00920"
"entry89","162","bfu:BCIN_12g03740 / bfu:BCIN_13g03450","gene","http://www.kegg.jp/dbget-bin/www_bget?bfu:BCIN_12g03740+bfu:BCIN_13g03450",NA,"rn:R00858",NA,675,754,"rectangle",46,17,"#000000","#BFFFBF",1,"00920"
"entry94","167","bfu:BCIN_01g04340","gene","http://www.kegg.jp/dbget-bin/www_bget?bfu:BCIN_01g04340",NA,"rn:R00529",NA,288,765,"rectangle",46,17,"#000000","#BFFFBF",1,"00920"
"entry95","168","bfu:BCIN_11g00160","gene","http://www.kegg.jp/dbget-bin/www_bget?bfu:BCIN_11g00160",NA,"rn:R00509",NA,394,775,"rectangle",46,17,"#000000","#BFFFBF",1,"00920"
"entry99","173","bfu:BCIN_01g04340","gene","http://www.kegg.jp/dbget-bin/www_bget?bfu:BCIN_01g04340",NA,"rn:R00529",NA,288,836,"rectangle",46,17,"#000000","#BFFFBF",1,"00920"
"entry127","211","bfu:BCIN_08g00090 / bfu:BCIN_12g05950","gene","http://www.kegg.jp/dbget-bin/www_bget?bfu:BCIN_08g00090+bfu:BCIN_12g05950",NA,"rn:R11929",NA,639,424,"rectangle",46,17,"#000000","#BFFFBF",1,"00920"
