"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","24","mcat:MC25239_00511","gene","http://www.kegg.jp/dbget-bin/www_bget?mcat:MC25239_00511",NA,"rn:R03656",NA,875,335,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry4","59","mcat:MC25239_01142","gene","http://www.kegg.jp/dbget-bin/www_bget?mcat:MC25239_01142",NA,"rn:R03655",NA,875,790,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry5","60","mcat:MC25239_00173 / mcat:MC25239_00174","gene","http://www.kegg.jp/dbget-bin/www_bget?mcat:MC25239_00173+mcat:MC25239_00174",NA,"rn:R03660",NA,875,879,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry6","61","mcat:MC25239_00700","gene","http://www.kegg.jp/dbget-bin/www_bget?mcat:MC25239_00700",NA,"rn:R03646",NA,875,611,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry7","62","mcat:MC25239_00645","gene","http://www.kegg.jp/dbget-bin/www_bget?mcat:MC25239_00645",NA,"rn:R03652",NA,271,281,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry8","63","mcat:MC25239_01355","gene","http://www.kegg.jp/dbget-bin/www_bget?mcat:MC25239_01355",NA,"rn:R03650",NA,271,1076,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry9","64","mcat:MC25239_01564 / mcat:MC25239_01565","gene","http://www.kegg.jp/dbget-bin/www_bget?mcat:MC25239_01564+mcat:MC25239_01565",NA,"rn:R03654",NA,271,672,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry10","65","mcat:MC25239_01158","gene","http://www.kegg.jp/dbget-bin/www_bget?mcat:MC25239_01158",NA,"rn:R05577",NA,271,448,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry11","66","mcat:MC25239_00542","gene","http://www.kegg.jp/dbget-bin/www_bget?mcat:MC25239_00542",NA,"rn:R03662",NA,271,850,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry12","67","mcat:MC25239_01356","gene","http://www.kegg.jp/dbget-bin/www_bget?mcat:MC25239_01356",NA,"rn:R03659",NA,271,1165,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
