"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","39","lit:FPZ52_07855","gene","http://www.kegg.jp/dbget-bin/www_bget?lit:FPZ52_07855",NA,"rn:R03656",NA,875,335,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry4","77","lit:FPZ52_00945","gene","http://www.kegg.jp/dbget-bin/www_bget?lit:FPZ52_00945",NA,"rn:R03655",NA,875,790,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry5","78","lit:FPZ52_02555 / lit:FPZ52_02570","gene","http://www.kegg.jp/dbget-bin/www_bget?lit:FPZ52_02555+lit:FPZ52_02570",NA,"rn:R03660",NA,875,879,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry6","79","lit:FPZ52_06755","gene","http://www.kegg.jp/dbget-bin/www_bget?lit:FPZ52_06755",NA,"rn:R03646",NA,875,611,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry8","81","lit:FPZ52_03505","gene","http://www.kegg.jp/dbget-bin/www_bget?lit:FPZ52_03505",NA,"rn:R03650",NA,271,1076,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry9","82","lit:FPZ52_05395 / lit:FPZ52_05405","gene","http://www.kegg.jp/dbget-bin/www_bget?lit:FPZ52_05395+lit:FPZ52_05405",NA,"rn:R03654",NA,271,672,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry10","83","lit:FPZ52_09550","gene","http://www.kegg.jp/dbget-bin/www_bget?lit:FPZ52_09550",NA,"rn:R05577",NA,271,448,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry11","84","lit:FPZ52_04665","gene","http://www.kegg.jp/dbget-bin/www_bget?lit:FPZ52_04665",NA,"rn:R03662",NA,271,850,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry12","85","lit:FPZ52_07615","gene","http://www.kegg.jp/dbget-bin/www_bget?lit:FPZ52_07615",NA,"rn:R03659",NA,271,1165,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry13","86","lit:FPZ52_02915","gene","http://www.kegg.jp/dbget-bin/www_bget?lit:FPZ52_02915",NA,"rn:R03665",NA,875,157,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry15","88","lit:FPZ52_03705","gene","http://www.kegg.jp/dbget-bin/www_bget?lit:FPZ52_03705",NA,"rn:R03658",NA,875,424,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry16","89","lit:FPZ52_00590","gene","http://www.kegg.jp/dbget-bin/www_bget?lit:FPZ52_00590",NA,"rn:R03657",NA,875,246,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry17","90","lit:FPZ52_02285","gene","http://www.kegg.jp/dbget-bin/www_bget?lit:FPZ52_02285",NA,"rn:R03663",NA,271,761,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry18","91","lit:FPZ52_08590","gene","http://www.kegg.jp/dbget-bin/www_bget?lit:FPZ52_08590",NA,"rn:R03664",NA,875,1057,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry19","92","lit:FPZ52_00055","gene","http://www.kegg.jp/dbget-bin/www_bget?lit:FPZ52_00055",NA,"rn:R03940",NA,409,1165,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry20","93","lit:FPZ52_03195","gene","http://www.kegg.jp/dbget-bin/www_bget?lit:FPZ52_03195",NA,"rn:R02918",NA,875,968,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry21","94","lit:FPZ52_07965","gene","http://www.kegg.jp/dbget-bin/www_bget?lit:FPZ52_07965",NA,"rn:R03661",NA,875,701,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry22","95","lit:FPZ52_06115 / lit:FPZ52_08195","gene","http://www.kegg.jp/dbget-bin/www_bget?lit:FPZ52_06115+lit:FPZ52_08195",NA,"rn:R05578",NA,271,146,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry73","147","lit:FPZ52_01095 / lit:FPZ52_07195 / lit:FPZ52_08355 / lit:FPZ52_08360","gene","http://www.kegg.jp/dbget-bin/www_bget?lit:FPZ52_01095+lit:FPZ52_07195+lit:FPZ52_08355+lit:FPZ52_08360",NA,"rn:R03905",NA,338,245,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry76","150","lit:FPZ52_01095 / lit:FPZ52_07195 / lit:FPZ52_08355 / lit:FPZ52_08360","gene","http://www.kegg.jp/dbget-bin/www_bget?lit:FPZ52_01095+lit:FPZ52_07195+lit:FPZ52_08355+lit:FPZ52_08360",NA,"rn:R04212",NA,337,548,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry82","156","lit:FPZ52_04665","gene","http://www.kegg.jp/dbget-bin/www_bget?lit:FPZ52_04665",NA,"rn:R08218",NA,271,930,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry88","164","lit:FPZ52_13740","gene","http://www.kegg.jp/dbget-bin/www_bget?lit:FPZ52_13740",NA,"rn:R08219",NA,435,893,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
