"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","24","nau:109243380 / nau:109244116","gene","http://www.kegg.jp/dbget-bin/www_bget?nau:109243380+nau:109244116",NA,"rn:R03656",NA,875,335,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry3","58","nau:109211612 / nau:109221535 / nau:109223356 / nau:109233381 / nau:109238836","gene","http://www.kegg.jp/dbget-bin/www_bget?nau:109211612+nau:109221535+nau:109223356+nau:109233381+nau:109238836",NA,"rn:R03648",NA,271,583,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry4","59","nau:109211474 / nau:109212190","gene","http://www.kegg.jp/dbget-bin/www_bget?nau:109211474+nau:109212190",NA,"rn:R03655",NA,875,790,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry5","60","nau:109221311 / nau:109221390 / nau:109228094 / nau:109239206","gene","http://www.kegg.jp/dbget-bin/www_bget?nau:109221311+nau:109221390+nau:109228094+nau:109239206",NA,"rn:R03660",NA,875,879,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry6","61","nau:109233224 / nau:109238529","gene","http://www.kegg.jp/dbget-bin/www_bget?nau:109233224+nau:109238529",NA,"rn:R03646",NA,875,611,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry7","62","nau:109235237","gene","http://www.kegg.jp/dbget-bin/www_bget?nau:109235237",NA,"rn:R03652",NA,271,281,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry8","63","nau:109228476 / nau:109231399 / nau:109235186","gene","http://www.kegg.jp/dbget-bin/www_bget?nau:109228476+nau:109231399+nau:109235186",NA,"rn:R03650",NA,271,1076,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry9","64","nau:109212452 / nau:109224012 / nau:109224300","gene","http://www.kegg.jp/dbget-bin/www_bget?nau:109212452+nau:109224012+nau:109224300",NA,"rn:R03654",NA,271,672,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry10","65","nau:109209978 / nau:109243758","gene","http://www.kegg.jp/dbget-bin/www_bget?nau:109209978+nau:109243758",NA,"rn:R05577",NA,271,448,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry11","66","nau:109225291 / nau:109242044","gene","http://www.kegg.jp/dbget-bin/www_bget?nau:109225291+nau:109242044",NA,"rn:R03662",NA,271,850,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
