"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","24","mbov:MBVG596_0913","gene","http://www.kegg.jp/dbget-bin/www_bget?mbov:MBVG596_0913",NA,"rn:R03656",NA,875,335,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry3","58","mbov:MBVG596_0125","gene","http://www.kegg.jp/dbget-bin/www_bget?mbov:MBVG596_0125",NA,"rn:R03648",NA,271,583,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry4","59","mbov:MBVG596_0987","gene","http://www.kegg.jp/dbget-bin/www_bget?mbov:MBVG596_0987",NA,"rn:R03655",NA,875,790,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry5","60","mbov:MBVG596_0234 / mbov:MBVG596_0237","gene","http://www.kegg.jp/dbget-bin/www_bget?mbov:MBVG596_0234+mbov:MBVG596_0237",NA,"rn:R03660",NA,875,879,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry6","61","mbov:MBVG596_1047","gene","http://www.kegg.jp/dbget-bin/www_bget?mbov:MBVG596_1047",NA,"rn:R03646",NA,875,611,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry8","63","mbov:MBVG596_0689","gene","http://www.kegg.jp/dbget-bin/www_bget?mbov:MBVG596_0689",NA,"rn:R03650",NA,271,1076,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry9","64","mbov:MBVG596_0340","gene","http://www.kegg.jp/dbget-bin/www_bget?mbov:MBVG596_0340",NA,"rn:R03654",NA,271,672,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry10","65","mbov:MBVG596_1103","gene","http://www.kegg.jp/dbget-bin/www_bget?mbov:MBVG596_1103",NA,"rn:R05577",NA,271,448,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry11","66","mbov:MBVG596_0695","gene","http://www.kegg.jp/dbget-bin/www_bget?mbov:MBVG596_0695",NA,"rn:R03662",NA,271,850,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry12","67","mbov:MBVG596_0829","gene","http://www.kegg.jp/dbget-bin/www_bget?mbov:MBVG596_0829",NA,"rn:R03659",NA,271,1165,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry13","68","mbov:MBVG596_0187","gene","http://www.kegg.jp/dbget-bin/www_bget?mbov:MBVG596_0187",NA,"rn:R03665",NA,875,157,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry14","69","mbov:MBVG596_0317","gene","http://www.kegg.jp/dbget-bin/www_bget?mbov:MBVG596_0317",NA,"rn:R03038",NA,271,371,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
