"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","24","rfa:A3L23_03961","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_03961",NA,"rn:R03656",NA,875,335,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry4","59","rfa:A3L23_04402","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_04402",NA,"rn:R03655",NA,875,790,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry5","60","rfa:A3L23_04068 / rfa:A3L23_04069","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_04068+rfa:A3L23_04069",NA,"rn:R03660",NA,875,879,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry6","61","rfa:A3L23_03266","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_03266",NA,"rn:R03646",NA,875,611,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry8","63","rfa:A3L23_02537","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_02537",NA,"rn:R03650",NA,271,1076,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry9","64","rfa:A3L23_03804","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_03804",NA,"rn:R03654",NA,271,672,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry10","65","rfa:A3L23_04397","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_04397",NA,"rn:R05577",NA,271,448,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry11","66","rfa:A3L23_02003","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_02003",NA,"rn:R03662",NA,271,850,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry12","67","rfa:A3L23_00540","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_00540",NA,"rn:R03659",NA,271,1165,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry13","68","rfa:A3L23_03729","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_03729",NA,"rn:R03665",NA,875,157,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry14","69","rfa:A3L23_04390","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_04390",NA,"rn:R03038",NA,271,371,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry15","70","rfa:A3L23_01863 / rfa:A3L23_02519","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_01863+rfa:A3L23_02519",NA,"rn:R03658",NA,875,424,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry16","71","rfa:A3L23_01791","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_01791",NA,"rn:R03657",NA,875,246,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry17","72","rfa:A3L23_04425","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_04425",NA,"rn:R03663",NA,271,761,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry18","73","rfa:A3L23_00140","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_00140",NA,"rn:R03664",NA,875,1057,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry19","74","rfa:A3L23_04364","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_04364",NA,"rn:R03940",NA,409,1165,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry20","75","rfa:A3L23_04084","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_04084",NA,"rn:R02918",NA,875,968,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry21","76","rfa:A3L23_04623","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_04623",NA,"rn:R03661",NA,875,701,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry22","77","rfa:A3L23_02300 / rfa:A3L23_04728","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_02300+rfa:A3L23_04728",NA,"rn:R05578",NA,271,146,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry73","128","rfa:A3L23_03450 / rfa:A3L23_04740 / rfa:A3L23_04747 / rfa:A3L23_04748","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_03450+rfa:A3L23_04740+rfa:A3L23_04747+rfa:A3L23_04748",NA,"rn:R03905",NA,338,245,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry76","131","rfa:A3L23_03450 / rfa:A3L23_04740 / rfa:A3L23_04747 / rfa:A3L23_04748","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_03450+rfa:A3L23_04740+rfa:A3L23_04747+rfa:A3L23_04748",NA,"rn:R04212",NA,337,548,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry82","137","rfa:A3L23_02003","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_02003",NA,"rn:R08218",NA,271,930,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry96","156","rfa:A3L23_00754 / rfa:A3L23_04724","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_00754+rfa:A3L23_04724",NA,NA,NA,228,120,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry97","157","rfa:A3L23_00510 / rfa:A3L23_04725","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_00510+rfa:A3L23_04725",NA,NA,NA,228,246,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry98","158","rfa:A3L23_00563 / rfa:A3L23_01831 / rfa:A3L23_04797","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_00563+rfa:A3L23_01831+rfa:A3L23_04797",NA,NA,NA,228,333,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry99","159","rfa:A3L23_00753","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_00753",NA,NA,NA,228,422,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry100","160","rfa:A3L23_02070 / rfa:A3L23_02099 / rfa:A3L23_02276 / rfa:A3L23_02322","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_02070+rfa:A3L23_02099+rfa:A3L23_02276+rfa:A3L23_02322",NA,NA,NA,228,814,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry101","161","rfa:A3L23_01049 / rfa:A3L23_02421 / rfa:A3L23_02892","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_01049+rfa:A3L23_02421+rfa:A3L23_02892",NA,NA,NA,228,725,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry102","162","rfa:A3L23_03814","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_03814",NA,NA,NA,228,549,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry103","163","rfa:A3L23_01355 / rfa:A3L23_03705 / rfa:A3L23_04428","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_01355+rfa:A3L23_03705+rfa:A3L23_04428",NA,NA,NA,228,635,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry104","164","rfa:A3L23_04429","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_04429",NA,NA,NA,228,1041,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry106","166","rfa:A3L23_01590 / rfa:A3L23_02893 / rfa:A3L23_03827 / rfa:A3L23_04826","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_01590+rfa:A3L23_02893+rfa:A3L23_03827+rfa:A3L23_04826",NA,NA,NA,228,1128,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry107","167","rfa:A3L23_03840 / rfa:A3L23_04427 / rfa:A3L23_04430","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_03840+rfa:A3L23_04427+rfa:A3L23_04430",NA,NA,NA,833,120,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry108","168","rfa:A3L23_00493 / rfa:A3L23_01849 / rfa:A3L23_03588 / rfa:A3L23_04037 / rfa:A3L23_04295","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_00493+rfa:A3L23_01849+rfa:A3L23_03588+rfa:A3L23_04037+rfa:A3L23_04295",NA,NA,NA,833,210,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry109","169","rfa:A3L23_01830","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_01830",NA,NA,NA,833,298,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry110","170","rfa:A3L23_00757 / rfa:A3L23_03598","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_00757+rfa:A3L23_03598",NA,NA,NA,833,388,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry112","172","rfa:A3L23_00645 / rfa:A3L23_02100 / rfa:A3L23_03263 / rfa:A3L23_03680","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_00645+rfa:A3L23_02100+rfa:A3L23_03263+rfa:A3L23_03680",NA,NA,NA,833,577,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry113","173","rfa:A3L23_02380 / rfa:A3L23_03706 / rfa:A3L23_04105","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_02380+rfa:A3L23_03706+rfa:A3L23_04105",NA,NA,NA,833,664,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry114","174","rfa:A3L23_03666","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_03666",NA,NA,NA,833,753,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry115","175","rfa:A3L23_00752","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_00752",NA,NA,NA,833,843,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry116","176","rfa:A3L23_02891","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_02891",NA,NA,NA,833,932,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry117","177","rfa:A3L23_02897","gene","http://www.kegg.jp/dbget-bin/www_bget?rfa:A3L23_02897",NA,NA,NA,833,1021,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
