"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","39","ahw:NCTC11636_00823","gene","http://www.kegg.jp/dbget-bin/www_bget?ahw:NCTC11636_00823",NA,"rn:R03656",NA,875,335,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry4","77","ahw:NCTC11636_00284","gene","http://www.kegg.jp/dbget-bin/www_bget?ahw:NCTC11636_00284",NA,"rn:R03655",NA,875,790,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry5","78","ahw:NCTC11636_00673 / ahw:NCTC11636_00674","gene","http://www.kegg.jp/dbget-bin/www_bget?ahw:NCTC11636_00673+ahw:NCTC11636_00674",NA,"rn:R03660",NA,875,879,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry6","79","ahw:NCTC11636_02484","gene","http://www.kegg.jp/dbget-bin/www_bget?ahw:NCTC11636_02484",NA,"rn:R03646",NA,875,611,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry8","81","ahw:NCTC11636_02045","gene","http://www.kegg.jp/dbget-bin/www_bget?ahw:NCTC11636_02045",NA,"rn:R03650",NA,271,1076,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry9","82","ahw:NCTC11636_00569","gene","http://www.kegg.jp/dbget-bin/www_bget?ahw:NCTC11636_00569",NA,"rn:R03654",NA,271,672,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry10","83","ahw:NCTC11636_00294","gene","http://www.kegg.jp/dbget-bin/www_bget?ahw:NCTC11636_00294",NA,"rn:R05577",NA,271,448,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry11","84","ahw:NCTC11636_01568","gene","http://www.kegg.jp/dbget-bin/www_bget?ahw:NCTC11636_01568",NA,"rn:R03662",NA,271,850,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry12","85","ahw:NCTC11636_02131","gene","http://www.kegg.jp/dbget-bin/www_bget?ahw:NCTC11636_02131",NA,"rn:R03659",NA,271,1165,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry13","86","ahw:NCTC11636_00838","gene","http://www.kegg.jp/dbget-bin/www_bget?ahw:NCTC11636_00838",NA,"rn:R03665",NA,875,157,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry14","87","ahw:NCTC11636_00300","gene","http://www.kegg.jp/dbget-bin/www_bget?ahw:NCTC11636_00300",NA,"rn:R03038",NA,271,371,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry15","88","ahw:NCTC11636_01228 / ahw:NCTC11636_02638","gene","http://www.kegg.jp/dbget-bin/www_bget?ahw:NCTC11636_01228+ahw:NCTC11636_02638",NA,"rn:R03658",NA,875,424,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry16","89","ahw:NCTC11636_00162","gene","http://www.kegg.jp/dbget-bin/www_bget?ahw:NCTC11636_00162",NA,"rn:R03657",NA,875,246,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry17","90","ahw:NCTC11636_00262","gene","http://www.kegg.jp/dbget-bin/www_bget?ahw:NCTC11636_00262",NA,"rn:R03663",NA,271,761,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry18","91","ahw:NCTC11636_02542","gene","http://www.kegg.jp/dbget-bin/www_bget?ahw:NCTC11636_02542",NA,"rn:R03664",NA,875,1057,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry19","92","ahw:NCTC11636_00335","gene","http://www.kegg.jp/dbget-bin/www_bget?ahw:NCTC11636_00335",NA,"rn:R03940",NA,409,1165,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry20","93","ahw:NCTC11636_00660","gene","http://www.kegg.jp/dbget-bin/www_bget?ahw:NCTC11636_00660",NA,"rn:R02918",NA,875,968,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry21","94","ahw:NCTC11636_00767","gene","http://www.kegg.jp/dbget-bin/www_bget?ahw:NCTC11636_00767",NA,"rn:R03661",NA,875,701,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry22","95","ahw:NCTC11636_00042","gene","http://www.kegg.jp/dbget-bin/www_bget?ahw:NCTC11636_00042",NA,"rn:R05578",NA,271,146,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry73","147","ahw:NCTC11636_02591 / ahw:NCTC11636_02592 / ahw:NCTC11636_02593","gene","http://www.kegg.jp/dbget-bin/www_bget?ahw:NCTC11636_02591+ahw:NCTC11636_02592+ahw:NCTC11636_02593",NA,"rn:R03905",NA,338,245,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry76","150","ahw:NCTC11636_02591 / ahw:NCTC11636_02592 / ahw:NCTC11636_02593","gene","http://www.kegg.jp/dbget-bin/www_bget?ahw:NCTC11636_02591+ahw:NCTC11636_02592+ahw:NCTC11636_02593",NA,"rn:R04212",NA,337,548,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry82","156","ahw:NCTC11636_01568","gene","http://www.kegg.jp/dbget-bin/www_bget?ahw:NCTC11636_01568",NA,"rn:R08218",NA,271,930,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry112","195","ahw:NCTC11636_01556","gene","http://www.kegg.jp/dbget-bin/www_bget?ahw:NCTC11636_01556",NA,NA,NA,833,577,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry113","196","ahw:NCTC11636_00856","gene","http://www.kegg.jp/dbget-bin/www_bget?ahw:NCTC11636_00856",NA,NA,NA,833,664,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
