"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","24","tmi:THEMA_07535","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_07535",NA,"rn:R03656",NA,875,335,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry4","59","tmi:THEMA_08900 / tmi:THEMA_09145","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_08900+tmi:THEMA_09145",NA,"rn:R03655",NA,875,790,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry5","60","tmi:THEMA_00530 / tmi:THEMA_00535","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_00530+tmi:THEMA_00535",NA,"rn:R03660",NA,875,879,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry6","61","tmi:THEMA_08885","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_08885",NA,"rn:R03646",NA,875,611,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry8","63","tmi:THEMA_01065 / tmi:THEMA_07265","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_01065+tmi:THEMA_07265",NA,"rn:R03650",NA,271,1076,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry9","64","tmi:THEMA_03640 / tmi:THEMA_03645","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_03640+tmi:THEMA_03645",NA,"rn:R03654",NA,271,672,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry10","65","tmi:THEMA_07110","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_07110",NA,"rn:R05577",NA,271,448,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry11","66","tmi:THEMA_07430","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_07430",NA,"rn:R03662",NA,271,850,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry12","67","tmi:THEMA_08930","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_08930",NA,"rn:R03659",NA,271,1165,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry13","68","tmi:THEMA_05110","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_05110",NA,"rn:R03665",NA,875,157,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry14","69","tmi:THEMA_05605 / tmi:THEMA_07335","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_05605+tmi:THEMA_07335",NA,"rn:R03038",NA,271,371,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry15","70","tmi:THEMA_05715","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_05715",NA,"rn:R03658",NA,875,424,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry16","71","tmi:THEMA_03960","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_03960",NA,"rn:R03657",NA,875,246,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry17","72","tmi:THEMA_00955","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_00955",NA,"rn:R03663",NA,271,761,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry18","73","tmi:THEMA_02210","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_02210",NA,"rn:R03664",NA,875,1057,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry19","74","tmi:THEMA_02035","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_02035",NA,"rn:R03940",NA,409,1165,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry20","75","tmi:THEMA_02295","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_02295",NA,"rn:R02918",NA,875,968,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry21","76","tmi:THEMA_02105","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_02105",NA,"rn:R03661",NA,875,701,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry22","77","tmi:THEMA_04795","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_04795",NA,"rn:R05578",NA,271,146,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry73","128","tmi:THEMA_03465 / tmi:THEMA_07970 / tmi:THEMA_07975","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_03465+tmi:THEMA_07970+tmi:THEMA_07975",NA,"rn:R03905",NA,338,245,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry74","129","tmi:THEMA_07585","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_07585",NA,"rn:R03651",NA,271,217,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry76","131","tmi:THEMA_03465 / tmi:THEMA_07970 / tmi:THEMA_07975","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_03465+tmi:THEMA_07970+tmi:THEMA_07975",NA,"rn:R04212",NA,337,548,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry82","137","tmi:THEMA_07430","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_07430",NA,"rn:R08218",NA,271,930,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry92","149","tmi:THEMA_07585","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_07585",NA,"rn:R05578",NA,271,167,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry96","156","tmi:THEMA_05260 / tmi:THEMA_05890","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_05260+tmi:THEMA_05890",NA,NA,NA,228,120,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry97","157","tmi:THEMA_00895 / tmi:THEMA_02735","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_00895+tmi:THEMA_02735",NA,NA,NA,228,246,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry98","158","tmi:THEMA_03830 / tmi:THEMA_03895 / tmi:THEMA_06320","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_03830+tmi:THEMA_03895+tmi:THEMA_06320",NA,NA,NA,228,333,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry99","159","tmi:THEMA_05425","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_05425",NA,NA,NA,228,422,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry100","160","tmi:THEMA_00540 / tmi:THEMA_02310 / tmi:THEMA_03765 / tmi:THEMA_05310","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_00540+tmi:THEMA_02310+tmi:THEMA_03765+tmi:THEMA_05310",NA,NA,NA,228,814,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry101","161","tmi:THEMA_01775 / tmi:THEMA_02455 / tmi:THEMA_03085","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_01775+tmi:THEMA_02455+tmi:THEMA_03085",NA,NA,NA,228,725,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry102","162","tmi:THEMA_08390","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_08390",NA,NA,NA,228,549,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry103","163","tmi:THEMA_02275 / tmi:THEMA_03785 / tmi:THEMA_07625","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_02275+tmi:THEMA_03785+tmi:THEMA_07625",NA,NA,NA,228,635,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry104","164","tmi:THEMA_07460","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_07460",NA,NA,NA,228,1041,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry106","166","tmi:THEMA_02460 / tmi:THEMA_02470 / tmi:THEMA_07630","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_02460+tmi:THEMA_02470+tmi:THEMA_07630",NA,NA,NA,228,1128,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry107","167","tmi:THEMA_06335 / tmi:THEMA_07240 / tmi:THEMA_07375","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_06335+tmi:THEMA_07240+tmi:THEMA_07375",NA,NA,NA,833,120,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry108","168","tmi:THEMA_00380 / tmi:THEMA_00560 / tmi:THEMA_02270 / tmi:THEMA_07370 / tmi:THEMA_07500","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_00380+tmi:THEMA_00560+tmi:THEMA_02270+tmi:THEMA_07370+tmi:THEMA_07500",NA,NA,NA,833,210,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry109","169","tmi:THEMA_03900","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_03900",NA,NA,NA,833,298,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry110","170","tmi:THEMA_02265 / tmi:THEMA_06310","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_02265+tmi:THEMA_06310",NA,NA,NA,833,388,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry112","172","tmi:THEMA_03760 / tmi:THEMA_03790 / tmi:THEMA_03800 / tmi:THEMA_06315 / tmi:THEMA_06560","gene","http://www.kegg.jp/dbget-bin/www_bget?tmi:THEMA_03760+tmi:THEMA_03790+tmi:THEMA_03800+tmi:THEMA_06315+tmi:THEMA_06560",NA,NA,NA,833,577,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
