"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","24","ecl:EcolC_3629","gene","http://www.kegg.jp/dbget-bin/www_bget?ecl:EcolC_3629",NA,"rn:R03656",NA,875,335,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry3","58","ecl:EcolC_2666","gene","http://www.kegg.jp/dbget-bin/www_bget?ecl:EcolC_2666",NA,"rn:R03648",NA,271,583,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry4","59","ecl:EcolC_1163","gene","http://www.kegg.jp/dbget-bin/www_bget?ecl:EcolC_1163",NA,"rn:R03655",NA,875,790,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry5","60","ecl:EcolC_1917 / ecl:EcolC_1918","gene","http://www.kegg.jp/dbget-bin/www_bget?ecl:EcolC_1917+ecl:EcolC_1918",NA,"rn:R03660",NA,875,879,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry6","61","ecl:EcolC_1756","gene","http://www.kegg.jp/dbget-bin/www_bget?ecl:EcolC_1756",NA,"rn:R03646",NA,875,611,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry7","62","ecl:EcolC_2976","gene","http://www.kegg.jp/dbget-bin/www_bget?ecl:EcolC_2976",NA,"rn:R03652",NA,271,281,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry8","63","ecl:EcolC_3096","gene","http://www.kegg.jp/dbget-bin/www_bget?ecl:EcolC_3096",NA,"rn:R03650",NA,271,1076,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry9","64","ecl:EcolC_0155 / ecl:EcolC_0156","gene","http://www.kegg.jp/dbget-bin/www_bget?ecl:EcolC_0155+ecl:EcolC_0156",NA,"rn:R03654",NA,271,672,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry10","65","ecl:EcolC_1766","gene","http://www.kegg.jp/dbget-bin/www_bget?ecl:EcolC_1766",NA,"rn:R05577",NA,271,448,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry11","66","ecl:EcolC_2703","gene","http://www.kegg.jp/dbget-bin/www_bget?ecl:EcolC_2703",NA,"rn:R03662",NA,271,850,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry12","67","ecl:EcolC_1533","gene","http://www.kegg.jp/dbget-bin/www_bget?ecl:EcolC_1533",NA,"rn:R03659",NA,271,1165,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry13","68","ecl:EcolC_3754","gene","http://www.kegg.jp/dbget-bin/www_bget?ecl:EcolC_3754",NA,"rn:R03665",NA,875,157,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
