"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","24","sacs:SUSAZ_02715","gene","http://www.kegg.jp/dbget-bin/www_bget?sacs:SUSAZ_02715",NA,"rn:R03656",NA,875,335,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry4","59","sacs:SUSAZ_02995","gene","http://www.kegg.jp/dbget-bin/www_bget?sacs:SUSAZ_02995",NA,"rn:R03655",NA,875,790,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry5","60","sacs:SUSAZ_07185 / sacs:SUSAZ_07190","gene","http://www.kegg.jp/dbget-bin/www_bget?sacs:SUSAZ_07185+sacs:SUSAZ_07190",NA,"rn:R03660",NA,875,879,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry6","61","sacs:SUSAZ_06675","gene","http://www.kegg.jp/dbget-bin/www_bget?sacs:SUSAZ_06675",NA,"rn:R03646",NA,875,611,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry8","63","sacs:SUSAZ_00765","gene","http://www.kegg.jp/dbget-bin/www_bget?sacs:SUSAZ_00765",NA,"rn:R03650",NA,271,1076,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry9","64","sacs:SUSAZ_03920","gene","http://www.kegg.jp/dbget-bin/www_bget?sacs:SUSAZ_03920",NA,"rn:R03654",NA,271,672,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry11","66","sacs:SUSAZ_07490","gene","http://www.kegg.jp/dbget-bin/www_bget?sacs:SUSAZ_07490",NA,"rn:R03662",NA,271,850,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry12","67","sacs:SUSAZ_07290","gene","http://www.kegg.jp/dbget-bin/www_bget?sacs:SUSAZ_07290",NA,"rn:R03659",NA,271,1165,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry13","68","sacs:SUSAZ_06840","gene","http://www.kegg.jp/dbget-bin/www_bget?sacs:SUSAZ_06840",NA,"rn:R03665",NA,875,157,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry14","69","sacs:SUSAZ_05560 / sacs:SUSAZ_06905","gene","http://www.kegg.jp/dbget-bin/www_bget?sacs:SUSAZ_05560+sacs:SUSAZ_06905",NA,"rn:R03038",NA,271,371,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry15","70","sacs:SUSAZ_00315","gene","http://www.kegg.jp/dbget-bin/www_bget?sacs:SUSAZ_00315",NA,"rn:R03658",NA,875,424,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry16","71","sacs:SUSAZ_01915 / sacs:SUSAZ_07430","gene","http://www.kegg.jp/dbget-bin/www_bget?sacs:SUSAZ_01915+sacs:SUSAZ_07430",NA,"rn:R03657",NA,875,246,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
"entry17","72","sacs:SUSAZ_06025","gene","http://www.kegg.jp/dbget-bin/www_bget?sacs:SUSAZ_06025",NA,"rn:R03663",NA,271,761,"rectangle",46,17,"#000000","#BFFFBF",1,"00970"
