"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry35","72","xla:100036918 / xla:100036921 / xla:100037104 / xla:100037213 / xla:108696140 / xla:108699647 / xla:108699671 / xla:108706060 / xla:108709596 / xla:108716035 / xla:108716906 / xla:379417 / xla:379895 / xla:380534 / xla:398969 / xla:414684 / xla:431979 / xla:432297 / xla:444764 / xla:446920 / xla:495374 / xla:495981 / xla:734548 / xla:734753 / xla:779251","gene","http://www.kegg.jp/dbget-bin/www_bget?xla:100036918+xla:100036921+xla:100037104+xla:100037213+xla:108696140+xla:108699647+xla:108699671+xla:108706060+xla:108709596+xla:108716035+xla:108716906+xla:379417+xla:379895+xla:380534+xla:398969+xla:414684+xla:431979+xla:432297+xla:444764+xla:446920+xla:495374+xla:495981+xla:734548+xla:734753+xla:779251",NA,"rn:R07116",NA,935,1344,"rectangle",46,17,"#000000","#BFFFBF",1,"00980"
"entry36","73","xla:100036918 / xla:100036921 / xla:100037104 / xla:100037213 / xla:108696140 / xla:108699647 / xla:108699671 / xla:108706060 / xla:108709596 / xla:108716035 / xla:108716906 / xla:379417 / xla:379895 / xla:380534 / xla:398969 / xla:414684 / xla:431979 / xla:432297 / xla:444764 / xla:446920 / xla:495374 / xla:495981 / xla:734548 / xla:734753 / xla:779251","gene","http://www.kegg.jp/dbget-bin/www_bget?xla:100036918+xla:100036921+xla:100037104+xla:100037213+xla:108696140+xla:108699647+xla:108699671+xla:108706060+xla:108709596+xla:108716035+xla:108716906+xla:379417+xla:379895+xla:380534+xla:398969+xla:414684+xla:431979+xla:432297+xla:444764+xla:446920+xla:495374+xla:495981+xla:734548+xla:734753+xla:779251",NA,"rn:R07113",NA,809,1407,"rectangle",46,17,"#000000","#BFFFBF",1,"00980"
"entry38","75","xla:100037183 / xla:108701409 / xla:108711396","gene","http://www.kegg.jp/dbget-bin/www_bget?xla:100037183+xla:108701409+xla:108711396",NA,"rn:R07106",NA,445,1153,"rectangle",46,17,"#000000","#BFFFBF",1,"00980"
"entry39","76","xla:108711844 / xla:108712817 / xla:447062 / xla:733178","gene","http://www.kegg.jp/dbget-bin/www_bget?xla:108711844+xla:108712817+xla:447062+xla:733178",NA,"rn:R07104",NA,335,1074,"rectangle",46,17,"#000000","#BFFFBF",1,"00980"
"entry40","77","xla:108706741 / xla:108706912 / xla:379488 / xla:398377 / xla:398993 / xla:432021 / xla:432057 / xla:444547 / xla:445841 / xla:446738 / xla:733285","gene","http://www.kegg.jp/dbget-bin/www_bget?xla:108706741+xla:108706912+xla:379488+xla:398377+xla:398993+xla:432021+xla:432057+xla:444547+xla:445841+xla:446738+xla:733285",NA,"rn:R07105",NA,335,1153,"rectangle",46,17,"#000000","#BFFFBF",1,"00980"
"entry41","78","xla:100036918 / xla:100036921 / xla:100037104 / xla:100037213 / xla:108696140 / xla:108699647 / xla:108699671 / xla:108706060 / xla:108709596 / xla:108716035 / xla:108716906 / xla:379417 / xla:379895 / xla:380534 / xla:398321 / xla:398969 / xla:414684 / xla:431979 / xla:432297 / xla:444764 / xla:446920 / xla:495374 / xla:495981 / xla:734548 / xla:734753 / xla:779251","gene","http://www.kegg.jp/dbget-bin/www_bget?xla:100036918+xla:100036921+xla:100037104+xla:100037213+xla:108696140+xla:108699647+xla:108699671+xla:108706060+xla:108709596+xla:108716035+xla:108716906+xla:379417+xla:379895+xla:380534+xla:398321+xla:398969+xla:414684+xla:431979+xla:432297+xla:444764+xla:446920+xla:495374+xla:495981+xla:734548+xla:734753+xla:779251",NA,"rn:R07100",NA,111,1164,"rectangle",46,17,"#000000","#BFFFBF",1,"00980"
"entry42","79","xla:100036918 / xla:100036921 / xla:100037104 / xla:100037213 / xla:108696140 / xla:108699647 / xla:108699671 / xla:108706060 / xla:108709596 / xla:108716035 / xla:108716906 / xla:379417 / xla:379895 / xla:380534 / xla:398321 / xla:398969 / xla:414684 / xla:431979 / xla:432297 / xla:444764 / xla:446920 / xla:495374 / xla:495981 / xla:734548 / xla:734753 / xla:779251","gene","http://www.kegg.jp/dbget-bin/www_bget?xla:100036918+xla:100036921+xla:100037104+xla:100037213+xla:108696140+xla:108699647+xla:108699671+xla:108706060+xla:108709596+xla:108716035+xla:108716906+xla:379417+xla:379895+xla:380534+xla:398321+xla:398969+xla:414684+xla:431979+xla:432297+xla:444764+xla:446920+xla:495374+xla:495981+xla:734548+xla:734753+xla:779251",NA,"rn:R07070",NA,245,1409,"rectangle",46,17,"#000000","#BFFFBF",1,"00980"
"entry43","80","xla:100036918 / xla:100036921 / xla:100037104 / xla:100037213 / xla:108696140 / xla:108699647 / xla:108699671 / xla:108706060 / xla:108709596 / xla:108716035 / xla:108716906 / xla:379417 / xla:379895 / xla:380534 / xla:398321 / xla:398969 / xla:414684 / xla:431979 / xla:432297 / xla:444764 / xla:446920 / xla:495374 / xla:495981 / xla:734548 / xla:734753 / xla:779251","gene","http://www.kegg.jp/dbget-bin/www_bget?xla:100036918+xla:100036921+xla:100037104+xla:100037213+xla:108696140+xla:108699647+xla:108699671+xla:108706060+xla:108709596+xla:108716035+xla:108716906+xla:379417+xla:379895+xla:380534+xla:398321+xla:398969+xla:414684+xla:431979+xla:432297+xla:444764+xla:446920+xla:495374+xla:495981+xla:734548+xla:734753+xla:779251",NA,"rn:R07092",NA,948,1104,"rectangle",46,17,"#000000","#BFFFBF",1,"00980"
"entry44","81","xla:108716563 / xla:432100","gene","http://www.kegg.jp/dbget-bin/www_bget?xla:108716563+xla:432100",NA,"rn:R07071 rn:R07072",NA,290,1345,"rectangle",46,17,"#000000","#BFFFBF",1,"00980"
"entry45","82","xla:100036918 / xla:100036921 / xla:100037104 / xla:100037213 / xla:108696140 / xla:108699647 / xla:108699671 / xla:108706060 / xla:108709596 / xla:108716035 / xla:108716906 / xla:379417 / xla:379895 / xla:380534 / xla:398321 / xla:398969 / xla:414684 / xla:431979 / xla:432297 / xla:444764 / xla:446920 / xla:495374 / xla:495981 / xla:734548 / xla:734753 / xla:779251","gene","http://www.kegg.jp/dbget-bin/www_bget?xla:100036918+xla:100036921+xla:100037104+xla:100037213+xla:108696140+xla:108699647+xla:108699671+xla:108706060+xla:108709596+xla:108716035+xla:108716906+xla:379417+xla:379895+xla:380534+xla:398321+xla:398969+xla:414684+xla:431979+xla:432297+xla:444764+xla:446920+xla:495374+xla:495981+xla:734548+xla:734753+xla:779251",NA,"rn:R07091",NA,948,1061,"rectangle",46,17,"#000000","#BFFFBF",1,"00980"
