"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry35","72","pcf:106786293 / pcf:106786305 / pcf:106787378 / pcf:106788388 / pcf:106788741 / pcf:106788743 / pcf:106788874 / pcf:106789332 / pcf:106789440 / pcf:106791074 / pcf:106791524 / pcf:106791532","gene","http://www.kegg.jp/dbget-bin/www_bget?pcf:106786293+pcf:106786305+pcf:106787378+pcf:106788388+pcf:106788741+pcf:106788743+pcf:106788874+pcf:106789332+pcf:106789440+pcf:106791074+pcf:106791524+pcf:106791532",NA,"rn:R07116",NA,935,1344,"rectangle",46,17,"#000000","#BFFFBF",1,"00980"
"entry36","73","pcf:106786293 / pcf:106786305 / pcf:106787378 / pcf:106788388 / pcf:106788741 / pcf:106788743 / pcf:106788874 / pcf:106789332 / pcf:106789440 / pcf:106791074 / pcf:106791524 / pcf:106791532","gene","http://www.kegg.jp/dbget-bin/www_bget?pcf:106786293+pcf:106786305+pcf:106787378+pcf:106788388+pcf:106788741+pcf:106788743+pcf:106788874+pcf:106789332+pcf:106789440+pcf:106791074+pcf:106791524+pcf:106791532",NA,"rn:R07113",NA,809,1407,"rectangle",46,17,"#000000","#BFFFBF",1,"00980"
"entry38","75","pcf:106787294 / pcf:106787296 / pcf:106787476 / pcf:106788575 / pcf:106793669 / pcf:106793670","gene","http://www.kegg.jp/dbget-bin/www_bget?pcf:106787294+pcf:106787296+pcf:106787476+pcf:106788575+pcf:106793669+pcf:106793670",NA,"rn:R07106",NA,445,1153,"rectangle",46,17,"#000000","#BFFFBF",1,"00980"
"entry40","77","pcf:106787570","gene","http://www.kegg.jp/dbget-bin/www_bget?pcf:106787570",NA,"rn:R07105",NA,335,1153,"rectangle",46,17,"#000000","#BFFFBF",1,"00980"
"entry41","78","pcf:106786293 / pcf:106786305 / pcf:106787378 / pcf:106788388 / pcf:106788741 / pcf:106788743 / pcf:106788874 / pcf:106789332 / pcf:106789440 / pcf:106791074 / pcf:106791524 / pcf:106791532","gene","http://www.kegg.jp/dbget-bin/www_bget?pcf:106786293+pcf:106786305+pcf:106787378+pcf:106788388+pcf:106788741+pcf:106788743+pcf:106788874+pcf:106789332+pcf:106789440+pcf:106791074+pcf:106791524+pcf:106791532",NA,"rn:R07100",NA,111,1164,"rectangle",46,17,"#000000","#BFFFBF",1,"00980"
"entry42","79","pcf:106786293 / pcf:106786305 / pcf:106787378 / pcf:106788388 / pcf:106788741 / pcf:106788743 / pcf:106788874 / pcf:106789332 / pcf:106789440 / pcf:106791074 / pcf:106791524 / pcf:106791532","gene","http://www.kegg.jp/dbget-bin/www_bget?pcf:106786293+pcf:106786305+pcf:106787378+pcf:106788388+pcf:106788741+pcf:106788743+pcf:106788874+pcf:106789332+pcf:106789440+pcf:106791074+pcf:106791524+pcf:106791532",NA,"rn:R07070",NA,245,1409,"rectangle",46,17,"#000000","#BFFFBF",1,"00980"
"entry43","80","pcf:106786293 / pcf:106786305 / pcf:106787378 / pcf:106788388 / pcf:106788741 / pcf:106788743 / pcf:106788874 / pcf:106789332 / pcf:106789440 / pcf:106791074 / pcf:106791524 / pcf:106791532","gene","http://www.kegg.jp/dbget-bin/www_bget?pcf:106786293+pcf:106786305+pcf:106787378+pcf:106788388+pcf:106788741+pcf:106788743+pcf:106788874+pcf:106789332+pcf:106789440+pcf:106791074+pcf:106791524+pcf:106791532",NA,"rn:R07092",NA,948,1104,"rectangle",46,17,"#000000","#BFFFBF",1,"00980"
"entry45","82","pcf:106786293 / pcf:106786305 / pcf:106787378 / pcf:106788388 / pcf:106788741 / pcf:106788743 / pcf:106788874 / pcf:106789332 / pcf:106789440 / pcf:106791074 / pcf:106791524 / pcf:106791532","gene","http://www.kegg.jp/dbget-bin/www_bget?pcf:106786293+pcf:106786305+pcf:106787378+pcf:106788388+pcf:106788741+pcf:106788743+pcf:106788874+pcf:106789332+pcf:106789440+pcf:106791074+pcf:106791524+pcf:106791532",NA,"rn:R07091",NA,948,1061,"rectangle",46,17,"#000000","#BFFFBF",1,"00980"
"entry53","90","pcf:106786293 / pcf:106786305 / pcf:106787378 / pcf:106788388 / pcf:106788741 / pcf:106788743 / pcf:106788874 / pcf:106789332 / pcf:106789440 / pcf:106791074 / pcf:106791524 / pcf:106791532","gene","http://www.kegg.jp/dbget-bin/www_bget?pcf:106786293+pcf:106786305+pcf:106787378+pcf:106788388+pcf:106788741+pcf:106788743+pcf:106788874+pcf:106789332+pcf:106789440+pcf:106791074+pcf:106791524+pcf:106791532",NA,"rn:R07093",NA,948,1148,"rectangle",46,17,"#000000","#BFFFBF",1,"00980"
"entry55","92","pcf:106786293 / pcf:106786305 / pcf:106787378 / pcf:106788388 / pcf:106788741 / pcf:106788743 / pcf:106788874 / pcf:106789332 / pcf:106789440 / pcf:106791074 / pcf:106791524 / pcf:106791532","gene","http://www.kegg.jp/dbget-bin/www_bget?pcf:106786293+pcf:106786305+pcf:106787378+pcf:106788388+pcf:106788741+pcf:106788743+pcf:106788874+pcf:106789332+pcf:106789440+pcf:106791074+pcf:106791524+pcf:106791532",NA,"rn:R07094",NA,1093,1144,"rectangle",46,17,"#000000","#BFFFBF",1,"00980"
"entry56","93","pcf:106786293 / pcf:106786305 / pcf:106787378 / pcf:106788388 / pcf:106788741 / pcf:106788743 / pcf:106788874 / pcf:106789332 / pcf:106789440 / pcf:106791074 / pcf:106791524 / pcf:106791532","gene","http://www.kegg.jp/dbget-bin/www_bget?pcf:106786293+pcf:106786305+pcf:106787378+pcf:106788388+pcf:106788741+pcf:106788743+pcf:106788874+pcf:106789332+pcf:106789440+pcf:106791074+pcf:106791524+pcf:106791532",NA,"rn:R07069",NA,245,1248,"rectangle",46,17,"#000000","#BFFFBF",1,"00980"
"entry60","106","pcf:106786293 / pcf:106786305 / pcf:106787378 / pcf:106788388 / pcf:106788741 / pcf:106788743 / pcf:106788874 / pcf:106789332 / pcf:106789440 / pcf:106791074 / pcf:106791524 / pcf:106791532","gene","http://www.kegg.jp/dbget-bin/www_bget?pcf:106786293+pcf:106786305+pcf:106787378+pcf:106788388+pcf:106788741+pcf:106788743+pcf:106788874+pcf:106789332+pcf:106789440+pcf:106791074+pcf:106791524+pcf:106791532",NA,"rn:R07024 rn:R07023",NA,942,943,"rectangle",46,17,"#000000","#BFFFBF",1,"00980"
"entry70","116","pcf:106786293 / pcf:106786305 / pcf:106787378 / pcf:106788388 / pcf:106788741 / pcf:106788743 / pcf:106788874 / pcf:106789332 / pcf:106789440 / pcf:106791074 / pcf:106791524 / pcf:106791532","gene","http://www.kegg.jp/dbget-bin/www_bget?pcf:106786293+pcf:106786305+pcf:106787378+pcf:106788388+pcf:106788741+pcf:106788743+pcf:106788874+pcf:106789332+pcf:106789440+pcf:106791074+pcf:106791524+pcf:106791532",NA,"rn:R07025 rn:R07026",NA,942,817,"rectangle",46,17,"#000000","#BFFFBF",1,"00980"
"entry89","144","pcf:106786293 / pcf:106786305 / pcf:106787378 / pcf:106788388 / pcf:106788741 / pcf:106788743 / pcf:106788874 / pcf:106789332 / pcf:106789440 / pcf:106791074 / pcf:106791524 / pcf:106791532","gene","http://www.kegg.jp/dbget-bin/www_bget?pcf:106786293+pcf:106786305+pcf:106787378+pcf:106788388+pcf:106788741+pcf:106788743+pcf:106788874+pcf:106789332+pcf:106789440+pcf:106791074+pcf:106791524+pcf:106791532",NA,"rn:R09409",NA,255,832,"rectangle",46,17,"#000000","#BFFFBF",1,"00980"
"entry108","175","pcf:106786293 / pcf:106786305 / pcf:106787378 / pcf:106788388 / pcf:106788741 / pcf:106788743 / pcf:106788874 / pcf:106789332 / pcf:106789440 / pcf:106791074 / pcf:106791524 / pcf:106791532","gene","http://www.kegg.jp/dbget-bin/www_bget?pcf:106786293+pcf:106786305+pcf:106787378+pcf:106788388+pcf:106788741+pcf:106788743+pcf:106788874+pcf:106789332+pcf:106789440+pcf:106791074+pcf:106791524+pcf:106791532",NA,"rn:R07084",NA,373,203,"rectangle",46,17,"#000000","#BFFFBF",1,"00980"
"entry109","176","pcf:106786293 / pcf:106786305 / pcf:106787378 / pcf:106788388 / pcf:106788741 / pcf:106788743 / pcf:106788874 / pcf:106789332 / pcf:106789440 / pcf:106791074 / pcf:106791524 / pcf:106791532","gene","http://www.kegg.jp/dbget-bin/www_bget?pcf:106786293+pcf:106786305+pcf:106787378+pcf:106788388+pcf:106788741+pcf:106788743+pcf:106788874+pcf:106789332+pcf:106789440+pcf:106791074+pcf:106791524+pcf:106791532",NA,"rn:R07083",NA,267,241,"rectangle",46,17,"#000000","#BFFFBF",1,"00980"
