"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","1","kmr:108230083 / kmr:108230084","gene","http://www.kegg.jp/dbget-bin/www_bget?kmr:108230083+kmr:108230084",NA,"rn:R12171",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"01040"
"entry1","2","kmr:108230083 / kmr:108230084","gene","http://www.kegg.jp/dbget-bin/www_bget?kmr:108230083+kmr:108230084",NA,"rn:R12170",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"01040"
"entry2","3","kmr:108230083 / kmr:108230084","gene","http://www.kegg.jp/dbget-bin/www_bget?kmr:108230083+kmr:108230084",NA,"rn:R12168",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"01040"
"entry4","5","kmr:108234813 / kmr:108245742 / kmr:108248270","gene","http://www.kegg.jp/dbget-bin/www_bget?kmr:108234813+kmr:108245742+kmr:108248270",NA,NA,NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"01040"
"entry5","6","kmr:108229839 / kmr:108230429 / kmr:108238871 / kmr:108242096 / kmr:108242276","gene","http://www.kegg.jp/dbget-bin/www_bget?kmr:108229839+kmr:108230429+kmr:108238871+kmr:108242096+kmr:108242276",NA,NA,NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"01040"
"entry6","7","kmr:108241336 / kmr:108241483","gene","http://www.kegg.jp/dbget-bin/www_bget?kmr:108241336+kmr:108241483",NA,NA,NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"01040"
"entry7","8","kmr:108238206 / kmr:108246649 / kmr:108251775","gene","http://www.kegg.jp/dbget-bin/www_bget?kmr:108238206+kmr:108246649+kmr:108251775",NA,"rn:R07953",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"01040"
"entry8","9","kmr:108233704","gene","http://www.kegg.jp/dbget-bin/www_bget?kmr:108233704",NA,"rn:R07952",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"01040"
"entry9","10","kmr:108233704","gene","http://www.kegg.jp/dbget-bin/www_bget?kmr:108233704",NA,"rn:R07951",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"01040"
"entry10","11","kmr:108242282 / kmr:108248782","gene","http://www.kegg.jp/dbget-bin/www_bget?kmr:108242282+kmr:108248782",NA,"rn:R07950",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"01040"
"entry16","48","kmr:108232790 / kmr:108232791 / kmr:108233374 / kmr:108235644 / kmr:108235667 / kmr:108236744 / kmr:108250245 / kmr:112450351","gene","http://www.kegg.jp/dbget-bin/www_bget?kmr:108232790+kmr:108232791+kmr:108233374+kmr:108235644+kmr:108235667+kmr:108236744+kmr:108250245+kmr:112450351",NA,"rn:R01274",NA,1133,827,"rectangle",46,17,"#000000","#BFFFBF",1,"01040"
"entry17","49","kmr:108232790 / kmr:108232791 / kmr:108233374 / kmr:108235644 / kmr:108235667 / kmr:108236744 / kmr:108250245 / kmr:112450351","gene","http://www.kegg.jp/dbget-bin/www_bget?kmr:108232790+kmr:108232791+kmr:108233374+kmr:108235644+kmr:108235667+kmr:108236744+kmr:108250245+kmr:112450351",NA,"rn:R08174",NA,1133,895,"rectangle",46,17,"#000000","#BFFFBF",1,"01040"
"entry18","50","kmr:108232790 / kmr:108232791 / kmr:108233374 / kmr:108235644 / kmr:108235667 / kmr:108250245 / kmr:112450351","gene","http://www.kegg.jp/dbget-bin/www_bget?kmr:108232790+kmr:108232791+kmr:108233374+kmr:108235644+kmr:108235667+kmr:108250245+kmr:112450351",NA,"rn:R08175",NA,1133,953,"rectangle",46,17,"#000000","#BFFFBF",1,"01040"
"entry19","51","kmr:108232790 / kmr:108232791 / kmr:108233374 / kmr:108235644 / kmr:108235667 / kmr:108236744 / kmr:108250245 / kmr:112450351","gene","http://www.kegg.jp/dbget-bin/www_bget?kmr:108232790+kmr:108232791+kmr:108233374+kmr:108235644+kmr:108235667+kmr:108236744+kmr:108250245+kmr:112450351",NA,"rn:R08176",NA,1133,1124,"rectangle",46,17,"#000000","#BFFFBF",1,"01040"
"entry20","52","kmr:108232790 / kmr:108232791 / kmr:108233374 / kmr:108235644 / kmr:108235667 / kmr:108236744 / kmr:108250245 / kmr:112450351","gene","http://www.kegg.jp/dbget-bin/www_bget?kmr:108232790+kmr:108232791+kmr:108233374+kmr:108235644+kmr:108235667+kmr:108236744+kmr:108250245+kmr:112450351",NA,"rn:R08177",NA,1150,438,"rectangle",46,17,"#000000","#BFFFBF",1,"01040"
"entry21","53","kmr:108232790 / kmr:108232791 / kmr:108233374 / kmr:108235644 / kmr:108235667 / kmr:108250245 / kmr:112450351","gene","http://www.kegg.jp/dbget-bin/www_bget?kmr:108232790+kmr:108232791+kmr:108233374+kmr:108235644+kmr:108235667+kmr:108250245+kmr:112450351",NA,"rn:R08183",NA,1150,723,"rectangle",46,17,"#000000","#BFFFBF",1,"01040"
"entry22","54","kmr:108232790 / kmr:108232791 / kmr:108233374 / kmr:108235644 / kmr:108235667 / kmr:108250245 / kmr:112450351","gene","http://www.kegg.jp/dbget-bin/www_bget?kmr:108232790+kmr:108232791+kmr:108233374+kmr:108235644+kmr:108235667+kmr:108250245+kmr:112450351",NA,"rn:R08182",NA,1150,666,"rectangle",46,17,"#000000","#BFFFBF",1,"01040"
