"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","7","srs:SerAS12_3613","gene","http://www.kegg.jp/dbget-bin/www_bget?srs:SerAS12_3613",NA,NA,NA,848,661,"rectangle",46,17,"#000000","#BFFFBF",1,"01053"
"entry1","8","srs:SerAS12_3613","gene","http://www.kegg.jp/dbget-bin/www_bget?srs:SerAS12_3613",NA,NA,NA,1242,496,"rectangle",46,17,"#000000","#BFFFBF",1,"01053"
"entry2","9","srs:SerAS12_3613","gene","http://www.kegg.jp/dbget-bin/www_bget?srs:SerAS12_3613",NA,NA,NA,731,321,"rectangle",46,17,"#000000","#BFFFBF",1,"01053"
"entry3","10","srs:SerAS12_3613","gene","http://www.kegg.jp/dbget-bin/www_bget?srs:SerAS12_3613",NA,NA,NA,889,378,"rectangle",46,17,"#000000","#BFFFBF",1,"01053"
"entry4","11","srs:SerAS12_3614","gene","http://www.kegg.jp/dbget-bin/www_bget?srs:SerAS12_3614",NA,NA,NA,848,642,"rectangle",46,17,"#000000","#BFFFBF",1,"01053"
"entry11","18","srs:SerAS12_3612","gene","http://www.kegg.jp/dbget-bin/www_bget?srs:SerAS12_3612",NA,"rn:R01505",NA,962,259,"rectangle",46,17,"#000000","#BFFFBF",1,"01053"
"entry12","19","srs:SerAS12_3688","gene","http://www.kegg.jp/dbget-bin/www_bget?srs:SerAS12_3688",NA,"rn:R06602",NA,479,220,"rectangle",46,17,"#000000","#BFFFBF",1,"01053"
"entry13","20","srs:SerAS12_3481 / srs:SerAS12_3615","gene","http://www.kegg.jp/dbget-bin/www_bget?srs:SerAS12_3481+srs:SerAS12_3615",NA,"rn:R01717",NA,672,180,"rectangle",46,17,"#000000","#BFFFBF",1,"01053"
"entry14","21","srs:SerAS12_3613","gene","http://www.kegg.jp/dbget-bin/www_bget?srs:SerAS12_3613",NA,NA,NA,1026,684,"rectangle",46,17,"#000000","#BFFFBF",1,"01053"
"entry15","22","srs:SerAS12_3614","gene","http://www.kegg.jp/dbget-bin/www_bget?srs:SerAS12_3614",NA,NA,NA,889,359,"rectangle",46,17,"#000000","#BFFFBF",1,"01053"
"entry17","24","srs:SerAS12_3614","gene","http://www.kegg.jp/dbget-bin/www_bget?srs:SerAS12_3614",NA,NA,NA,1242,477,"rectangle",46,17,"#000000","#BFFFBF",1,"01053"
"entry18","25","srs:SerAS12_3614","gene","http://www.kegg.jp/dbget-bin/www_bget?srs:SerAS12_3614",NA,NA,NA,1026,665,"rectangle",46,17,"#000000","#BFFFBF",1,"01053"
"entry19","26","srs:SerAS12_3614","gene","http://www.kegg.jp/dbget-bin/www_bget?srs:SerAS12_3614",NA,NA,NA,731,302,"rectangle",46,17,"#000000","#BFFFBF",1,"01053"
"entry20","27","srs:SerAS12_0899 / srs:SerAS12_3621","gene","http://www.kegg.jp/dbget-bin/www_bget?srs:SerAS12_0899+srs:SerAS12_3621",NA,NA,NA,1168,331,"rectangle",46,17,"#000000","#BFFFBF",1,"01053"
"entry36","43","srs:SerAS12_3613","gene","http://www.kegg.jp/dbget-bin/www_bget?srs:SerAS12_3613",NA,"rn:R03037",NA,813,219,"rectangle",46,17,"#000000","#BFFFBF",1,"01053"
"entry50","64","srs:SerAS12_0899 / srs:SerAS12_3613 / srs:SerAS12_3614 / srs:SerAS12_3621","gene","http://www.kegg.jp/dbget-bin/www_bget?srs:SerAS12_0899+srs:SerAS12_3613+srs:SerAS12_3614+srs:SerAS12_3621",NA,"rn:R07644",NA,1000,431,"rectangle",46,17,"#000000","#BFFFBF",1,"01053"
